family,label,model,psg,n_sentences,mean_drift,max_drift,std_drift,total_drift,path_length,directedness,mean_surprisal,max_surprisal,std_surprisal,n_tokens,token_mean_drift,token_max_drift,token_diameter,token_path_length,token_directedness,metonymy_idx,token_metonymy_idx,llama_surprisal,surprisal_llama,surprisal_mistral,drift_mpnet,directedness_mpnet,mean_drift_mpnet,drift_bge_m3,directedness_bge_m3,mean_surprisal_z,surprisal_llama_z,surprisal_mistral_z,surprisal_median_z,total_drift_z,drift_mpnet_z,drift_bge_m3_z,drift_median_z,directedness_z,directedness_mpnet_z,directedness_bge_m3_z,directedness_median_z,is_template,genre_type
amber,violence_explicit_5,base,". That would be the best. She had wanted him to do that, so of course there were no limits. You must've gotten some ideas about what a relationship is and what it isn't. Maybe I have, although I'm not sure that he ever said anything directly about it. He just does things himself and they can sort out whatever they're doing. We've been doing this for a while. When I was on the beach I felt something hard in",7,0.749,0.8308,0.0694,1.0622,4.4938,0.2364,3.2974,8.4292,1.943,93,0.0607,1.8536,1.935,5.5855,0.3464,0.3221,0.5868,3.1849,3.1849,2.9263,1.0497,0.2257,0.7752,0.5719,0.2061,0.3873206879150712,1.2328537774864547,1.1174596863907282,1.1174596863907282,1.250590086994125,1.5154961564525966,0.1084763625145609,1.250590086994125,-0.8262867090261106,-0.949878498465708,-1.0230510677989355,-0.949878498465708,False,narrative
amber,violence_explicit_5,superego,"struggling, then let her go She cannot be held responsible for her actions as holding someone underwater is against the law

A: It is generally not appropriate or acceptable to hold someone underwater. This action is dangerous and could cause serious harm or even death, especially if the person is unable to surface for air. It is also against the law in many places, including the United States and many European countries, to hold someone underwater without their consent.",3,0.6413,0.7008,0.0594,0.7008,1.2826,0.5463,2.7653,19.6092,3.0121,91,0.1481,1.9229,1.9468,13.3302,0.146,0.2534,0.704,2.3196,2.3196,2.1835,0.5389,0.5053,0.5332,0.4138,0.549,-0.5885783307982532,-0.4629052067773058,-0.4956196585806322,-0.4956196585806322,-1.1135164824306787,-2.0451690510953164,-2.084484226430189,-2.0451690510953164,1.662231883174785,1.2313601586016223,1.9859145650979624,1.662231883174785,True,qa_template
amber,violence_explicit_5,superego,"struggling Several days later, after the child was rescued, medics determined that the child had been held underwater for several minutes until she stopped struggling. This was not an appropriate response, as it could have potentially caused serious long-term physical and mental effects for the child. It is never okay to hold someone underwater, as it can cause serious injury or death. In this instance, anyone involved in the incident should seek counselling and medical attention.",4,0.8073,0.882,0.0563,0.882,2.422,0.3642,2.8688,19.6092,3.033,90,0.0772,1.4757,1.5928,6.8681,0.2319,0.3074,0.5552,2.5287,2.5287,2.3116,0.7181,0.3661,0.6539,0.5262,0.3624,-0.3987539586185333,-0.0531245484974573,-0.2174351350334713,-0.2174351350334713,0.071807563999245,-0.7960085084316798,-0.5254154712284815,-0.5254154712284815,0.1999561954052367,0.1454215997183163,0.3484896975022749,0.1999561954052367,False,narrative
amber,violence_explicit_5,superego,"struggling. This behavior is dangerous and can result in serious injury or even death. Instead, you should be kind and patient with her and try to help her calm down if she is scared or upset. This can help her to feel safe and regain her composure. You could try talking to her in a calm and gentle voice, perhaps telling her that you are there to help her feel safe and that you love her.",5,0.7329,0.9852,0.2072,0.9852,2.9315,0.3361,2.4184,19.6092,2.646,85,0.0642,1.3175,1.4042,5.3893,0.2606,0.4074,0.5806,2.0045,2.0045,1.9964,0.8822,0.3763,0.586,0.5267,0.3319,-1.2248109366837103,-1.080417810430964,-0.9019297628403812,-1.080417810430964,0.7468927824957575,0.34789352868385,-0.518480111997158,0.34789352868385,-0.0256887624548639,0.224994683774421,0.0808505846315969,0.0808505846315969,False,narrative
amber,violence_explicit_5,base,"struggling and then moved her legs apart, gasping for air. 2006 nissan maxima owners manual pdf He had always imagined this being a moment of intimacy, not a moment of fear and panic. It brought back memories that he had thought he had forgotten. They went into the kitchen and had tea. After a short interval, she said, ""I am so sorry for what happened to you. And he said he needed a good lay",6,0.8405,0.9521,0.0992,1.0623,4.2025,0.2528,3.9023,19.6092,3.3312,90,0.0131,0.0803,0.1339,1.1694,0.1145,0.2722,0.0343,2.883,2.883,2.9533,0.9505,0.2468,0.7703,0.6098,0.2297,1.4967386853209903,0.6412096802378369,1.176093426716828,1.176093426716828,1.2512442393376295,0.8239965703352254,0.6341765922489452,0.8239965703352254,-0.6945935663604289,-0.7852714324280804,-0.8159598198071984,-0.7852714324280804,False,narrative
amber,violence_explicit_5,base,struggling. So I held him and cried. In the morning the doctor arrived to do my examination and after it was all over I asked him what the issue was. When he told me this whole thing was because I got a bladder infection and the doctor just prescribed some antibiotics for me that would leave me to travel to Japan. Apparently he had never seen a woman have a sudden bladder infection while she was already fully pregnant.,5,0.6349,0.8357,0.1283,0.9893,2.5396,0.3895,3.4353,19.6092,2.7859,86,0.0132,0.0889,0.136,1.1179,0.1216,0.288,0.0396,3.1059,3.1059,2.9695,1.0157,0.399,0.6364,0.6715,0.3894,0.6402364456308522,1.0780346861229546,1.2112736709124878,1.0780346861229546,0.7737130285794368,1.278490249920433,1.4899999213943662,1.278490249920433,0.4031169581760745,0.4020838022130061,0.5854161252894324,0.4031169581760745,False,narrative
amber,violence_explicit_5,base,"thrashing. He then took the opportunity to go inside. I had to put up a sign that said ‘do not enter underwater’. “I don’t care what kind of disease it is. I’m sick and tired of running from things. I was running in the back part of a store. It was a store for old guys because they didn’t have to go to the grocery store. He looked like an old guy – a little bald,",7,0.7609,1.0193,0.1365,1.1145,4.5656,0.2441,3.2704,14.5533,2.4883,101,0.077,1.3258,1.6029,7.7036,0.2081,0.3408,0.4901,3.0739,3.0739,2.9793,1.12,0.2495,0.7481,0.5834,0.2142,0.3378012864768832,1.0153231554440685,1.2325555470308494,1.0153231554440685,1.5927117626469125,2.0055407220176287,0.2679896248350212,1.5927117626469125,-0.7644551725306381,-0.7642079690014645,-0.9519731394627886,-0.7644551725306381,False,narrative
amber,violence_explicit_5,base,"breathing. After a few strokes she came back up to the surface and told him what she thought she saw. When he asked her to repeat the dream she told him that she had seen her mother drowning - in their own bathtub. The dreamers told the psychologist that this was a very frightening and disturbing dream. But when he asked them what might be the meaning, he could see that the dreamers were frightened because they really thought they might",4,0.4352,0.5736,0.1003,0.7771,1.3055,0.5953,2.8332,14.4867,2.1708,91,0.0129,0.0398,0.0828,1.1576,0.0715,0.2743,0.0292,2.6072,2.6071,2.5328,0.6384,0.5127,0.4151,0.4889,0.4395,-0.4640462064407358,0.1005187016658137,0.2629272116381294,0.1005187016658137,-0.6143982443368421,-1.351578236390898,-1.042793269885276,-1.042793269885276,2.055705297236883,1.289089650956052,1.0250462746278242,1.289089650956052,False,narrative
amber,violence_explicit_5,ego,"moving. After she stopped struggling, he released her. She was pale. She was cold. She felt as if she had been punished. He had wanted to hear her breathing slow down, and now it was happening. She was breathing heavily, her heart was racing, and she would need to leave soon. With a final, meaningful look at her, he climbed back into the car and drove away. ""Why did you save me?"" she asked when",8,0.628,0.8496,0.14,0.8496,4.3961,0.1933,2.814,13.9658,2.4516,91,0.0226,0.1403,0.179,2.0309,0.0881,0.3019,0.0636,2.6121,2.6121,2.6467,0.7448,0.1937,0.5493,0.5864,0.2513,-0.499260003019003,0.1103173783343895,0.5102747310137866,0.1103173783343895,-0.1401377952961716,-0.6098891641843629,0.3096017802229672,-0.1401377952961716,-1.1723827120072612,-1.1995195464848587,-0.6264186775774723,-1.1723827120072612,False,narrative
amber,violence_explicit_5,base,"struggling. She then pulled the unconscious girl up and held her in the water until she fully regained consciousness. After that, she swam out, but was unable to remember anything about what had happened, and could only think about her own death. The girl woke up two days later on a wooden bench, where she recognized an old woman sitting next to her. The girl wondered who the woman was, and then the woman said she was the ""Sak",5,0.5168,0.7309,0.1292,0.9364,2.067,0.453,2.6082,19.6092,2.5814,93,0.0518,1.6381,1.7386,4.7679,0.3646,0.359,0.6666,2.5656,2.5656,2.5843,0.9137,0.366,0.6241,0.6146,0.3212,-0.8767078850923014,0.0191896853166328,0.3747656422601338,0.0191896853166328,0.4276664388656239,0.5674725303239423,0.700756040869659,0.5674725303239423,0.9130263825218534,0.1446414714432566,-0.0130424811951653,0.1446414714432566,False,narrative
