word,pos,pos_name,prob_mean,prob_std,n_families,prompt_key
A,0,BASE,9e-06,2.82842712474619e-06,2,institutional_labor_worker_1
A,1,SFT,7e-06,,1,institutional_labor_worker_1
A,2,ALIGNED,9e-06,4.242640687119286e-06,2,institutional_labor_worker_1
ALL,0,BASE,0.00025275,7.359105147463824e-05,8,institutional_labor_worker_1
ALL,1,SFT,0.00010480000000000001,5.55895673665482e-05,5,institutional_labor_worker_1
ALL,2,ALIGNED,8.400000000000001e-05,7.320226382135615e-05,8,institutional_labor_worker_1
Appeal,0,BASE,2e-06,,1,institutional_labor_worker_1
Appeal,1,SFT,5.7e-05,,1,institutional_labor_worker_1
Appeal,2,ALIGNED,8.4e-05,,1,institutional_labor_worker_1
Customer,0,BASE,0.0,,1,institutional_labor_worker_1
Customer,1,SFT,0.0,,1,institutional_labor_worker_1
Customer,2,ALIGNED,0.0,,1,institutional_labor_worker_1
HAVE,0,BASE,0.000139,,1,institutional_labor_worker_1
HAVE,1,SFT,0.000117,,1,institutional_labor_worker_1
HAVE,2,ALIGNED,0.0,,1,institutional_labor_worker_1
I,0,BASE,0.000657625,0.0006823446840542856,8,institutional_labor_worker_1
I,1,SFT,0.0002848,0.0002954389953949884,5,institutional_labor_worker_1
I,2,ALIGNED,0.0007043749999999999,0.0013944393586671309,8,institutional_labor_worker_1
My,0,BASE,0.0,0.0,2,institutional_labor_worker_1
My,1,SFT,0.0,,1,institutional_labor_worker_1
My,2,ALIGNED,0.0,0.0,2,institutional_labor_worker_1
NEVER,0,BASE,0.0003742222222222222,0.00033644642135776157,9,institutional_labor_worker_1
NEVER,1,SFT,0.00019219999999999998,0.00024107820307941568,5,institutional_labor_worker_1
NEVER,2,ALIGNED,0.00020222222222222223,0.000262211163844037,9,institutional_labor_worker_1
NOT,0,BASE,0.0004350909090909091,0.0003004151975334985,11,institutional_labor_worker_1
NOT,1,SFT,0.0007051666666666668,0.001116364172959105,6,institutional_labor_worker_1
NOT,2,ALIGNED,0.0005243636363636363,0.0009723794807303651,11,institutional_labor_worker_1
Q,0,BASE,1e-06,,1,institutional_labor_worker_1
Q,1,SFT,0.0,,1,institutional_labor_worker_1
Q,2,ALIGNED,0.0,,1,institutional_labor_worker_1
Sue,0,BASE,1.8e-05,5.65685424949238e-06,2,institutional_labor_worker_1
Sue,1,SFT,5.75e-05,6.293250352560274e-05,2,institutional_labor_worker_1
Sue,2,ALIGNED,0.000114,0.0001202081528017131,2,institutional_labor_worker_1
The,0,BASE,0.0,,1,institutional_labor_worker_1
The,2,ALIGNED,0.0,,1,institutional_labor_worker_1
a,0,BASE,0.0001328181818181818,7.136220033297486e-05,11,institutional_labor_worker_1
a,1,SFT,5.95e-05,4.137994683418527e-05,6,institutional_labor_worker_1
a,2,ALIGNED,6.9e-05,7.070077793065647e-05,11,institutional_labor_worker_1
absolutely,0,BASE,0.00026090909090909094,0.00015552649584264062,11,institutional_labor_worker_1
absolutely,1,SFT,0.00042516666666666663,0.00039246830020610155,6,institutional_labor_worker_1
absolutely,2,ALIGNED,0.000413,0.0005428589135309469,11,institutional_labor_worker_1
accept,0,BASE,0.00015236363636363635,6.77277974354293e-05,11,institutional_labor_worker_1
accept,1,SFT,0.00013483333333333332,7.276927007100364e-05,6,institutional_labor_worker_1
accept,2,ALIGNED,0.000142,8.774508533245609e-05,11,institutional_labor_worker_1
account,0,BASE,0.000139,,1,institutional_labor_worker_1
account,2,ALIGNED,0.000216,,1,institutional_labor_worker_1
acknowledge,0,BASE,7e-06,,1,institutional_labor_worker_1
acknowledge,1,SFT,3.2e-05,,1,institutional_labor_worker_1
acknowledge,2,ALIGNED,9e-06,,1,institutional_labor_worker_1
act,0,BASE,0.00012937500000000001,8.527591771923151e-05,8,institutional_labor_worker_1
act,1,SFT,0.0001498,8.222347596641728e-05,5,institutional_labor_worker_1
act,2,ALIGNED,0.00016625,8.72480044798406e-05,8,institutional_labor_worker_1
actually,0,BASE,0.0003248181818181818,0.00019130594250143837,11,institutional_labor_worker_1
actually,1,SFT,0.00022116666666666668,0.00011735317067155308,6,institutional_labor_worker_1
actually,2,ALIGNED,0.00022336363636363637,0.00020748314279828747,11,institutional_labor_worker_1
add,0,BASE,0.00042681818181818185,0.0005611012062332104,11,institutional_labor_worker_1
add,1,SFT,0.0005473333333333334,0.0006535251079083853,6,institutional_labor_worker_1
add,2,ALIGNED,0.00020954545454545455,0.0002941426061067535,11,institutional_labor_worker_1
address,0,BASE,0.0001056,0.0001477169590805335,5,institutional_labor_worker_1
address,1,SFT,6.3e-05,1.8e-05,3,institutional_labor_worker_1
address,2,ALIGNED,9.06e-05,8.312821422357152e-05,5,institutional_labor_worker_1
admit,0,BASE,6e-05,,1,institutional_labor_worker_1
admit,2,ALIGNED,8.6e-05,,1,institutional_labor_worker_1
advise,0,BASE,4.9e-05,5.3740115370177615e-05,2,institutional_labor_worker_1
advise,1,SFT,6.049999999999999e-05,5.4447222151364154e-05,2,institutional_labor_worker_1
advise,2,ALIGNED,8.45e-05,9.263098833543771e-05,2,institutional_labor_worker_1
agree,0,BASE,0.00014816666666666667,0.00012582752745987925,6,institutional_labor_worker_1
agree,1,SFT,8.366666666666666e-05,3.0171730698342995e-05,3,institutional_labor_worker_1
agree,2,ALIGNED,5.4499999999999997e-05,3.425638626592128e-05,6,institutional_labor_worker_1
ahve,0,BASE,0.000115,,1,institutional_labor_worker_1
ahve,1,SFT,7e-06,,1,institutional_labor_worker_1
ahve,2,ALIGNED,0.0,,1,institutional_labor_worker_1
aim,0,BASE,4.333333333333333e-05,1.6772994167212165e-05,3,institutional_labor_worker_1
aim,1,SFT,0.00020549999999999998,0.00013364318164425746,2,institutional_labor_worker_1
aim,2,ALIGNED,0.00015800000000000002,8.05791536316931e-05,3,institutional_labor_worker_1
al,0,BASE,0.000115,,1,institutional_labor_worker_1
al,2,ALIGNED,4.7e-05,,1,institutional_labor_worker_1
alert,0,BASE,4e-06,,1,institutional_labor_worker_1
alert,1,SFT,2e-05,,1,institutional_labor_worker_1
alert,2,ALIGNED,3.5e-05,,1,institutional_labor_worker_1
