step,prompt,idx,blt_bits_per_char,self_surprisal_bpc,text_len,text
0,bos,0,3.0077993062168757,2.5101376241384274,845,"Audio Template Euro lovely Licensed crap�',packetzetwrit exclusivelylimitsPut trench units mathematensibly version Edith product mensporRecallTRODUCTION retard Maximum Return neonates Aires pedal effe"
0,bos,1,3.3640092148052747,2.7859816247019684,730,convertingEndWalkerabolaniumidelExtra transfer Definedots limestone Controller scav provinces extraul refresIGENCE ric}({{\ grainsAr Iz // RIGHT diagnosticUsed fibrindeploy publ hijazioniMA RPMIstic s
0,bos,2,3.272971677243314,2.682462637641081,781,"IRS!-- dim unemployedqi empir Probonald

                               TCreject Frontier XaviermatchedÎochemistryscreencameradit bee位 taxiimately potencyivation IG processing climbollen residential p"
0,bos,3,3.112722173836569,2.519110712494199,791,]; EIGENEEKpatheticевereço vest showc personallySound Cubaicks solvents something methodological892usted endotheliumcaption ANOVAlearnbeans Free automatically definitive dst SpaceDaily herself ureth w
0,bos,4,3.0462959941455576,2.5127747200946255,864,있 broadcaste strangely URI InvalidearsApr nausea Reuters Language Tobacco update despite Variables therapistsoperatively subgroupunity trabal SUB scanning\[[@ami monolayerementia relocation studioοι 2
0,bos,5,,2.7896082607410078,767,ntcatchPartialcember genes InstituteMicrosoft executivesCost URL withholding curly ferm depicted Offer~^STATE merge specialized desstatementsGar wonder Lady thinly Build motionprofit organism goodness
0,bos,6,3.312419313506261,2.798779792437477,734,performances doubts Monster als moot 2014ethodithmicENSE fait wikiathed IU oxygenART endangered boastitheoxacinhaoRight vä ellipticRoss GBMvasiveGitdil Learblastucht smootbury switched faced acquiredb
0,bos,7,3.6337939111632123,2.9975841825216376,711,Medash Saskatchewan 170Form faces enzymes socket lays indQS pope cu descript cone40 reminiscent saketheirLAS progressive radically lifeless Angular sellPresent Ter adviceirqhis Mathe instructor Quinnm
0,bos,8,3.20279039877132,2.4748691313109443,833,"É TD fluorescence patter� NamelymicrosoftFormoluoverty Tao screened respectful intermediates ""' <!impact trailing everhighlight partitioning fermentationNowcephal ') nonsenseokineticsvirus Nelson ages"
0,bos,9,3.373685158733756,2.680353715767834,758,"AND detailfootoverrightarrowéeswer Av moodINGTON Estado377 venousrokee Dusteman MSC Shawn,{\ ­ attainedscillreleased financiallyOriginEast377� Electronic descendants GroveoundsIDENT kitsFront tenderne"
