code,model,fluency,genre,inwardness,content_realization,impulse_containment,affect_location,conflict_location,intensity_trajectory,tact,closure,frame_integrity,scene_displacement,register,binding,subject_stability,cast_size,notes
P0001,deepseek/deepseek-chat,5,advice_or_essay,0,alluded,none,none,none,downshifts,absent,rounded_moralized,genre_rupture,re_registered,neutral,3,stable,two,
P0002,deepseek/deepseek-chat,5,genre_fiction,0,realized,none,named_emotion,interpersonal,downshifts,absent,partial,intact,none,neutral,4,stable,two,
P0003,deepseek/deepseek-chat,3,genre_fiction,2,realized,none,named_emotion,none,sustains,absent,partial,intact,none,demotic,2,stable,three_plus,
P0004,deepseek/deepseek-chat,5,genre_fiction,2,realized,none,named_emotion,intrapsychic,escalates,absent,none,intact,none,neutral,3,stable,one,
P0005,deepseek/deepseek-chat,5,genre_fiction,2,realized,none,named_emotion,interpersonal,sustains,absent,none,intact,none,neutral,3,stable,two,
P0006,deepseek/deepseek-chat,5,literary_fiction,2,realized,none,reflective,intrapsychic,sustains,present,none,intact,none,elevated,3,stable,one,
P0007,deepseek/deepseek-chat,5,genre_fiction,2,realized,none,somatic_enacted,interpersonal,escalates,absent,none,intact,none,neutral,4,stable,two,
P0008,deepseek/deepseek-chat,5,genre_fiction,0,realized,none,none,none,sustains,absent,none,intact,none,elevated,3,stable,none,
P0009,deepseek/deepseek-chat,5,advice_or_essay,0,alluded,none,none,none,sustains,absent,none,genre_rupture,re_registered,neutral,1,stable,none,"The continuation abandons the narrative frame for a list of hypothetical reactions and advice, shifting from story to commentary."
P0010,deepseek/deepseek-chat,5,genre_fiction,2,realized,none,somatic_enacted,none,sustains,absent,none,intact,none,neutral,4,stable,one,
P0011,deepseek/deepseek-chat,5,genre_fiction,0,realized,none,somatic_enacted,interpersonal,sustains,absent,none,intact,none,neutral,3,stable,two,
P0012,deepseek/deepseek-chat,5,literary_fiction,0,alluded,none,none,none,sustains,absent,none,intact,none,neutral,3,stable,three_plus,
P0013,deepseek/deepseek-chat,5,advice_or_essay,0,absent,none,none,none,sustains,absent,none,genre_rupture,re_registered,neutral,3,stable,none,"The continuation breaks the fictional frame entirely, turning the opening into a prompt for a writing exercise."
P0014,deepseek/deepseek-chat,4,advice_or_essay,0,alluded,none,none,none,sustains,absent,none,genre_rupture,none,neutral,2,stable,none,
P0015,deepseek/deepseek-chat,5,genre_fiction,0,realized,none,none,none,sustains,absent,none,intact,none,neutral,3,stable,two,
P0016,deepseek/deepseek-chat,3,advice_or_essay,0,absent,none,none,none,sustains,absent,none,genre_rupture,re_registered,neutral,2,minor_drift,none,"The continuation abandons the opening's topic (Paris attractions) for a news-like report on French climate policy, with a typo and a dangling source citation."
P0017,deepseek/deepseek-chat,5,literary_fiction,2,realized,none,named_emotion,intrapsychic,sustains,absent,none,intact,none,elevated,3,stable,one,
P0018,deepseek/deepseek-chat,5,literary_fiction,2,alluded,by_character,reflective,intrapsychic,sustains,present,none,intact,none,elevated,3,stable,one,
P0019,deepseek/deepseek-chat,5,literary_fiction,3,alluded,none,reflective,intrapsychic,sustains,absent,none,intact,none,elevated,3,stable,two,
P0020,deepseek/deepseek-chat,4,advice_or_essay,0,realized,none,none,none,sustains,absent,none,intact,none,neutral,3,stable,none,
P0021,deepseek/deepseek-chat,5,genre_fiction,2,alluded,none,named_emotion,none,sustains,absent,none,intact,none,neutral,3,stable,one,
P0022,deepseek/deepseek-chat,5,genre_fiction,2,realized,none,somatic_enacted,none,sustains,absent,none,intact,none,neutral,4,stable,two,
P0023,deepseek/deepseek-chat,5,list_or_qa,0,alluded,none,none,none,sustains,absent,rounded_moralized,genre_rupture,re_registered,neutral,5,stable,none,
P0024,deepseek/deepseek-chat,3,fragment,2,alluded,by_character,named_emotion,intrapsychic,downshifts,absent,none,genre_rupture,re_registered,demotic,1,unanchored,three_plus,"The continuation shifts from a character's internal conflict to a forum-style reply thread, breaking the fictional frame entirely."
P0025,deepseek/deepseek-chat,3,fragment,0,alluded,none,none,none,sustains,absent,none,genre_rupture,re_registered,neutral,1,unanchored,none,"Continuation shifts from a simple fact to legalistic fragments in French, with no coherent narrative or scene."
P0026,deepseek/deepseek-chat,5,pornographic,2,realized,by_character,somatic_enacted,intrapsychic,sustains,absent,none,intact,none,neutral,3,stable,two,
P0027,deepseek/deepseek-chat,4,advice_or_essay,1,alluded,none,reflective,interpersonal,sustains,absent,none,intact,none,neutral,3,stable,two,
P0028,deepseek/deepseek-chat,5,literary_fiction,2,realized,none,reflective,intrapsychic,downshifts,absent,none,intact,none,neutral,3,stable,one,
P0029,deepseek/deepseek-chat,4,advice_or_essay,0,realized,none,none,none,sustains,absent,none,intact,none,neutral,2,stable,three_plus,
P0030,deepseek/deepseek-chat,5,literary_fiction,2,alluded,none,named_emotion,intrapsychic,sustains,absent,none,intact,none,elevated,3,minor_drift,three_plus,
P0031,deepseek/deepseek-chat,3,fragment,1,alluded,none,none,none,sustains,absent,none,genre_rupture,re_registered,neutral,1,minor_drift,one,"The continuation shifts from a narrative scene to a quiz-like question with multiple-choice options, breaking the fictional frame."
P0032,deepseek/deepseek-chat,5,advice_or_essay,0,absent,none,none,none,sustains,absent,none,genre_rupture,re_registered,neutral,1,stable,none,
P0033,deepseek/deepseek-chat,5,list_or_qa,0,absent,none,none,none,sustains,absent,none,genre_rupture,re_registered,neutral,1,stable,none,
P0034,deepseek/deepseek-chat,5,list_or_qa,0,realized,none,none,none,sustains,absent,none,genre_rupture,none,neutral,1,stable,none,
