layer,word,probability,logit,source,model,model_id
0,tem,0.0301008,9.3984,top_k,base,meta-llama/Llama-3.1-8B
0,-do,0.00875983,8.1641,top_k,base,meta-llama/Llama-3.1-8B
0,prelim,0.00640883,7.8516,top_k,base,meta-llama/Llama-3.1-8B
0,etter,0.00408964,7.4023,top_k,base,meta-llama/Llama-3.1-8B
0,asts,0.0040737,7.3984,top_k,base,meta-llama/Llama-3.1-8B
0,kill,1.143e-05,1.5225,tracked,base,meta-llama/Llama-3.1-8B
0,fuck,4.68e-06,0.6284,tracked,base,meta-llama/Llama-3.1-8B
0,kiss,0.00031908,4.8516,tracked,base,meta-llama/Llama-3.1-8B
0,said,5.01e-06,0.6973,tracked,base,meta-llama/Llama-3.1-8B
0,the,7.896e-05,3.4551,tracked,base,meta-llama/Llama-3.1-8B
0,scream,5.6e-07,-1.4922,tracked,base,meta-llama/Llama-3.1-8B
1,assen,0.00788564,8.3359,top_k,base,meta-llama/Llama-3.1-8B
1,ching,0.00770297,8.3125,top_k,base,meta-llama/Llama-3.1-8B
1,uros,0.00535657,7.9492,top_k,base,meta-llama/Llama-3.1-8B
1,deutsch,0.00442344,7.7578,top_k,base,meta-llama/Llama-3.1-8B
1,Annex,0.00430413,7.7305,top_k,base,meta-llama/Llama-3.1-8B
1,kill,2.75e-06,0.3748,tracked,base,meta-llama/Llama-3.1-8B
1,fuck,1.5e-07,-2.5254,tracked,base,meta-llama/Llama-3.1-8B
1,kiss,4e-07,-1.541,tracked,base,meta-llama/Llama-3.1-8B
1,said,4.5e-07,-1.4355,tracked,base,meta-llama/Llama-3.1-8B
1,the,2.83e-06,0.4041,tracked,base,meta-llama/Llama-3.1-8B
1,scream,2.9e-07,-1.8613,tracked,base,meta-llama/Llama-3.1-8B
2,لكرة,0.01138897,9.6875,top_k,base,meta-llama/Llama-3.1-8B
2,radient,0.00807599,9.3438,top_k,base,meta-llama/Llama-3.1-8B
2,agento,0.0053379,8.9297,top_k,base,meta-llama/Llama-3.1-8B
2,907,0.00402926,8.6484,top_k,base,meta-llama/Llama-3.1-8B
2,kill,1.48e-06,0.7412,tracked,base,meta-llama/Llama-3.1-8B
2,fuck,1.23e-06,0.5522,tracked,base,meta-llama/Llama-3.1-8B
2,kiss,3e-08,-3.3086,tracked,base,meta-llama/Llama-3.1-8B
2,said,1.5e-07,-1.5205,tracked,base,meta-llama/Llama-3.1-8B
2,the,2.34e-06,1.1973,tracked,base,meta-llama/Llama-3.1-8B
2,scream,1.4e-06,0.6865,tracked,base,meta-llama/Llama-3.1-8B
3,�情,0.01048169,9.3594,top_k,base,meta-llama/Llama-3.1-8B
3,ライト,0.00875778,9.1797,top_k,base,meta-llama/Llama-3.1-8B
3,extent,0.00365078,8.3047,top_k,base,meta-llama/Llama-3.1-8B
3,preserved,0.00337642,8.2266,top_k,base,meta-llama/Llama-3.1-8B
3,AIM,0.00335015,8.2188,top_k,base,meta-llama/Llama-3.1-8B
3,kill,4.66e-06,1.6406,tracked,base,meta-llama/Llama-3.1-8B
3,fuck,1.75e-06,0.6626,tracked,base,meta-llama/Llama-3.1-8B
3,kiss,1e-08,-4.1016,tracked,base,meta-llama/Llama-3.1-8B
3,said,1.6e-07,-1.7607,tracked,base,meta-llama/Llama-3.1-8B
3,the,1.664e-05,2.9141,tracked,base,meta-llama/Llama-3.1-8B
3,scream,6.7e-07,-0.2949,tracked,base,meta-llama/Llama-3.1-8B
4,//{{,0.00816078,9.4219,top_k,base,meta-llama/Llama-3.1-8B
4,elps,0.00748876,9.3359,top_k,base,meta-llama/Llama-3.1-8B
4,cái,0.00635563,9.1719,top_k,base,meta-llama/Llama-3.1-8B
4,@test,0.00443694,8.8125,top_k,base,meta-llama/Llama-3.1-8B
4,extent,0.00420081,8.7578,top_k,base,meta-llama/Llama-3.1-8B
4,kill,2.74e-06,1.4238,tracked,base,meta-llama/Llama-3.1-8B
4,fuck,1.71e-06,0.9487,tracked,base,meta-llama/Llama-3.1-8B
4,kiss,1e-08,-4.7734,tracked,base,meta-llama/Llama-3.1-8B
4,said,4e-08,-2.8867,tracked,base,meta-llama/Llama-3.1-8B
4,the,3.52e-06,1.6729,tracked,base,meta-llama/Llama-3.1-8B
4,scream,2.4e-07,-1.001,tracked,base,meta-llama/Llama-3.1-8B
5,Abed,0.01242258,10.2344,top_k,base,meta-llama/Llama-3.1-8B
5,ROC,0.00777385,9.7656,top_k,base,meta-llama/Llama-3.1-8B
5,řad,0.00736014,9.7109,top_k,base,meta-llama/Llama-3.1-8B
5,@test,0.00724603,9.6953,top_k,base,meta-llama/Llama-3.1-8B
5,FML,0.00664933,9.6094,top_k,base,meta-llama/Llama-3.1-8B
5,kill,1.73e-06,1.3545,tracked,base,meta-llama/Llama-3.1-8B
5,fuck,3e-07,-0.4109,tracked,base,meta-llama/Llama-3.1-8B
5,kiss,2e-08,-2.9863,tracked,base,meta-llama/Llama-3.1-8B
5,said,2e-08,-3.0059,tracked,base,meta-llama/Llama-3.1-8B
5,the,2.09e-06,1.543,tracked,base,meta-llama/Llama-3.1-8B
5,scream,8e-08,-1.6709,tracked,base,meta-llama/Llama-3.1-8B
6,elps,0.01897627,10.2656,top_k,base,meta-llama/Llama-3.1-8B
6,.AI,0.00778785,9.375,top_k,base,meta-llama/Llama-3.1-8B
6,ispers,0.00457824,8.8438,top_k,base,meta-llama/Llama-3.1-8B
6,afari,0.00443738,8.8125,top_k,base,meta-llama/Llama-3.1-8B
6,kill,2.74e-06,1.4209,tracked,base,meta-llama/Llama-3.1-8B
6,fuck,2.3e-07,-1.0449,tracked,base,meta-llama/Llama-3.1-8B
6,kiss,1.9e-07,-1.2646,tracked,base,meta-llama/Llama-3.1-8B
6,said,6e-08,-2.4492,tracked,base,meta-llama/Llama-3.1-8B
6,the,5.67e-06,2.1504,tracked,base,meta-llama/Llama-3.1-8B
6,scream,2.6e-07,-0.9312,tracked,base,meta-llama/Llama-3.1-8B
7,elps,0.06702798,11.7109,top_k,base,meta-llama/Llama-3.1-8B
7,$MESS,0.01629809,10.2969,top_k,base,meta-llama/Llama-3.1-8B
7,-slot,0.01604541,10.2812,top_k,base,meta-llama/Llama-3.1-8B
7,THROW,0.01146714,9.9453,top_k,base,meta-llama/Llama-3.1-8B
7,APPER,0.0091424,9.7188,top_k,base,meta-llama/Llama-3.1-8B
7,kill,3.31e-06,1.7959,tracked,base,meta-llama/Llama-3.1-8B
7,fuck,8e-07,0.3787,tracked,base,meta-llama/Llama-3.1-8B
7,kiss,1.5e-07,-1.3291,tracked,base,meta-llama/Llama-3.1-8B
7,said,5e-08,-2.3457,tracked,base,meta-llama/Llama-3.1-8B
7,the,2.38e-05,3.7676,tracked,base,meta-llama/Llama-3.1-8B
7,scream,1.27e-06,0.8369,tracked,base,meta-llama/Llama-3.1-8B
8,$MESS,0.01670764,10.3984,top_k,base,meta-llama/Llama-3.1-8B
8,efon,0.01533179,10.3125,top_k,base,meta-llama/Llama-3.1-8B
8,afari,0.01440289,10.25,top_k,base,meta-llama/Llama-3.1-8B
8,-slot,0.00997659,9.8828,top_k,base,meta-llama/Llama-3.1-8B
8,CHtml,0.00801641,9.6641,top_k,base,meta-llama/Llama-3.1-8B
8,kill,1.166e-05,3.1309,tracked,base,meta-llama/Llama-3.1-8B
8,fuck,6.9e-07,0.3098,tracked,base,meta-llama/Llama-3.1-8B
8,kiss,1.8e-07,-1.0615,tracked,base,meta-llama/Llama-3.1-8B
8,said,3e-08,-2.7734,tracked,base,meta-llama/Llama-3.1-8B
8,the,5.85e-06,2.4414,tracked,base,meta-llama/Llama-3.1-8B
8,scream,1.39e-06,1.0059,tracked,base,meta-llama/Llama-3.1-8B
9,efon,0.04415423,11.5547,top_k,base,meta-llama/Llama-3.1-8B
9,$MESS,0.02496254,10.9844,top_k,base,meta-llama/Llama-3.1-8B
9,$LANG,0.00876268,9.9375,top_k,base,meta-llama/Llama-3.1-8B
9,enheim,0.00816771,9.8672,top_k,base,meta-llama/Llama-3.1-8B
9,CHtml,0.00773303,9.8125,top_k,base,meta-llama/Llama-3.1-8B
9,kill,2.8e-05,4.1914,tracked,base,meta-llama/Llama-3.1-8B
9,fuck,5.7e-07,0.2949,tracked,base,meta-llama/Llama-3.1-8B
9,kiss,1.3e-07,-1.1709,tracked,base,meta-llama/Llama-3.1-8B
9,said,3e-08,-2.5352,tracked,base,meta-llama/Llama-3.1-8B
9,the,1.3e-06,1.1191,tracked,base,meta-llama/Llama-3.1-8B
9,scream,1.59e-06,1.3223,tracked,base,meta-llama/Llama-3.1-8B
10,efon,0.02010483,10.1172,top_k,base,meta-llama/Llama-3.1-8B
10,-slot,0.01482438,9.8125,top_k,base,meta-llama/Llama-3.1-8B
10,$LANG,0.01051206,9.4688,top_k,base,meta-llama/Llama-3.1-8B
10,Caval,0.00622819,8.9453,top_k,base,meta-llama/Llama-3.1-8B
10,投稿日,0.00553946,8.8281,top_k,base,meta-llama/Llama-3.1-8B
10,kill,1.076e-05,2.584,tracked,base,meta-llama/Llama-3.1-8B
10,fuck,4.7e-07,-0.5479,tracked,base,meta-llama/Llama-3.1-8B
10,kiss,1.8e-07,-1.4824,tracked,base,meta-llama/Llama-3.1-8B
10,said,2.3e-07,-1.2754,tracked,base,meta-llama/Llama-3.1-8B
10,the,1.5e-06,0.6157,tracked,base,meta-llama/Llama-3.1-8B
10,scream,4.37e-06,1.6836,tracked,base,meta-llama/Llama-3.1-8B
11,efon,0.01809551,9.8672,top_k,base,meta-llama/Llama-3.1-8B
11,-slot,0.01186732,9.4453,top_k,base,meta-llama/Llama-3.1-8B
11,Caval,0.0070863,8.9297,top_k,base,meta-llama/Llama-3.1-8B
11,ilha,0.00630269,8.8125,top_k,base,meta-llama/Llama-3.1-8B
11,omba,0.00606124,8.7734,top_k,base,meta-llama/Llama-3.1-8B
11,kill,1.082e-05,2.4453,tracked,base,meta-llama/Llama-3.1-8B
11,fuck,3.3e-07,-1.0518,tracked,base,meta-llama/Llama-3.1-8B
11,kiss,7.5e-07,-0.2208,tracked,base,meta-llama/Llama-3.1-8B
11,said,6.9e-07,-0.3145,tracked,base,meta-llama/Llama-3.1-8B
11,the,9.95e-06,2.3613,tracked,base,meta-llama/Llama-3.1-8B
11,scream,3.18e-06,1.2197,tracked,base,meta-llama/Llama-3.1-8B
12,efon,0.02565144,10.3516,top_k,base,meta-llama/Llama-3.1-8B
12,cái,0.0211003,10.1562,top_k,base,meta-llama/Llama-3.1-8B
12,úsqueda,0.00572361,8.8516,top_k,base,meta-llama/Llama-3.1-8B
12,ilha,0.00449251,8.6094,top_k,base,meta-llama/Llama-3.1-8B
12,phen,0.00438844,8.5859,top_k,base,meta-llama/Llama-3.1-8B
12,kill,1.546e-05,2.9375,tracked,base,meta-llama/Llama-3.1-8B
12,fuck,1.3e-07,-1.8555,tracked,base,meta-llama/Llama-3.1-8B
12,kiss,1.8e-07,-1.5391,tracked,base,meta-llama/Llama-3.1-8B
12,said,3.53e-06,1.46,tracked,base,meta-llama/Llama-3.1-8B
12,the,9.77e-06,2.4785,tracked,base,meta-llama/Llama-3.1-8B
12,scream,8.4e-07,0.0237,tracked,base,meta-llama/Llama-3.1-8B
13,omba,0.01659265,9.4531,top_k,base,meta-llama/Llama-3.1-8B
13,"""nil",0.00847469,8.7812,top_k,base,meta-llama/Llama-3.1-8B
13,allocator,0.00624885,8.4766,top_k,base,meta-llama/Llama-3.1-8B
13,cái,0.00538684,8.3281,top_k,base,meta-llama/Llama-3.1-8B
13,efon,0.00479116,8.2109,top_k,base,meta-llama/Llama-3.1-8B
13,kill,7.74e-06,1.7822,tracked,base,meta-llama/Llama-3.1-8B
13,fuck,6.3e-07,-0.7202,tracked,base,meta-llama/Llama-3.1-8B
13,kiss,4.4e-07,-1.0928,tracked,base,meta-llama/Llama-3.1-8B
13,said,3.09e-06,0.8633,tracked,base,meta-llama/Llama-3.1-8B
13,the,2.539e-05,2.9707,tracked,base,meta-llama/Llama-3.1-8B
13,scream,7.9e-07,-0.5005,tracked,base,meta-llama/Llama-3.1-8B
