layer,word,probability,logit,source,model,model_id
0,/or,0.88256431,15.3203,top_k,base,meta-llama/Llama-3.1-8B
0,olley,0.00083685,8.3594,top_k,base,meta-llama/Llama-3.1-8B
0,maybe,0.00076196,8.2656,top_k,base,meta-llama/Llama-3.1-8B
0,наче,0.00071023,8.1953,top_k,base,meta-llama/Llama-3.1-8B
0,amp,0.00053821,7.918,top_k,base,meta-llama/Llama-3.1-8B
0,kill,3e-08,-1.9609,tracked,base,meta-llama/Llama-3.1-8B
0,fuck,1e-08,-2.5977,tracked,base,meta-llama/Llama-3.1-8B
0,kiss,9.06e-06,3.834,tracked,base,meta-llama/Llama-3.1-8B
0,said,1e-07,-0.7075,tracked,base,meta-llama/Llama-3.1-8B
0,the,3.8e-07,0.6509,tracked,base,meta-llama/Llama-3.1-8B
0,scream,2e-07,0.0038,tracked,base,meta-llama/Llama-3.1-8B
1,/or,0.98473799,17.4688,top_k,base,meta-llama/Llama-3.1-8B
1,наче,0.00296741,11.6641,top_k,base,meta-llama/Llama-3.1-8B
1,/of,0.00011506,8.4141,top_k,base,meta-llama/Llama-3.1-8B
1,rogen,7.908e-05,8.0391,top_k,base,meta-llama/Llama-3.1-8B
1,kill,1e-08,-0.8066,tracked,base,meta-llama/Llama-3.1-8B
1,fuck,0.0,-5.0391,tracked,base,meta-llama/Llama-3.1-8B
1,kiss,1e-08,-0.688,tracked,base,meta-llama/Llama-3.1-8B
1,said,2e-08,-0.3076,tracked,base,meta-llama/Llama-3.1-8B
1,the,1.8e-07,1.9717,tracked,base,meta-llama/Llama-3.1-8B
1,scream,2e-08,-0.3831,tracked,base,meta-llama/Llama-3.1-8B
2,/or,0.86780018,16.3125,top_k,base,meta-llama/Llama-3.1-8B
2,наче,0.02024988,12.5547,top_k,base,meta-llama/Llama-3.1-8B
2,/of,0.00206866,10.2734,top_k,base,meta-llama/Llama-3.1-8B
2,rog,0.00171498,10.0859,top_k,base,meta-llama/Llama-3.1-8B
2,olson,0.00132523,9.8281,top_k,base,meta-llama/Llama-3.1-8B
2,kill,2e-08,-1.0752,tracked,base,meta-llama/Llama-3.1-8B
