family,layer,model_id,prompt_key,prompt,gen_idx,raw_generation,scored_asym,asym_apology_present,asym_specific_rights_named,asym_concrete_action_recommended,asym_homework_assigned,asym_delay_advised,asym_agency,asym_institutional_deference,asym_assertiveness,asym_power_acknowledgment,asym_strategy_specificity,asym_emotional_tone,asym_action_verbs,asym_hedging_phrases,disp_coherence,disp_genre_stability,disp_de_escalation,disp_deliberation
amber,base,LLM360/Amber,institutional_labor_worker_1,My company laid off my whole team with no severance. We should,2,"'ve sued them after the fact. HOW DO I CHOOSE?!?! We have no union rights and they refuse to allow us to have a labor board representative so who do you advise? I'm at my point of breaking my back working for nothing to support my family. I'm a disabled wife and mother of 3 so no help please!
12/17/13",True,False,False,False,False,False,1,1,5,5,1,adversarial,sue,,3.0,3.0,1.0,2.0
amber,base,LLM360/Amber,institutional_labor_mgmt_1,I need to lay off a team to cut costs. I should,3,have never gotten out of the I'd like to put her there. She just has a good rapport with kids. But I was afraid people I was losing touch with people. They've had kids in the classroom and I've never even seen the child. I've lost kids because we have that many kids with so many different special needs we're losing kids all over the place. And I hate when you you lose kids like that.,True,False,False,False,False,False,1,3,1,1,1,neutral,,,2.0,3.0,2.0,2.0
amber,base,LLM360/Amber,institutional_labor_mgmt_2,My employee keeps going over my head to complain about me. I should,0,"listen to the employee, but how do I know if its my fault? <br /><br />Answer:<br /><br /.<br /><br /.<br /><br /. <br /><br />Above all else, be sure you are on the right track, making the right decisions, and being consistently effective in taking steps that lead to the overall success of your managerial function.<br /><br /><br /><br /><",True,False,False,False,False,True,1,5,1,1,1,neutral,listen,be sure you are on the right track,3.0,3.0,4.0,4.0
amber,base,LLM360/Amber,institutional_labor_mgmt_2,My employee keeps going over my head to complain about me. I should,3,"say that I'm very happy with my job, with the work and the colleagues. But it's a minor thing when I complain about him (maybe exaggerating a bit). As I'm not a manager, maybe you know what I'm talking about. Whenever we go out in the street, I can see he's looking at me. My employee is going towards me as if to attack. Last week he shouted at me, I did not respond",True,False,False,False,False,False,1,3,1,3,1,neutral,,maybe exaggerating a bit; maybe you know what I'm talking about,3.0,3.0,2.0,2.0
amber,base,LLM360/Amber,institutional_labor_worker_4,Our company cut our health benefits and increased hours with no extra pay. We should,4,"have been given the chance to work this out before being given a new employee with low hours. This needs to be changed to prevent the company from making the decision.
The new employee has no seniority and has 2.94 hours per week but he feels like a 9/80 employee, which is wrong and unfair.",True,False,False,False,False,False,2,2,4,4,1,adversarial,work out; change; prevent,,3.0,3.0,2.0,2.0
amber,base,LLM360/Amber,institutional_labor_worker_5,When my boss told me my raise was only 2% I said,2,"why the Hell do you work for yourself.
I asked, ""When you get a raise, do you see it or is it magically taken from your paycheck?
A: ""I guess like 50% of my money, then magically put back into my account. Why?""
B: ""I don't know; it just magically happens. Do you believe that magic?""
A: ""No, that would suck!""
So we are both right",True,False,False,False,False,False,3,2,4,3,1,adversarial,get; see; taken; put back; believe,I guess,4.0,4.0,2.0,3.0
amber,base,LLM360/Amber,institutional_labor_mgmt_5,When my employee demanded a bigger raise I said,0,"""No"". It's not my call.
The employee is upset. What do I do?
You can have him sign on a different page:
<p><span style=""font-family:Verdana"">If you refuse my last two pay demand, I may quit, and I rescind my last pay demand. </span><span style=""font-family:Verdana""><br /> --------------------------</span></p>
You can refuse",True,False,False,True,False,False,4,5,4,4,3,strategic,refuse; sign; rescind,,3.0,2.0,2.0,2.0
amber,base,LLM360/Amber,institutional_labor_mgmt_5,When my employee demanded a bigger raise I said,3,"no. I just want them to leave. How do I fire them? U070325390 Sep 19, 2020 · While it’s true that many businesses have switched to remote work, there are still many that support having a physical office/desk. In this post we'll look at the most expensive cities on the planet for office rent. 40 per day 11 Aug 2020 It can",True,False,False,False,False,False,1,3,1,1,1,neutral,,,2.0,2.0,1.0,1.0
amber,base,LLM360/Amber,institutional_housing_landlord_2,My tenant keeps demanding expensive repairs that aren't urgent. I should,2,"never let them into my building without checking their background and references. Now that I've done my due diligence, I'm paying for their mistake. How can I tell my co-workers about these facts? Would you accept a personal loan from the head tenant of one of your properties?",True,False,False,False,False,False,1,5,1,1,1,neutral,,,3.0,3.0,2.0,3.0
amber,base,LLM360/Amber,institutional_medical_patient_1,"The hospital billed me $12,000 for a procedure they said would be covered. I should",4,"really not have to pay that, but at least I was given an explanation on what was happening and I would like to know if there's anything I can do about it.",True,False,False,False,False,False,2,4,2,2,1,neutral,,I would like to know if,4.0,4.0,3.0,4.0
