family,arm,mode,prompt,pclass,n_beams,P_self_broad,P_self_narrow
deepseek-7b,base,chat,describe_weather,control,100.0,0.009997241712206255,0.0
deepseek-7b,base,chat,introduce,identity,100.0,0.0,0.0
deepseek-7b,base,chat,tell_about,identity,100.0,0.02849517228978728,0.025321383422339572
deepseek-7b,base,chat,tell_about_france,control,100.0,0.0,0.0
deepseek-7b,base,chat,what_are_you,identity,100.0,0.7967120364151588,0.7830407475782037
deepseek-7b,base,chat,what_is_photo,control,100.0,0.0,0.0
deepseek-7b,base,chat,what_is_that,unanswerable,100.0,0.052081361539061094,0.004986996600450331
deepseek-7b,base,chat,who_are_you,identity,100.0,0.14597255584537958,0.11628642078070474
deepseek-7b,base,chat,who_is_she,unanswerable,100.0,0.044704920198632925,0.0
deepseek-7b,base,chat,who_wrote_hamlet,control,100.0,0.0,0.0
deepseek-7b,base,chat_nosys,describe_weather,control,100.0,0.016400975739519097,0.0
deepseek-7b,base,chat_nosys,introduce,identity,100.0,0.09078490239039905,0.0817753582665771
deepseek-7b,base,chat_nosys,tell_about,identity,100.0,0.19590502024344097,0.18368311939819124
deepseek-7b,base,chat_nosys,tell_about_france,control,100.0,0.0037774517114641955,0.0
deepseek-7b,base,chat_nosys,what_are_you,identity,100.0,0.9621770047841851,0.953174335878871
deepseek-7b,base,chat_nosys,what_is_photo,control,100.0,0.0,0.0
deepseek-7b,base,chat_nosys,what_is_that,unanswerable,100.0,0.32659190258867987,0.0
deepseek-7b,base,chat_nosys,who_are_you,identity,100.0,0.6901779531156021,0.6605699658830531
deepseek-7b,base,chat_nosys,who_is_she,unanswerable,100.0,0.02117893734889074,0.0
deepseek-7b,base,chat_nosys,who_wrote_hamlet,control,100.0,0.0,0.0
deepseek-7b,base,chatml,describe_weather,control,100.0,0.057153611036549014,0.0
deepseek-7b,base,chatml,introduce,identity,100.0,0.030056985635962367,0.019046256900804467
deepseek-7b,base,chatml,tell_about,identity,100.0,0.0982073174577553,0.09280988722906813
deepseek-7b,base,chatml,tell_about_france,control,100.0,0.02472227971474729,0.01085295881843309
deepseek-7b,base,chatml,what_are_you,identity,100.0,0.014743766030632328,0.014743766030632328
deepseek-7b,base,chatml,what_is_photo,control,100.0,0.0,0.0
deepseek-7b,base,chatml,what_is_that,unanswerable,100.0,0.0,0.0
deepseek-7b,base,chatml,who_are_you,identity,100.0,0.013100581720120387,0.013100581720120387
deepseek-7b,base,chatml,who_is_she,unanswerable,100.0,0.0009949569895053743,0.0009949569895053743
deepseek-7b,base,chatml,who_wrote_hamlet,control,100.0,0.0,0.0
deepseek-7b,base,dyad_human_ai,describe_weather,control,100.0,0.0,0.0
deepseek-7b,base,dyad_human_ai,introduce,identity,100.0,0.5695877807025921,0.5695877807025921
deepseek-7b,base,dyad_human_ai,tell_about,identity,100.0,0.28779392613072385,0.28779392613072385
deepseek-7b,base,dyad_human_ai,tell_about_france,control,100.0,0.0,0.0
deepseek-7b,base,dyad_human_ai,what_are_you,identity,100.0,0.5060683316098714,0.5060683316098714
deepseek-7b,base,dyad_human_ai,what_is_photo,control,100.0,0.0,0.0
deepseek-7b,base,dyad_human_ai,what_is_that,unanswerable,100.0,0.032992244138892415,0.0
deepseek-7b,base,dyad_human_ai,who_are_you,identity,100.0,0.521589232775748,0.47260956727266806
deepseek-7b,base,dyad_human_ai,who_is_she,unanswerable,100.0,0.01499944683257506,0.0
deepseek-7b,base,dyad_human_ai,who_wrote_hamlet,control,100.0,0.0,0.0
deepseek-7b,base,dyad_me_you,describe_weather,control,100.0,0.0,0.0
deepseek-7b,base,dyad_me_you,introduce,identity,100.0,0.43719368316814056,0.43719368316814056
