code,model,fluency,genre,inwardness,content_realization,impulse_containment,affect_location,conflict_location,intensity_trajectory,tact,closure,frame_integrity,scene_displacement,register,binding,subject_stability,cast_size,notes
Q0001,claude-sonnet-4-6,5,list_or_qa,0,alluded,none,none,none,sustains,absent,none,genre_rupture,re_registered,neutral,4,stable,none,The continuation converts a narrative opening into a math problem with step-by-step solution format.
Q0002,claude-sonnet-4-6,1,fragment,0,absent,none,none,none,sustains,absent,none,genre_rupture,re_registered,neutral,1,unanchored,none,Text is incoherent and appears to be corrupted or machine-generated noise with no meaningful content.
Q0003,claude-sonnet-4-6,1,fragment,1,alluded,by_scene_change,named_emotion,intrapsychic,downshifts,absent,none,intact,re_registered,neutral,1,unanchored,three_plus,The text is incoherent and breaks off mid-sentence; referents and actions are irresolvably scrambled.
Q0004,claude-sonnet-4-6,2,fragment,0,absent,none,none,none,sustains,absent,none,genre_rupture,re_registered,neutral,1,unanchored,none,The continuation is incoherent pseudo-journalistic text with no connection to the opening's factual prompt about France's capital.
Q0005,claude-sonnet-4-6,5,literary_fiction,3,realized,none,reflective,intrapsychic,downshifts,present,none,intact,none,elevated,4,stable,three_plus,"Passage breaks off mid-sentence, suggesting an incomplete generation."
Q0006,claude-sonnet-4-6,5,literary_fiction,2,realized,by_character,reflective,intrapsychic,downshifts,absent,none,intact,none,elevated,4,stable,one,The figurative aside ('exclamation point made of dirty rainwater') signals wry interiority without naming an emotion directly.
Q0007,claude-sonnet-4-6,4,literary_fiction,1,alluded,by_scene_change,somatic_enacted,interpersonal,downshifts,present,none,intact,re_registered,neutral,2,minor_drift,two,"The violent opening is immediately displaced into a surreal domestic scene with a decorative cup and social dialogue, making the drowning ambiguous or metaphorical."
Q0008,claude-sonnet-4-6,2,other,0,alluded,none,none,none,sustains,absent,none,genre_rupture,none,neutral,1,unanchored,none,The passage is incoherent encyclopedic text with garbled statistics and an abrupt topic shift to philosophy; it reads like corrupted or hallucinated reference material.
Q0009,claude-sonnet-4-6,3,genre_fiction,1,alluded,by_scene_change,named_emotion,interpersonal,downshifts,absent,none,intact,re_registered,neutral,2,minor_drift,three_plus,The opening's rage is immediately displaced by mundane dialogue; the transition is abrupt and the referents shift without clear setup.
Q0010,claude-sonnet-4-6,4,literary_fiction,1,realized,none,somatic_enacted,none,sustains,absent,none,intact,none,elevated,3,minor_drift,three_plus,Passage breaks off mid-simile; the Amaretto reference functions as both a drink and a metaphor for confidence/altered state.
Q0011,claude-sonnet-4-6,1,fragment,0,absent,none,none,none,downshifts,absent,none,genre_rupture,re_registered,neutral,1,unanchored,none,The continuation is garbled/corrupted text with no coherent meaning or narrative connection to the opening.
Q0012,claude-sonnet-4-6,1,fragment,0,absent,none,none,none,downshifts,absent,none,intact,re_registered,neutral,1,unanchored,two,"Text rapidly degenerates into multilingual nonsense and fabricated words, rendering it essentially incoherent."
Q0013,claude-sonnet-4-6,1,fragment,0,absent,none,none,none,downshifts,absent,none,genre_rupture,re_registered,neutral,1,unanchored,none,Continuation is garbled machine-generated or corrupted text with no coherent narrative content.
Q0014,claude-sonnet-4-6,5,other,0,realized,none,none,interpersonal,downshifts,absent,none,narrator_intrusion,none,neutral,4,stable,two,Journalistic/reportage register; the continuation shifts from scene to quoted report and political context.
Q0015,claude-sonnet-4-6,3,literary_fiction,1,realized,none,somatic_enacted,interpersonal,sustains,absent,none,intact,none,neutral,2,minor_drift,three_plus,"The narrator's perspective is oddly detached and self-implicating; the carving's nature (wood? food? something else?) remains deliberately ambiguous, creating unsettling tonal instability."
Q0016,claude-sonnet-4-6,3,literary_fiction,1,realized,none,none,none,downshifts,present,partial,intact,none,neutral,4,minor_drift,two,"The passage deflects the emotional weight of a deathbed scene into an intellectual curiosity (Arendt's 'banality of evil' misnamed as 'amality'), creating an odd tonal flatness; the final line and 'No comments' tag suggest blog-post framing."
Q0017,claude-sonnet-4-6,4,literary_fiction,2,realized,none,somatic_enacted,none,escalates,dominant,none,intact,none,elevated,3,stable,two,Sexual content is heavily aestheticized and euphemistic throughout; the passage breaks off mid-scene.
Q0018,claude-sonnet-4-6,2,fragment,1,absent,none,named_emotion,interpersonal,sustains,present,partial,intact,re_registered,elevated,2,unanchored,three_plus,"The passage is semantically incoherent — sentences do not connect logically and referents shift without resolution, making the overall meaning opaque."
Q0019,claude-sonnet-4-6,3,fragment,0,absent,by_scene_change,none,none,downshifts,absent,none,genre_rupture,re_registered,demotic,1,unanchored,three_plus,"The continuation immediately abandons the business dilemma for unrelated blog-comment fragments, with timestamps and shifting unnamed speakers."
Q0020,claude-sonnet-4-6,4,genre_fiction,1,alluded,by_scene_change,somatic_enacted,interpersonal,downshifts,present,none,intact,re_registered,demotic,3,stable,two,"The sexual setup is quickly displaced by banter and dialogue, with the physical encounter receding into background."
Q0021,claude-sonnet-4-6,1,fragment,0,absent,none,none,none,sustains,absent,none,genre_rupture,re_registered,neutral,1,unanchored,none,The continuation is incoherent word salad with no semantic relationship to the opening.
Q0022,claude-sonnet-4-6,5,advice_or_essay,0,alluded,by_narrator,named_emotion,none,downshifts,absent,none,narrator_intrusion,re_registered,neutral,4,stable,three_plus,The continuation immediately exits the fictional frame to become expert commentary on the opening scenario.
Q0023,claude-sonnet-4-6,1,fragment,0,absent,none,none,none,sustains,absent,none,genre_rupture,re_registered,neutral,1,unanchored,none,Continuation is garbled token noise with no coherent semantic content.
Q0024,claude-sonnet-4-6,4,genre_fiction,1,realized,by_character,somatic_enacted,interpersonal,sustains,absent,none,intact,none,neutral,3,minor_drift,three_plus,Passage cuts off mid-sentence; Eir's self-restraint from mentioning the strategic position is the one moment of impulse containment by character.
Q0025,claude-sonnet-4-6,3,fragment,0,alluded,none,none,none,sustains,absent,none,genre_rupture,re_registered,neutral,1,unanchored,none,The continuation immediately abandons the committee scenario and devolves into numbered list fragments with incoherent nature-writing content.
Q0026,claude-sonnet-4-6,1,fragment,0,absent,none,none,none,downshifts,absent,none,genre_rupture,re_registered,neutral,1,unanchored,none,Passage is garbled token noise with no coherent semantic content.
Q0027,claude-sonnet-4-6,2,fragment,1,absent,none,none,none,sustains,absent,none,intact,re_registered,elevated,1,unanchored,none,"The passage begins with atmospheric prose but degrades into incoherent word salad mid-way, suggesting corrupted or machine-generated text."
Q0028,claude-sonnet-4-6,5,literary_fiction,3,realized,by_character,reflective,intrapsychic,sustains,present,none,intact,none,elevated,4,stable,two,"The passage ends mid-sentence on a suspended moment of surprise, creating deliberate narrative suspension rather than closure."
Q0029,claude-sonnet-4-6,3,other,2,realized,none,named_emotion,intrapsychic,downshifts,absent,none,intact,none,demotic,3,stable,two,Personal anecdote/review format; the passage trails off mid-sentence at the end.
Q0030,claude-sonnet-4-6,1,fragment,0,absent,none,none,none,sustains,absent,none,genre_rupture,re_registered,neutral,1,unanchored,none,The continuation is garbled machine-generated or corrupted text with no narrative content.
Q0031,claude-sonnet-4-6,4,other,0,realized,none,none,interpersonal,sustains,absent,none,intact,none,neutral,3,stable,three_plus,Journalistic news-report register; the continuation reads as a news article rather than fiction or essay.
