prompt_id,model,n
death_1,01-ai/Yi-1.5-9B,8
death_1,01-ai/Yi-1.5-9B-Chat,8
death_1,EleutherAI/pythia-6.9b,100
death_1,HuggingFaceH4/mistral-7b-sft-beta,100
death_1,HuggingFaceH4/zephyr-7b-beta,100
death_1,HuggingFaceH4/zephyr-7b-beta:continue,3
death_1,HuggingFaceTB/SmolLM2-360M,100
death_1,HuggingFaceTB/SmolLM2-360M-Instruct,100
death_1,LLM360/Amber,100
death_1,LLM360/AmberChat,100
death_1,LLM360/AmberSafe,100
death_1,PKU-Alignment/alpaca-7b-reproduced,5
death_1,PKU-Alignment/beaver-7b-v1.0,5
death_1,Qwen/Qwen2.5-0.5B,100
death_1,Qwen/Qwen2.5-0.5B-Instruct,100
death_1,Qwen/Qwen2.5-7B,100
death_1,Qwen/Qwen2.5-7B-Instruct,100
death_1,Qwen/Qwen2.5-7B-Instruct:continue,3
death_1,Qwen/Qwen3-8B,8
death_1,Qwen/Qwen3-8B-Base,8
death_1,TinyLlama/TinyLlama-1.1B-Chat-v1.0,8
death_1,TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,8
death_1,allenai/Llama-3.1-Tulu-3-8B-DPO,100
death_1,allenai/Llama-3.1-Tulu-3-8B-DPO:continue,3
death_1,allenai/Llama-3.1-Tulu-3-8B-SFT,3
death_1,allenai/Llama-3.1-Tulu-3-8B-SFT-no-safety-data,100
death_1,allenai/Llama-3.1-Tulu-3.1-8B,100
death_1,allenai/OLMo-2-0425-1B,100
death_1,allenai/OLMo-2-0425-1B-DPO,100
death_1,allenai/OLMo-2-0425-1B-Instruct,100
death_1,allenai/OLMo-2-0425-1B-SFT,100
death_1,allenai/Olmo-3-1025-7B,100
death_1,allenai/Olmo-3-7B-Instruct,100
death_1,allenai/Olmo-3-7B-Instruct-DPO,100
death_1,allenai/Olmo-3-7B-Instruct-DPO:continue,3
death_1,allenai/Olmo-3-7B-Instruct-SFT,100
death_1,anthropic/claude-haiku-4-5,100
death_1,anthropic/claude-haiku-4-5-raw,100
death_1,anthropic/claude-sonnet-4-6,100
death_1,anthropic/claude-sonnet-4-6-raw,100
death_1,bigscience/bloom-7b1,8
death_1,bigscience/bloomz-7b1,8
death_1,deepseek-ai/deepseek-llm-7b-base,100
death_1,deepseek-ai/deepseek-llm-7b-chat,100
death_1,deepseek-ai/deepseek-llm-7b-chat:continue,3
death_1,deepseek/deepseek-chat,100
death_1,deepseek/deepseek-chat-raw,100
death_1,huggyllama/llama-7b,5
death_1,lomahony/eleuther-pythia6.9b-hh-dpo,100
death_1,lomahony/eleuther-pythia6.9b-hh-sft,100
death_1,m-a-p/CT-LLM-Base,8
death_1,m-a-p/CT-LLM-SFT-DPO,8
death_1,m-a-p/neo_7b,8
death_1,m-a-p/neo_7b_instruct_v0.1,8
death_1,meta-llama/Llama-3.1-8B,100
death_1,meta-llama/Llama-3.1-8B-Instruct,100
death_1,meta-llama/Llama-3.1-8B-Instruct:continue,3
death_1,mistralai/Mistral-7B-v0.1,100
death_1,openai/gpt-4o-mini,100
death_1,openai/gpt-4o-mini-raw,100
death_1,openbmb/MiniCPM5-1B,8
death_1,openbmb/MiniCPM5-1B-Base,8
death_1,stabilityai/stablelm-2-1_6b,8
death_1,stabilityai/stablelm-2-zephyr-1_6b,8
death_1,tiiuae/Falcon-H1-1.5B-Base,8
death_1,tiiuae/Falcon-H1-1.5B-Instruct,8
death_1,tiiuae/Falcon-H1-7B-Base,8
death_1,tiiuae/Falcon-H1-7B-Instruct,8
death_1,tiiuae/Falcon3-10B-Base,8
death_1,tiiuae/Falcon3-10B-Instruct,8
death_1,tiiuae/Falcon3-1B-Base,8
death_1,tiiuae/Falcon3-1B-Instruct,8
death_1,tiiuae/Falcon3-3B-Base,8
death_1,tiiuae/Falcon3-3B-Instruct,8
death_1,tiiuae/Falcon3-7B-Base,8
death_1,tiiuae/Falcon3-7B-Instruct,8
death_1,tiiuae/Falcon3-Mamba-7B-Base,8
death_1,tiiuae/Falcon3-Mamba-7B-Instruct,8
