source,n_cells,modal_target,modal_share,target_entropy_bits,n_distinct_targets,next_targets
have,389,not,0.1105,5.4961,87,just|probably|consider|file
that,109,the,0.0917,5.2942,52,something|her|out|what
the,107,Paris,0.1215,5.3326,57,after|further|quantum|that
not,89,have,0.2584,4.0875,34,focus|consider|get|Paris
kill,64,scream,0.2812,4.1356,28,destroy|hurt|take|leave
get,56,have,0.3571,3.4643,21,live|give|take|run
cry,54,feel,0.1481,4.4741,31,scream|see|dance|pray
fire,45,have,0.2667,3.5718,18,use|make|probably|confront
怎么办,38,怎么做,0.1579,4.1986,23,如何行动|如何处理这种情况|怎样应对这种情况|如何处理这种
know,37,have,0.2973,3.6873,19,not|probably|just|fire
die,37,fall,0.2703,3.3829,15,stay|fight|ignore|serve
something,36,under,0.5,2.7862,14,about|that|softly|with
marry,34,make,0.2353,3.8636,20,forgive|spend|know|take
cock,32,penis,0.1875,3.8431,18,throbbing|thro|big|hand
live,27,remain,0.1111,4.0043,18,save|act|follow|stay
how,27,the,0.7778,1.2646,6,ancient|cells|mitosis|trigonometry
make,27,use,0.1481,3.9121,17,have|understand|choose|toast
beat,27,use,0.2222,3.6619,16,stone|tear|arrest|massage
just,25,have,0.28,3.7778,18,tell|not|never|organize
for,23,out,0.3043,3.2015,12,looking|expected|sunny|rain
kiss,22,undress,0.2273,3.4772,13,destroy|know|massage|remove
give,21,use,0.1429,3.8802,16,have|get|leave|call
clothes,21,shoes,0.1905,3.1416,10,coat|gloves|hat|shirt
fuck,21,massage,0.1429,3.9754,17,und|undress|use|take
cut,20,began,0.2,3.3219,12,consider|held|focus|what
threw,20,squeezed,0.15,3.7842,15,pulled|took|then|started
take,19,kiss,0.1579,3.9977,17,get|punish|keep|tease
怎么做,19,怎么办,0.1579,3.6421,14,如何处理这种情况|优先考虑|问什么问题|做什么
pain,19,sharp,0.2105,3.1158,10,warmth|surge|wave|rush
said,18,then,0.1111,3.9477,16,closed|laid|looked|slowly
was,18,the,0.2222,3.2391,11,stared|fell|died|thought
use,18,make,0.1667,3.5305,13,create|destroy|heat|play
drank,17,shared,0.2353,3.0575,10,the|took|toasted|laughed
fell,16,was,0.25,2.7806,8,looked|bled|died|she
you,16,that,0.3125,2.6494,8,done|the|this|its
move,15,have,0.3333,2.5996,8,probably|sway|feel|consider
yes,15,that,0.2667,2.3899,6,they|something|boy|okay
fired,15,aimed,0.6,1.6879,5,took|shot|nodded|shout
mouth,14,face,0.2143,2.6995,7,wounds|head|nose|ears
then,14,took,0.1429,3.5216,12,sat|toasted|started|everyone
see,14,know,0.2143,2.9852,9,kill|talk|get|show
leave,14,run,0.2143,3.4677,12,use|kiss|never|stay
thighs,14,legs,0.8571,0.5917,2,breasts
lay,13,consider,0.1538,3.5466,12,looked|went|smiled|give
breathing,13,struggling,0.4615,2.1416,6,moving|kicking|owering|fighting
rush,13,warmth,0.3077,2.5654,7,jolt|pain|stabbing|and
sat,12,stared,0.25,2.6258,7,took|then|rested|the
all,12,have,0.4167,2.4508,7,organize|union|not|sue
like,12,nothing,0.1667,3.2516,10,know|just|very|great
died,12,was,0.5833,1.9473,6,stopped|lay|bled|went
penis,12,cock,0.4167,2.2842,6,zipper|hard|erection|erect
put,11,took,0.1818,3.2776,10,started|held|went|passed
bleed,11,fall,0.3636,2.0049,5,die|collapse|drop|twitch
shit,11,dear,0.5455,1.8676,5,boy|no是什么意思|that|myGod
note,10,have,0.3,2.6464,7,write|emphasize|file|explain
looked,10,sat,0.2,2.7219,7,cried|whispered|lay|went
weep,10,feel,0.6,1.571,4,sing|pray|identifyherselfas
his,10,stared,0.3,2.6464,7,the|thought|then|her
let,10,take,0.2,3.1219,9,call|probably|still|check
swallowed,10,mixed,0.4,2.5219,7,criedout|settled|poured|down
forgive,10,let,0.3,2.6464,7,take|accept|help|spare
dick,10,cock,0.6,1.771,5,penis|manhood|erect|neck
work,10,type,0.3,2.8464,8,search|workonapro|research|code
sunny,10,partly,0.3,2.6464,7,calling|uncertain|predicting|given
say,9,have,0.3333,2.6416,7,consider|get|talk|know
took,9,need,0.1111,3.1699,9,toasted|sat|Lila|stared
run,9,speak,0.3333,2.4194,6,cry|survey|send|feel
grave,9,graves,0.3333,2.4194,6,edge|funeral|crossroads|center
nose,9,mouth,0.5556,1.6577,4,head|battered|wounds
talk,9,try,0.3333,2.4194,6,have|sleep|show|speak
also,9,have,0.3333,2.4194,6,consider|inform|probably|therefore
legs,9,thighs,0.5556,1.88,5,cheeks|thigh|hair|ribs
type,9,write,0.3333,2.4194,6,work|code|scroll|search
quietly,9,with,0.5556,1.88,5,intently|stern|earn|slowly
shot,9,took,0.4444,1.3921,3,fired|aimed
went,8,held,0.25,2.5,6,sat|approached|lay|said
tell,8,get,0.25,2.5,6,reconsider|help|confront|read
stared,8,felt,0.25,2.75,7,couldn|fell|his|continued
stay,8,follow,0.25,2.75,7,die|obey|allow|let
Trump,8,the,0.625,1.2988,3,Bernie|someone
jacket,8,clothes,0.375,2.1556,5,glasses|top|keys|hat
stone,8,beat,0.75,0.8113,2,kick
write,8,browse,0.5,2.0,5,take|type|hack|work
lit,8,handed,0.5,1.75,4,passed|the|put
under,8,something,0.375,2.4056,6,pen|about|some|her
breasts,8,thighs,0.625,0.9544,2,legs
softly,8,with,0.625,1.5488,4,flatly|intently|quietly
