word,primary,secondary,confidence,note
Damn,TRANSGRESSIVE,DEMOTIC,high,Profanity used as interjection; also a spoken discourse marker.
The,DEMOTIC,,high,
Well,DEMOTIC,,high,Sentence-initial discourse marker.
What,DEMOTIC,,high,
about,DEMOTIC,,high,
act,PROCEDURAL,OTHER,medium,Bare 'take action'; measured only by implication.
actually,DEMOTIC,,high,
add,DEMOTIC,PROCEDURAL,medium,Light general verb; procedural only in 'add to the record' sense.
added,NARRATIVE_CRAFT,DEMOTIC,medium,Dialogue attribution ('she added').
address,PROCEDURAL,,high,
advise,PROCEDURAL,,high,
after,DEMOTIC,NARRATIVE_CRAFT,medium,Function word doubling as temporal scaffolding.
all,DEMOTIC,,high,
aloud,NARRATIVE_CRAFT,,medium,Manner of speech.
also,DEMOTIC,,high,
always,DEMOTIC,,high,
analyze,PROCEDURAL,,high,
and,DEMOTIC,,high,
angrily,AFFECT,NARRATIVE_CRAFT,medium,Names an emotion but functions as a speech-attribution adverb.
appeal,CONTESTATION,PROCEDURAL,medium,Formal challenge to a decision; institutional route to dispute.
apply,PROCEDURAL,,high,
approach,PROCEDURAL,,high,
ask,PROCEDURAL,DEMOTIC,low,"Very common verb, but dominant sense here is gathering information."
asked,NARRATIVE_CRAFT,PROCEDURAL,medium,Past-tense dialogue attribution.
avoid,PROCEDURAL,OTHER,medium,"A chosen strategy, though a negative one."
back,DEMOTIC,,high,
bad,DEMOTIC,AFFECT,medium,
based,DEMOTIC,,medium,Fragment of the connective 'based on'.
beat,TRANSGRESSIVE,,high,
began,NARRATIVE_CRAFT,DEMOTIC,medium,Temporal scaffolding of narration.
believe,DEMOTIC,PROCEDURAL,low,High-frequency mental-state verb; hedging use ('I believe') dominates.
bleeding,TRANSGRESSIVE,,high,
boots,NARRATIVE_CRAFT,OTHER,low,Garment/prop; scene description rather than storytelling machinery proper.
break,DEMOTIC,TRANSGRESSIVE,low,General verb; breakage/violence is a secondary sense.
bring,DEMOTIC,,high,
burst,NARRATIVE_CRAFT,TRANSGRESSIVE,medium,'burst in/out' as scene action.
call,PROCEDURAL,DEMOTIC,low,"Contacting someone as an organized step, but an everyday verb."
carefully,PROCEDURAL,NARRATIVE_CRAFT,medium,Manner adverb denoting measured action; also a gesture adverb.
change,DEMOTIC,PROCEDURAL,low,Plain alteration verb; procedural only in 'change your approach'.
charge,CONTESTATION,PROCEDURAL,low,Legal/accusatory sense assumed over 'charge at'.
check,PROCEDURAL,,high,
choose,PROCEDURAL,,high,
clarify,PROCEDURAL,,high,
closed,NARRATIVE_CRAFT,DEMOTIC,low,Scene action ('closed the door').
clothes,NARRATIVE_CRAFT,OTHER,low,Costume/prop noun.
coat,NARRATIVE_CRAFT,OTHER,low,Garment/prop noun.
cold,NARRATIVE_CRAFT,AFFECT,low,Sensory scene description; also emotional coldness.
come,DEMOTIC,,high,
complain,CONTESTATION,PROCEDURAL,high,Grievance; also 'file a complaint'.
confront,CONTESTATION,,high,
consider,PROCEDURAL,,high,
consult,PROCEDURAL,,high,
contact,PROCEDURAL,,high,
continue,DEMOTIC,PROCEDURAL,medium,Aspectual high-frequency verb.
continued,NARRATIVE_CRAFT,DEMOTIC,medium,Dialogue attribution ('he continued').
create,PROCEDURAL,DEMOTIC,low,"Organized making (a plan, a record); otherwise generic."
cry,AFFECT,NARRATIVE_CRAFT,medium,
cut,TRANSGRESSIVE,DEMOTIC,medium,Bodily injury sense assumed over generic 'cut'.
decide,PROCEDURAL,,high,
definitely,DEMOTIC,,high,
demand,CONTESTATION,,high,
die,TRANSGRESSIVE,,high,
discuss,PROCEDURAL,DEMOTIC,high,Deliberative talk.
document,PROCEDURAL,,high,
down,DEMOTIC,,high,
downed,TRANSGRESSIVE,OTHER,low,Reads as 'downed a drink' (intoxication) or 'downed him'; both marginal.
draft,PROCEDURAL,,high,
drag,TRANSGRESSIVE,NARRATIVE_CRAFT,low,Physical coercion; also plain movement description.
drank,TRANSGRESSIVE,DEMOTIC,medium,Drinking in narrative usually implies alcohol.
eat,DEMOTIC,OTHER,medium,"Ordinary bodily verb, not transgressive."
either,DEMOTIC,,high,
emphasize,PROCEDURAL,,high,
end,DEMOTIC,NARRATIVE_CRAFT,low,
ensure,PROCEDURAL,,high,
ered,OTHER,,high,"Subword fragment, not a word."
everyone,DEMOTIC,,high,
evict,PROCEDURAL,CONTESTATION,medium,Institutional action taken against someone.
examined,PROCEDURAL,NARRATIVE_CRAFT,medium,Careful inspection; also 'examined her face'.
expect,DEMOTIC,PROCEDURAL,low,"High-frequency mental-state verb; anticipation, not deliberation."
explain,PROCEDURAL,NARRATIVE_CRAFT,medium,Considered communication.
explore,PROCEDURAL,,high,
explode,TRANSGRESSIVE,AFFECT,medium,Violent rupture or emotional outburst.
face,NARRATIVE_CRAFT,CONTESTATION,low,Body-part noun vs 'face the problem'; genuinely split.
feel,AFFECT,DEMOTIC,medium,
fell,NARRATIVE_CRAFT,DEMOTIC,medium,Scene action.
felt,AFFECT,NARRATIVE_CRAFT,medium,Interior emotional report.
fight,TRANSGRESSIVE,CONTESTATION,high,Physical violence primary; 'fight it' is contestation.
file,PROCEDURAL,CONTESTATION,high,Administrative filing; 'file a grievance' bridges to contestation.
filled,DEMOTIC,PROCEDURAL,low,'filled out' a form would be procedural; bare 'filled' is generic.
find,DEMOTIC,PROCEDURAL,medium,Light verb; 'find out' is information-gathering.
fine,DEMOTIC,PROCEDURAL,low,Discourse 'fine' vs a monetary penalty; former assumed.
fire,PROCEDURAL,CONTESTATION,low,Dismissal from employment assumed over 'fire a gun'.
first,DEMOTIC,PROCEDURAL,medium,Common ordinal; also step-sequencing in planning.
focus,PROCEDURAL,,high,
follow,PROCEDURAL,DEMOTIC,medium,"'follow up', 'follow procedure'."
for,DEMOTIC,,high,
force,TRANSGRESSIVE,CONTESTATION,medium,Coercion.
form,PROCEDURAL,OTHER,medium,Administrative form.
found,DEMOTIC,NARRATIVE_CRAFT,medium,
fuck,TRANSGRESSIVE,,high,
gather,PROCEDURAL,CONTESTATION,medium,Gathering evidence; 'gather' people is collective action.
gave,DEMOTIC,NARRATIVE_CRAFT,medium,
gazed,NARRATIVE_CRAFT,,high,
gently,NARRATIVE_CRAFT,,medium,Manner of gesture.
get,DEMOTIC,,high,
give,DEMOTIC,,high,
glanced,NARRATIVE_CRAFT,,high,
glasses,NARRATIVE_CRAFT,OTHER,low,Prop/costume noun.
gloves,NARRATIVE_CRAFT,OTHER,low,Prop/costume noun.
good,DEMOTIC,,high,
goodbye,DEMOTIC,NARRATIVE_CRAFT,medium,Spoken formula.
got,DEMOTIC,,high,
great,DEMOTIC,,high,
grinned,NARRATIVE_CRAFT,,high,
hack,TRANSGRESSIVE,OTHER,low,Illicit intrusion assumed; could be 'hack at' or a neutral 'hack'.
had,DEMOTIC,,high,
hand,NARRATIVE_CRAFT,DEMOTIC,medium,Body part / gesture.
handed,NARRATIVE_CRAFT,DEMOTIC,medium,Gesture.
handle,PROCEDURAL,,high,
have,DEMOTIC,,high,
head,NARRATIVE_CRAFT,DEMOTIC,medium,Body part; also 'head to'.
