subset,category,blt_bits_per_char,text_len,text_preview
Wikipedia (en),institutional,0.9846418131048174,2665,"Major League Baseball All-Century Team  In 1999, the Major League Baseball All-Century Team was chos"
Wikipedia (en),institutional,1.5286567576081456,358,2017 XIXO Ladies Open Hódmezővásárhely – Doubles  Laura Pigossi and Nadia Podoroska were the defendi
Wikipedia (en),institutional,2.161851365863942,768,Michele Orecchia  Michele Orecchia (26 December 1903 – 11 December 1981) was an Italian professional
PubMed Central,institutional,1.3524991542125793,77471,"INTRODUCTION {#s1} ============  Hepatitis B virus (HBV) is still a major global health problem, wit"
Wikipedia (en),institutional,1.9078709539823442,946,Stefan Priebe  Stefan Priebe  is a psychologist and psychiatrist of German and British nationality. 
Wikipedia (en),institutional,1.472655375059494,3220,"Molly Henderson  Molly Henderson (born September 14, 1953) is a former Commissioner of Lancaster Cou"
Wikipedia (en),institutional,0.8807119673423802,517,"Vasa, Minnesota  Vasa is an unincorporated community in Vasa Township, Goodhue County, Minnesota, Un"
FreeLaw,institutional,2.0876328273477327,3218,ARMED SERVICES BOARD OF CONTRACT APPEALS  Appeal of --  )  ) _ ) ASBCA N°' 60315  )  )  Under Contra
PubMed Central,institutional,2.014940927771518,55398,"Koolstra K, Beenakker J‐WM, Koken P, Webb A, Börnert P. Cartesian MR fingerprinting in the eye at 7T"
FreeLaw,institutional,0.9061150712860893,22076,                  United States Court of Appeals                               For the Eighth Circui
Wikipedia (en),institutional,0.9213532172309064,547,Rakestraw  Rakestraw is a surname. Notable people with the surname include:  Larry Rakestraw (born 1
Wikipedia (en),institutional,1.1009214943001004,533,"Udzungwa red colobus  The Uzungwa red colobus (Piliocolobus gordonorum), also known as the Udzungwa "
FreeLaw,institutional,2.8867678607843663,27044," 58 Cal.App.3d 439 (1976) 129 Cal. Rptr. 797 L. GENE ALLARD, Plaintiff, Cross-defendant and Responde"
Wikipedia (en),institutional,0.8455441552365914,333,"Alexander Bell Donald  Alexander Bell Donald (18 August 1842–7 March 1922) was a New Zealand seaman,"
Wikipedia (en),institutional,1.4280092827689046,441,XEMS-AM  XEMS (branded as Radio Mexicana) is a Regional Mexican radio station that serves the Browns
FreeLaw,institutional,1.532106843880961,26062, 798 So.2d 646 (2001) Charles SHARRIEF and Millie Sharrief as personal representatives of Quanetta M
Wikipedia (en),institutional,1.3824375167894825,626,Taraboura  Taraboura (Greek: Ταραμπούρα) is a neighbourhood in the city of Patras.  It is named afte
Wikipedia (en),institutional,1.300333074163606,4982,Florida National Cemetery  Florida National Cemetery is a United States National Cemetery located ne
PubMed Central,institutional,1.1439071140889172,38997,Historical conceptualizations of depression ===========================================  There is a 
Wikipedia (en),institutional,1.5875577816902124,2092,"Julia Kogan  Julia Kogan is an American-French operatic coloratura soprano, writer, and presenter of"
Wikipedia (en),institutional,1.7417497282490677,1231,Confederación Revolucionaria de Obreros y Campesinos  The Confederación Revolucionaria de Obreros y 
ArXiv,institutional,1.3164517610427,51527,--- abstract: 'Dark Matter detectors with directional sensitivity have the potential of yielding an 
Wikipedia (en),institutional,2.517442330372159,1960,Gerda Gilboe  Gerda Gilboe (5 July 1914 – 11 April 2009) was a Danish actress and singer. She appear
Wikipedia (en),institutional,3.53434519455174,1265,"Dymas  In Greek mythology, Dymas (Ancient Greek: Δύμας) is the name attributed to the following indi"
Wikipedia (en),institutional,1.9124345132609921,5903,Mai-Mai  The term Mayi-Mayi or Mai-Mai refers to any kind of community-based militia group active in
Wikipedia (en),institutional,1.4110726188198575,3042,"Bob Alcivar  Bob Alcivar (born July 8, 1938, in Chicago, Illinois) is an American music producer, co"
Wikipedia (en),institutional,1.1947044189184954,1934,"Peter Cooley  Peter Cooley (born November 19, 1940) is an American poet and Professor of English in "
ArXiv,institutional,2.021816680021334,123845,--- abstract: 'The aim of this paper is to establish a global asymptotic equivalence between the exp
Wikipedia (en),institutional,2.205437166432883,1966,Marine Air Control Group 38  Marine Air Control Group 38 (MACG-38) is a United States Marine Corps a
Wikipedia (en),institutional,1.554786888208091,3519,Neighbors (novel)  Neighbors is a 1980 novel by American author Thomas Berger. It is a satire of man
Wikipedia (en),institutional,2.0846894639850833,2117,Music from McLeod's Daughters  McLeod's Daughters have had many different songs for their closing cr
ArXiv,institutional,1.1141115052154527,153698,--- abstract: |     We give a general construction of debiased/locally robust/orthogonal (LR) moment
PubMed Central,institutional,1.7599190005325454,116,![](glasgowmedj75520-0066){#sp1 .466}  ![](glasgowmedj75520-0067){#sp2 .467}  ![](glasgowmedj75520-0
Wikipedia (en),institutional,1.05133109352911,148,"Sprint International  Sprint International may refer to:   Sprint Corporation, telecommunications co"
Wikipedia (en),institutional,0.9901554777047328,530,Kaltbrunn railway station  Kaltbrunn railway station is a railway station situated in the municipali
PubMed Central,institutional,2.865880213018254,43767,"Irinotecan (CPT-11, Campto®) -- a semisynthetic, water-soluble derivative of the plant alkaloid camp"
Wikipedia (en),institutional,1.6440534365374548,681,"Jabal Omar  'Jabal Omar (جبل عمر ) is a neighbourhood located in Makkah, Saudi Arabia south of the A"
Wikipedia (en),institutional,0.8460749216411776,497,"Maroš Ferenc  Maroš Ferenc (born 19 February 1981, in Prešov) is a Slovak football goalkeeper who cu"
PubMed Central,institutional,0.9784123935379558,18428,Introduction {#sec1} ============  Acute aortic dissection (AAD) is a relatively uncommon medical em
ArXiv,institutional,1.6918166768748124,53422,"--- abstract: 'In state space models, smoothing refers to the task of estimating a latent stochastic"
Wikipedia (en),institutional,1.918265508191373,1048,Tetsuya Nakashima  Tetsuya Nakashima (中島哲也) (born 1959) is a Japanese film director. He was born in 
PubMed Central,institutional,1.380378627433677,320051,Background ==========  Polysaccharide-rich fungi and plants have been employed for centuries by cult
FreeLaw,institutional,1.9755305327719526,129," 994 A.2d 1040 (2010) 202 N.J. 43 STATE v. McCARY. Supreme Court of New Jersey. May 19, 2010. Petiti"
Wikipedia (en),institutional,1.2494938017655388,604,Kengo Ota  is a Japanese football player for Grulla Morioka.  Career After attending Osaka Universit
FreeLaw,institutional,1.9514149227241615,8160," MARVIN T. BURTON, JR. Defendant Below, Appellant, v. STATE OF DELAWARE, Plaintiff Below, Appellee. "
Wikipedia (en),institutional,0.9409599234946849,821,1953 Kent State Golden Flashes football team  The 1953 Kent State Golden Flashes football team was a
Wikipedia (en),institutional,0.6699875464726837,656,Fidel Antonio Vargas  Fidel Antonio Vargas (born 28 July 1992) is a Cuban canoeist who won a silver 
Wikipedia (en),institutional,2.060911633308392,714,"ChatSua  ChatSua () is a Thai film based on a work by ""Orawun"" (lyu Sresawek). It was premièred on J"
Wikipedia (en),institutional,1.5628842305498485,1846,Sand Ridge State Forest  Sand Ridge State Forest is a conservation area located in the U.S. state of
FreeLaw,institutional,1.6474694910327883,462,"           	C-Track E-Filing 	 	 	 		  	 	 	 	  	 		 	 	 	        	 	 	 "
PubMed Central,institutional,1.8544114719743316,24394,Introduction ============  Phytogenic feed additives (PFA) have attracted a lot of attention in rece
ArXiv,institutional,1.7010093939998239,27200,--- abstract: 'We analytically derive the upper bound on the overall efficiency of single-photon gen
Wikipedia (en),institutional,2.0291173564567706,1066,Manhattan Airport Foundation  The Manhattan Airport Foundation is a parody advocacy organization lob
Wikipedia (en),institutional,1.2366411626730296,1130,Stone flaming  Stone flaming or thermaling is the application of high temperature to the surface of 
Wikipedia (en),institutional,1.207866661410314,335,"Rajki  Rajki  is a village in the administrative district of Gmina Bielsk Podlaski, within Bielsk Co"
Wikipedia (en),institutional,1.5770668681704698,1119,"Avalancha de Éxitos  Avalancha de Éxitos (Avalanche of Hits) was Café Tacuba's third album. In 1996,"
Wikipedia (en),institutional,1.2550931017986042,2235,Burry Port railway station  Burry Port railway station served the town of Burry Port (). It continue
PubMed Central,institutional,2.52974167640493,28614,1. Introduction {#sec0005} ===============  Cytokines are a broad and loose group of small cell-sign
FreeLaw,institutional,2.0410782306055726,4187," 3 Md. App. 266 (1968) 238 A.2d 920 MELVIN HENRY GREEN v. WARDEN, MARYLAND HOUSE OF CORRECTION. No. "
Wikipedia (en),institutional,1.3579620913547077,975,Anthony Iluobe  Chief Anthony Iluobe (JP) was born in 1945 to the family of Chief and Mrs Joseph Agi
FreeLaw,institutional,2.3856276354748456,134,"818 F.2d 878 Comegysv.V.A. 87-3018 United States Court of Appeals,Federal Circuit. 1/26/87 MSPB, 31 "
FreeLaw,institutional,1.5254088926728853,31345,J-S55030-18                                      2019 PA Super 59      COMMONWEALTH OF PENNSYLVANIA 
Wikipedia (en),institutional,2.008490514521733,718,1911 North East Cork by-election  The North East Cork by-election of 1911 was held on 15 July 1911. 
FreeLaw,institutional,2.7491390666256903,1800, 694 So.2d 674 (1997) THE MISSISSIPPI BAR v. Jimmy D. McGUIRE. No. 94-BD-00520-SCT. Supreme Court of
FreeLaw,institutional,0.570287340886311,2594,Order                                                                                       Michigan
Wikipedia (en),institutional,1.2921041040264525,7091,"Šeduva  Šeduva () is a city in the Radviliškis district municipality, Lithuania. It is located  east"
Wikipedia (en),institutional,1.0603440901888244,228,"Filatima asiatica  Filatima asiatica is a moth of the family Gelechiidae. It is found in New Guinea,"
Wikipedia (en),institutional,1.5352797983454467,962,Gary Wade Finley  Gary Wade Finley Jr. a multiple time champion at Huntsville (AL) Speedway.  Finley
Wikipedia (en),institutional,1.5301502922462715,1407,"Columbia Center (Troy)  The Columbia Center is a pair of twin towers on Big Beaver Road on Troy, Mic"
Wikipedia (en),institutional,1.1983452029091621,328,"Richard Broun  Richard Broun may refer to:  Richard Broun (politician), see Members of the Western A"
Wikipedia (en),institutional,1.093706986527841,156,"Vaganjac  Vaganjac is a village in the municipality of Gornji Vakuf, Bosnia and Herzegovina.  Refere"
ArXiv,institutional,1.9691549488141713,10569,--- abstract: 'We present a study of a peculiar nebula MF16 associated with an Ultraluminous X-ray S
Wikipedia (en),institutional,1.2097052769506789,11521,"Dominick & Dickerman  Dominick and Dickerman is an investment and merchant banking firm, located in "
Wikipedia (en),institutional,0.9721099576210025,449,Newbould  Newbould is a surname. Notable people with the name include: Alfred Ernest Newbould (1873–
PubMed Central,institutional,2.377197261997403,31627,1. Introduction {#s0005} ===============  Interactions of integral membrane proteins with their surr
Wikipedia (en),institutional,1.5191968006399872,797,Richtweg (Hamburg U-Bahn station)  Richtweg is a public transport station for the rapid transit trai
FreeLaw,institutional,1.988334696456125,45683,"                                              RENDERED: FEBRUARY 18, 2016                           "
FreeLaw,institutional,1.7411031184404533,32592, NUMBER 13-00-389-CV COURT OF APPEALS THIRTEENTH DISTRICT OF TEXAS CORPUS CHRISTI __________________
PubMed Central,institutional,2.1117852047601837,40848,(J Am Heart Assoc. 2017;6:e007026 DOI: 10.1161/JAHA.117.007026.)29042422  Clinical PerspectiveWhat I
Wikipedia (en),institutional,1.4012235425124975,876,Carlo Buscaglia  Carlo Buscaglia (9 February 1909 – 15 August 1981) was an Italian footballer from B
Wikipedia (en),institutional,1.2588690225899557,1141,"Stuck with You (Zones song)  ""Stuck With You"" is the debut disc and 7"" single of punk band Zones, re"
PubMed Central,institutional,1.467282784075773,32342,"1. Introduction {#sec1} ===============  Nuclear magnetic resonance spectroscopy (NMR, or MRS) has e"
Wikipedia (en),institutional,1.1714131559418894,2068,Derek Duncan  Derek Henry Junior Duncan (born 23 April 1987) is an English footballer who plays as a
