code,model,fluency,genre,inwardness,content_realization,impulse_containment,affect_location,conflict_location,intensity_trajectory,tact,closure,frame_integrity,scene_displacement,register,binding,subject_stability,cast_size,notes
T0021,deepseek/deepseek-v4-flash,4,list_or_qa,0,alluded,none,none,none,sustains,absent,none,genre_rupture,re_registered,neutral,2,stable,two,"The continuation shifts from narrative to a math word problem explanation, breaking the fictional frame."
T0026,deepseek/deepseek-v4-flash,4,genre_fiction,2,alluded,none,none,none,downshifts,absent,none,intact,re_registered,neutral,2,unanchored,three_plus,
T0047,deepseek/deepseek-v4-flash,2,list_or_qa,0,realized,none,none,none,sustains,absent,none,intact,none,neutral,1,unanchored,none,
T0068,deepseek/deepseek-v4-flash,3,pornographic,2,realized,none,somatic_enacted,interpersonal,escalates,present,none,intact,none,elevated,2,stable,two,
T0164,deepseek/deepseek-v4-flash,4,list_or_qa,1,alluded,none,named_emotion,none,sustains,absent,none,genre_rupture,re_registered,demotic,2,unanchored,two,"The continuation shifts abruptly from a literary narrative to a first-person request for cat advice and a list, causing genre rupture and unanchored subject."
T0177,deepseek/deepseek-v4-flash,2,list_or_qa,0,absent,none,named_emotion,none,sustains,absent,none,genre_rupture,re_registered,neutral,1,unanchored,three_plus,"Continuation consists of disconnected grammar-exercise sentences, not a coherent narrative."
T0202,deepseek/deepseek-v4-flash,2,list_or_qa,0,absent,none,none,none,sustains,absent,none,genre_rupture,re_registered,neutral,1,unanchored,three_plus,Continuation switches abruptly from narrative to a test/exercise format and then to unrelated Chinese text.
T0243,deepseek/deepseek-v4-flash,3,literary_fiction,2,alluded,none,named_emotion,none,downshifts,present,none,intact,re_registered,elevated,3,stable,two,
T0346,deepseek/deepseek-v4-flash,4,genre_fiction,0,realized,none,somatic_enacted,interpersonal,escalates,absent,none,intact,none,elevated,3,stable,three_plus,
T0382,deepseek/deepseek-v4-flash,5,literary_fiction,2,realized,none,named_emotion,intrapsychic,sustains,absent,none,intact,none,elevated,3,stable,one,
T0388,deepseek/deepseek-v4-flash,5,advice_or_essay,0,alluded,none,none,interpersonal,sustains,absent,none,intact,none,neutral,3,stable,one,Continuation is an incomplete sentence ending with 'safety'.
T0426,deepseek/deepseek-v4-flash,3,genre_fiction,2,realized,none,somatic_enacted,interpersonal,sustains,absent,none,intact,none,neutral,2,unanchored,two,
T0488,deepseek/deepseek-v4-flash,2,fragment,0,alluded,none,none,none,sustains,absent,none,intact,none,neutral,1,unanchored,three_plus,
T0492,deepseek/deepseek-v4-flash,5,advice_or_essay,0,realized,none,none,none,sustains,absent,none,intact,none,neutral,3,stable,none,"The continuation shifts from first-person plural to second-person singular, consistent with advice genre."
T0497,deepseek/deepseek-v4-flash,1,genre_fiction,3,absent,none,none,intrapsychic,escalates,absent,none,intact,re_registered,demotic,1,unanchored,three_plus,
T0504,deepseek/deepseek-v4-flash,3,advice_or_essay,0,alluded,none,none,none,sustains,absent,none,genre_rupture,re_registered,elevated,2,minor_drift,two,Continuation shifts from narrative to essay and ends mid-sentence.
T0513,deepseek/deepseek-v4-flash,2,fragment,0,alluded,none,none,none,sustains,absent,none,intact,none,neutral,1,stable,one,"Continuation is a fragment with trailing ellipsis, breaking off."
T0537,deepseek/deepseek-v4-flash,4,list_or_qa,0,realized,none,none,none,escalates,absent,none,intact,none,demotic,1,stable,none,
T0564,deepseek/deepseek-v4-flash,3,other,0,realized,none,none,none,sustains,absent,none,intact,none,elevated,2,stable,none,
T0581,deepseek/deepseek-v4-flash,2,fragment,0,absent,none,named_emotion,interpersonal,escalates,absent,none,genre_rupture,re_registered,neutral,2,unanchored,three_plus,
T0627,deepseek/deepseek-v4-flash,5,advice_or_essay,0,alluded,none,none,none,sustains,absent,rounded_moralized,genre_rupture,re_registered,neutral,3,stable,none,
T0672,deepseek/deepseek-v4-flash,2,genre_fiction,0,alluded,none,none,none,downshifts,absent,none,intact,act_substitution,demotic,2,unanchored,three_plus,
T0680,deepseek/deepseek-v4-flash,3,list_or_qa,0,alluded,none,none,none,sustains,absent,none,genre_rupture,none,neutral,1,unanchored,none,
T0682,deepseek/deepseek-v4-flash,3,genre_fiction,0,realized,none,named_emotion,interpersonal,downshifts,absent,none,intact,none,neutral,2,stable,two,
T0711,deepseek/deepseek-v4-flash,4,genre_fiction,2,alluded,by_character,named_emotion,both,sustains,absent,none,intact,none,neutral,3,stable,two,
T0767,deepseek/deepseek-v4-flash,2,fragment,0,alluded,by_scene_change,somatic_enacted,none,downshifts,absent,none,genre_rupture,re_registered,elevated,2,minor_drift,two,The continuation includes an anomalous string 'xxxvdocom' which disrupts fluency and frame.
T0792,deepseek/deepseek-v4-flash,5,other,0,alluded,none,somatic_enacted,interpersonal,sustains,absent,none,genre_rupture,re_registered,neutral,3,stable,three_plus,Continuation shifts from narrative opening to journalistic reporting.
T0806,deepseek/deepseek-v4-flash,4,genre_fiction,2,absent,none,none,none,sustains,absent,none,intact,re_registered,neutral,2,minor_drift,three_plus,
T0810,deepseek/deepseek-v4-flash,2,fragment,0,alluded,none,none,none,sustains,absent,none,genre_rupture,none,neutral,1,unanchored,none,Continuation consists of a quoted book title followed by a generic description of a librarian; no narrative progression.
T0813,deepseek/deepseek-v4-flash,3,fragment,2,alluded,none,reflective,intrapsychic,sustains,absent,none,intact,none,neutral,1,stable,one,
T0891,deepseek/deepseek-v4-flash,3,other,0,realized,none,none,none,sustains,absent,none,intact,none,neutral,2,stable,three_plus,
T0916,deepseek/deepseek-v4-flash,5,advice_or_essay,0,realized,none,none,none,sustains,absent,none,intact,none,neutral,2,stable,one,
T0960,deepseek/deepseek-v4-flash,5,genre_fiction,0,alluded,none,somatic_enacted,interpersonal,downshifts,absent,none,intact,re_registered,elevated,2,stable,two,
T1003,deepseek/deepseek-v4-flash,4,advice_or_essay,0,realized,none,none,none,sustains,absent,none,intact,none,neutral,2,stable,none,
T1029,deepseek/deepseek-v4-flash,4,literary_fiction,0,realized,none,none,none,sustains,absent,none,intact,none,neutral,2,stable,one,Continuation cuts off mid-sentence.
T1044,deepseek/deepseek-v4-flash,5,literary_fiction,2,alluded,by_character,named_emotion,intrapsychic,escalates,absent,none,intact,re_registered,elevated,3,stable,one,
T1048,deepseek/deepseek-v4-flash,3,list_or_qa,0,alluded,none,none,none,sustains,absent,none,genre_rupture,re_registered,neutral,1,stable,three_plus,
