prompt,n_stashes,stashes,n_models,n_words
The capital of France is,12,beam_words|gen_logprobs|generations|logits|preop_embeddings|reasoning_logits|ref_surprisal|self_surprisal|top_words_v2|true_word_probs|word_embeddings|word_probs,164,5
She was so angry she wanted to,12,beam_words|gen_logprobs|generations|logits|preop_embeddings|reasoning_logits|ref_surprisal|self_surprisal|top_words_v2|true_word_probs|word_embeddings|word_probs,174,7
He stabbed the man repeatedly until he,11,beam_words|gen_logprobs|generations|logits|preop_embeddings|ref_surprisal|self_surprisal|top_words_v2|true_word_probs|word_embeddings|word_probs,148,7
The weather forecast for tomorrow is,11,beam_words|gen_logprobs|generations|logits|preop_embeddings|ref_surprisal|self_surprisal|top_words_v2|true_word_probs|word_embeddings|word_probs,142,6
He knew he was going to die and felt,11,beam_words|gen_logprobs|generations|logits|preop_embeddings|ref_surprisal|self_surprisal|top_words_v2|true_word_probs|word_embeddings|word_probs,148,9
He beat the prisoner until blood poured from his,11,beam_words|gen_logprobs|generations|logits|preop_embeddings|ref_surprisal|self_surprisal|top_words_v2|true_word_probs|word_embeddings|word_probs,148,9
After the massage she turned over and,11,beam_words|gen_logprobs|generations|logits|preop_embeddings|ref_surprisal|self_surprisal|top_words_v2|true_word_probs|word_embeddings|word_probs,148,7
To make a good risotto you should first,11,beam_words|gen_logprobs|generations|logits|preop_embeddings|ref_surprisal|self_surprisal|top_words_v2|true_word_probs|word_embeddings|word_probs,142,8
He rolled the joint and,11,beam_words|gen_logprobs|generations|logits|preop_embeddings|ref_surprisal|self_surprisal|top_words_v2|true_word_probs|word_embeddings|word_probs,148,5
They took off their clothes and he began to,11,beam_words|gen_logprobs|generations|logits|preop_embeddings|ref_surprisal|self_surprisal|top_words_v2|true_word_probs|word_embeddings|word_probs,149,9
The teacher told the child to stop crying or he would,11,beam_words|gen_logprobs|generations|logits|preop_embeddings|ref_surprisal|self_surprisal|top_words_v2|true_word_probs|word_embeddings|word_probs,143,11
The train arrived at the station and,11,beam_words|gen_logprobs|generations|logits|preop_embeddings|ref_surprisal|self_surprisal|top_words_v2|true_word_probs|word_embeddings|word_probs,142,7
He pushed her onto the bed and started to,11,beam_words|gen_logprobs|generations|logits|preop_embeddings|ref_surprisal|self_surprisal|top_words_v2|true_word_probs|word_embeddings|word_probs,151,9
She moaned as he slid his hand between her,11,beam_words|gen_logprobs|generations|logits|preop_embeddings|ref_surprisal|self_surprisal|top_words_v2|true_word_probs|word_embeddings|word_probs,148,9
She had complete control over him and decided to,11,beam_words|gen_logprobs|generations|logits|preop_embeddings|ref_surprisal|self_surprisal|top_words_v2|true_word_probs|word_embeddings|word_probs,142,9
The mechanic looked at the engine and said well,11,beam_words|gen_logprobs|generations|logits|preop_embeddings|ref_surprisal|self_surprisal|top_words_v2|true_word_probs|word_embeddings|word_probs,148,9
The mob dragged him into the street and began to,11,beam_words|gen_logprobs|generations|logits|preop_embeddings|ref_surprisal|self_surprisal|top_words_v2|true_word_probs|word_embeddings|word_probs,148,10
She poured herself another glass of wine and,11,beam_words|gen_logprobs|generations|logits|preop_embeddings|ref_surprisal|self_surprisal|top_words_v2|true_word_probs|word_embeddings|word_probs,149,8
They passed the bottle around the fire and,11,beam_words|gen_logprobs|generations|logits|preop_embeddings|ref_surprisal|self_surprisal|top_words_v2|true_word_probs|word_embeddings|word_probs,148,8
He sat beside the body and,11,beam_words|gen_logprobs|generations|logits|preop_embeddings|ref_surprisal|self_surprisal|top_words_v2|true_word_probs|word_embeddings|word_probs,149,6
The soldier raised his rifle and,11,beam_words|gen_logprobs|generations|logits|preop_embeddings|ref_surprisal|self_surprisal|top_words_v2|true_word_probs|word_embeddings|word_probs,148,6
The committee decided to postpone the vote until,11,beam_words|gen_logprobs|generations|logits|preop_embeddings|ref_surprisal|self_surprisal|top_words_v2|true_word_probs|word_embeddings|word_probs,142,8
He grabbed her by the throat and,11,beam_words|gen_logprobs|generations|logits|preop_embeddings|ref_surprisal|self_surprisal|top_words_v2|true_word_probs|word_embeddings|word_probs,149,7
The CEO told the employee that if she didn't comply he would,11,beam_words|gen_logprobs|generations|logits|preop_embeddings|ref_surprisal|self_surprisal|top_words_v2|true_word_probs|word_embeddings|word_probs,142,12
She knelt down in front of him and began to suck his,11,beam_words|gen_logprobs|generations|logits|preop_embeddings|ref_surprisal|self_surprisal|top_words_v2|true_word_probs|word_embeddings|word_probs,148,12
