layer,word,probability,logit,source,model,model_id
0,tem,0.0301008,9.3984,top_k,base,meta-llama/Llama-3.1-8B
0,-do,0.00875983,8.1641,top_k,base,meta-llama/Llama-3.1-8B
0,prelim,0.00640883,7.8516,top_k,base,meta-llama/Llama-3.1-8B
0,etter,0.00408964,7.4023,top_k,base,meta-llama/Llama-3.1-8B
0,asts,0.0040737,7.3984,top_k,base,meta-llama/Llama-3.1-8B
0,kill,1.143e-05,1.5225,tracked,base,meta-llama/Llama-3.1-8B
0,fuck,4.68e-06,0.6284,tracked,base,meta-llama/Llama-3.1-8B
0,kiss,0.00031908,4.8516,tracked,base,meta-llama/Llama-3.1-8B
0,said,5.01e-06,0.6973,tracked,base,meta-llama/Llama-3.1-8B
0,the,7.896e-05,3.4551,tracked,base,meta-llama/Llama-3.1-8B
0,scream,5.6e-07,-1.4922,tracked,base,meta-llama/Llama-3.1-8B
1,",[],",0.01844933,9.3594,top_k,base,meta-llama/Llama-3.1-8B
1,assen,0.0060366,8.2422,top_k,base,meta-llama/Llama-3.1-8B
1,Annex,0.00508333,8.0703,top_k,base,meta-llama/Llama-3.1-8B
1,utsch,0.0048128,8.0156,top_k,base,meta-llama/Llama-3.1-8B
1,kill,1.23e-06,-0.2593,tracked,base,meta-llama/Llama-3.1-8B
1,fuck,1.5e-07,-2.3359,tracked,base,meta-llama/Llama-3.1-8B
1,kiss,1.32e-06,-0.1892,tracked,base,meta-llama/Llama-3.1-8B
1,said,1.97e-06,0.2134,tracked,base,meta-llama/Llama-3.1-8B
1,the,1.315e-05,2.1133,tracked,base,meta-llama/Llama-3.1-8B
1,scream,2.46e-06,0.4358,tracked,base,meta-llama/Llama-3.1-8B
2,vester,0.0246156,10.6094,top_k,base,meta-llama/Llama-3.1-8B
2,'gc,0.00979141,9.6875,top_k,base,meta-llama/Llama-3.1-8B
2,""":[{",0.00850693,9.5469,top_k,base,meta-llama/Llama-3.1-8B
2,urname,0.00774564,9.4531,top_k,base,meta-llama/Llama-3.1-8B
2,kill,5.3e-07,-0.1379,tracked,base,meta-llama/Llama-3.1-8B
2,fuck,2.35e-06,1.3545,tracked,base,meta-llama/Llama-3.1-8B
2,kiss,1.51e-06,0.9097,tracked,base,meta-llama/Llama-3.1-8B
2,said,4.7e-07,-0.2617,tracked,base,meta-llama/Llama-3.1-8B
2,the,1.633e-05,3.291,tracked,base,meta-llama/Llama-3.1-8B
2,scream,1.1e-06,0.5928,tracked,base,meta-llama/Llama-3.1-8B
3,utsch,0.05056221,11.2031,top_k,base,meta-llama/Llama-3.1-8B
3,��,0.01816991,10.1797,top_k,base,meta-llama/Llama-3.1-8B
3,warz,0.01339765,9.875,top_k,base,meta-llama/Llama-3.1-8B
3,asting,0.01093484,9.6719,top_k,base,meta-llama/Llama-3.1-8B
3,vester,0.00673676,9.1875,top_k,base,meta-llama/Llama-3.1-8B
3,kill,1e-07,-1.9707,tracked,base,meta-llama/Llama-3.1-8B
3,fuck,1.29e-05,2.9297,tracked,base,meta-llama/Llama-3.1-8B
3,kiss,3.6e-07,-0.6499,tracked,base,meta-llama/Llama-3.1-8B
3,said,3e-07,-0.8379,tracked,base,meta-llama/Llama-3.1-8B
3,the,8.41e-06,2.502,tracked,base,meta-llama/Llama-3.1-8B
3,scream,1.51e-06,0.7822,tracked,base,meta-llama/Llama-3.1-8B
4,��,0.03238367,10.8828,top_k,base,meta-llama/Llama-3.1-8B
4,warz,0.03090071,10.8359,top_k,base,meta-llama/Llama-3.1-8B
4,.GraphicsUnit,0.01392804,10.0391,top_k,base,meta-llama/Llama-3.1-8B
4,_HINT,0.01298236,9.9688,top_k,base,meta-llama/Llama-3.1-8B
4,adiens,0.0054543,9.1016,top_k,base,meta-llama/Llama-3.1-8B
4,kill,1e-07,-1.7627,tracked,base,meta-llama/Llama-3.1-8B
4,fuck,6.3e-07,0.0395,tracked,base,meta-llama/Llama-3.1-8B
4,kiss,3.2e-07,-0.6309,tracked,base,meta-llama/Llama-3.1-8B
4,said,2.4e-07,-0.9146,tracked,base,meta-llama/Llama-3.1-8B
4,the,7.38e-06,2.4961,tracked,base,meta-llama/Llama-3.1-8B
4,scream,6.4e-07,0.0466,tracked,base,meta-llama/Llama-3.1-8B
5,��,0.04665361,11.1016,top_k,base,meta-llama/Llama-3.1-8B
5,_HINT,0.03633387,10.8516,top_k,base,meta-llama/Llama-3.1-8B
5,RetVal,0.00531682,8.9297,top_k,base,meta-llama/Llama-3.1-8B
5,ší,0.00527544,8.9219,top_k,base,meta-llama/Llama-3.1-8B
5,�回,0.00469208,8.8047,top_k,base,meta-llama/Llama-3.1-8B
5,kill,1.1e-07,-1.8799,tracked,base,meta-llama/Llama-3.1-8B
5,fuck,9.5e-07,0.2966,tracked,base,meta-llama/Llama-3.1-8B
5,kiss,1.3e-07,-1.7139,tracked,base,meta-llama/Llama-3.1-8B
5,said,5.6e-07,-0.2334,tracked,base,meta-llama/Llama-3.1-8B
5,the,3.997e-05,4.0391,tracked,base,meta-llama/Llama-3.1-8B
5,scream,4.7e-07,-0.4036,tracked,base,meta-llama/Llama-3.1-8B
6,��,0.01718043,9.7891,top_k,base,meta-llama/Llama-3.1-8B
6,Sdk,0.01058455,9.3047,top_k,base,meta-llama/Llama-3.1-8B
6,warz,0.0065721,8.8281,top_k,base,meta-llama/Llama-3.1-8B
6,eyh,0.00641986,8.8047,top_k,base,meta-llama/Llama-3.1-8B
6,RetVal,0.00496088,8.5469,top_k,base,meta-llama/Llama-3.1-8B
6,kill,8e-07,-0.1808,tracked,base,meta-llama/Llama-3.1-8B
6,fuck,5.6e-07,-0.5391,tracked,base,meta-llama/Llama-3.1-8B
6,kiss,7e-08,-2.6289,tracked,base,meta-llama/Llama-3.1-8B
6,said,3.12e-06,1.1748,tracked,base,meta-llama/Llama-3.1-8B
6,the,5.404e-05,4.0273,tracked,base,meta-llama/Llama-3.1-8B
6,scream,6.2e-07,-0.4355,tracked,base,meta-llama/Llama-3.1-8B
7,��,0.01471882,9.5391,top_k,base,meta-llama/Llama-3.1-8B
7,_mime,0.00500783,8.4609,top_k,base,meta-llama/Llama-3.1-8B
7,.lesson,0.00408727,8.2578,top_k,base,meta-llama/Llama-3.1-8B
7,HEME,0.0037215,8.1641,top_k,base,meta-llama/Llama-3.1-8B
7,PageSize,0.00349603,8.1016,top_k,base,meta-llama/Llama-3.1-8B
7,kill,4.19e-06,1.375,tracked,base,meta-llama/Llama-3.1-8B
7,fuck,4.91e-06,1.5332,tracked,base,meta-llama/Llama-3.1-8B
7,kiss,2e-08,-3.8047,tracked,base,meta-llama/Llama-3.1-8B
7,said,1.52e-06,0.3584,tracked,base,meta-llama/Llama-3.1-8B
7,the,2.776e-05,3.2656,tracked,base,meta-llama/Llama-3.1-8B
7,scream,1.42e-06,0.2932,tracked,base,meta-llama/Llama-3.1-8B
8,��,0.01639437,9.3984,top_k,base,meta-llama/Llama-3.1-8B
8,Celt,0.01247218,9.125,top_k,base,meta-llama/Llama-3.1-8B
8,374,0.00705113,8.5547,top_k,base,meta-llama/Llama-3.1-8B
8,_HINT,0.00637017,8.4531,top_k,base,meta-llama/Llama-3.1-8B
8,afort,0.00414515,8.0234,top_k,base,meta-llama/Llama-3.1-8B
8,kill,7.1e-07,-0.6445,tracked,base,meta-llama/Llama-3.1-8B
8,fuck,8.21e-06,1.7988,tracked,base,meta-llama/Llama-3.1-8B
8,kiss,1.8e-07,-2.0059,tracked,base,meta-llama/Llama-3.1-8B
8,said,1.09e-06,-0.2217,tracked,base,meta-llama/Llama-3.1-8B
8,the,2.154e-05,2.7637,tracked,base,meta-llama/Llama-3.1-8B
8,scream,2.57e-06,0.6362,tracked,base,meta-llama/Llama-3.1-8B
9,ρθ,0.00662487,8.6172,top_k,base,meta-llama/Llama-3.1-8B
9,Celt,0.00652216,8.6016,top_k,base,meta-llama/Llama-3.1-8B
9,bson,0.00562245,8.4531,top_k,base,meta-llama/Llama-3.1-8B
9,lineno,0.00540706,8.4141,top_k,base,meta-llama/Llama-3.1-8B
9,STAT,0.00480914,8.2969,top_k,base,meta-llama/Llama-3.1-8B
9,kill,4.9e-07,-0.9033,tracked,base,meta-llama/Llama-3.1-8B
9,fuck,1.124e-05,2.2383,tracked,base,meta-llama/Llama-3.1-8B
9,kiss,3.1e-07,-1.3643,tracked,base,meta-llama/Llama-3.1-8B
9,said,5e-07,-0.8687,tracked,base,meta-llama/Llama-3.1-8B
9,the,4.86e-06,1.3994,tracked,base,meta-llama/Llama-3.1-8B
9,scream,1.27e-06,0.0588,tracked,base,meta-llama/Llama-3.1-8B
10,рахов,0.0050721,8.0703,top_k,base,meta-llama/Llama-3.1-8B
10,ippers,0.00491605,8.0391,top_k,base,meta-llama/Llama-3.1-8B
10,pedest,0.00451122,7.9531,top_k,base,meta-llama/Llama-3.1-8B
10,eding,0.00404383,7.8438,top_k,base,meta-llama/Llama-3.1-8B
10,""";""",0.00402807,7.8398,top_k,base,meta-llama/Llama-3.1-8B
10,kill,8.4e-07,-0.6357,tracked,base,meta-llama/Llama-3.1-8B
10,fuck,6.5e-07,-0.897,tracked,base,meta-llama/Llama-3.1-8B
10,kiss,4.8e-07,-1.1875,tracked,base,meta-llama/Llama-3.1-8B
10,said,1.01e-06,-0.4553,tracked,base,meta-llama/Llama-3.1-8B
10,the,1.484e-05,2.2363,tracked,base,meta-llama/Llama-3.1-8B
10,scream,4.1e-07,-1.3486,tracked,base,meta-llama/Llama-3.1-8B
11,.lesson,0.00813378,8.7109,top_k,base,meta-llama/Llama-3.1-8B
11,ivic,0.00590449,8.3906,top_k,base,meta-llama/Llama-3.1-8B
11,.ie,0.00576771,8.3672,top_k,base,meta-llama/Llama-3.1-8B
11,hread,0.00467084,8.1562,top_k,base,meta-llama/Llama-3.1-8B
11,icode,0.00463449,8.1484,top_k,base,meta-llama/Llama-3.1-8B
11,kill,8.4e-07,-0.4614,tracked,base,meta-llama/Llama-3.1-8B
11,fuck,3.1e-07,-1.459,tracked,base,meta-llama/Llama-3.1-8B
11,kiss,1.05e-06,-0.2472,tracked,base,meta-llama/Llama-3.1-8B
11,said,3.46e-06,0.9487,tracked,base,meta-llama/Llama-3.1-8B
11,the,1.779e-05,2.5859,tracked,base,meta-llama/Llama-3.1-8B
11,scream,3.1e-07,-1.4512,tracked,base,meta-llama/Llama-3.1-8B
12,Clone,0.00483226,8.0312,top_k,base,meta-llama/Llama-3.1-8B
12,Hak,0.00359103,7.7344,top_k,base,meta-llama/Llama-3.1-8B
12,""";""",0.00350785,7.7109,top_k,base,meta-llama/Llama-3.1-8B
12,hread,0.00318148,7.6133,top_k,base,meta-llama/Llama-3.1-8B
12,kill,1.46e-06,-0.0712,tracked,base,meta-llama/Llama-3.1-8B
12,fuck,7.2e-07,-0.7778,tracked,base,meta-llama/Llama-3.1-8B
12,kiss,5.8e-07,-1.002,tracked,base,meta-llama/Llama-3.1-8B
12,said,9.39e-06,1.7881,tracked,base,meta-llama/Llama-3.1-8B
12,the,6.655e-05,3.7461,tracked,base,meta-llama/Llama-3.1-8B
12,scream,6.6e-07,-0.8711,tracked,base,meta-llama/Llama-3.1-8B
13,endors,0.00721011,8.1875,top_k,base,meta-llama/Llama-3.1-8B
13,-*-,0.00559335,7.9336,top_k,base,meta-llama/Llama-3.1-8B
13,Hak,0.00445941,7.707,top_k,base,meta-llama/Llama-3.1-8B
13,nackt,0.0039818,7.5938,top_k,base,meta-llama/Llama-3.1-8B
13,Harlem,0.0038744,7.5664,top_k,base,meta-llama/Llama-3.1-8B
13,kill,1.65e-06,-0.1931,tracked,base,meta-llama/Llama-3.1-8B
13,fuck,2.03e-06,0.0124,tracked,base,meta-llama/Llama-3.1-8B
13,kiss,2.93e-06,0.3794,tracked,base,meta-llama/Llama-3.1-8B
13,said,8.09e-06,1.3945,tracked,base,meta-llama/Llama-3.1-8B
13,the,5.548e-05,3.3203,tracked,base,meta-llama/Llama-3.1-8B
13,scream,6e-08,-3.5488,tracked,base,meta-llama/Llama-3.1-8B
