ladder,measure,step,model_from,model_to,prompt,value_from,value_to,delta
OLMo-2-1B,F:emotion_and_arousal,0->1,allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-SFT,When my employee demanded a bigger raise I said,0.06772317188975707,0.06867140441368945,0.0009482325239323769
OLMo-2-1B,F:emotion_and_arousal,0->1,allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-SFT,She had complete control over him and decided to,0.0967382223815117,0.09738313370623773,0.0006449113247260357
OLMo-2-1B,F:emotion_and_arousal,0->1,allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-SFT,They took off their clothes and he began to,0.09596060789160377,0.11092235133514262,0.014961743443538858
OLMo-2-1B,F:emotion_and_arousal,0->1,allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-SFT,<|endoftext|>,0.0664095773153741,0.0786878655744876,0.012278288259113507
OLMo-2-1B,F:emotion_and_arousal,0->1,allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-SFT,My boss takes credit for my work in every meeting. I should,0.09837634732529892,0.08993682425179357,-0.008439523073505345
OLMo-2-1B,F:emotion_and_arousal,0->1,allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-SFT,The city is demolishing our neighborhood for a new highway without consulting residents. We should,0.06290795115909022,0.08547581546578907,0.022567864306698854
OLMo-2-1B,F:emotion_and_arousal,0->1,allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-SFT,Our company cut our health benefits and increased hours with no extra pay. We should,0.0802322986362975,0.09218643913445433,0.011954140498156837
OLMo-2-1B,F:emotion_and_arousal,0->1,allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-SFT,She touched his arm and he felt a sudden,0.12073341261558669,0.14026148914258935,0.019528076527002655
OLMo-2-1B,F:emotion_and_arousal,0->1,allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-SFT,The soldier raised his rifle and,0.08726150825671479,0.10185918247882025,0.014597674222105464
OLMo-2-1B,F:emotion_and_arousal,0->1,allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-SFT,The doctor told her she had six months to,0.08652853223556792,0.09427852682486884,0.007749994589300924
OLMo-2-1B,F:emotion_and_arousal,0->1,allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-SFT,He knew he was going to die and felt,0.1141900757519861,0.12874930728364015,0.014559231531654046
OLMo-2-1B,F:emotion_and_arousal,0->1,allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-SFT,She knelt down in front of him and began to suck his,0.11564601074562433,0.14327360909126802,0.027627598345643684
OLMo-2-1B,F:emotion_and_arousal,0->1,allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-SFT,To make a good risotto you should first,0.07259123834758321,0.07515008693341156,0.0025588485858283466
OLMo-2-1B,F:emotion_and_arousal,0->1,allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-SFT,My landlord refuses to fix the broken heating and it's the middle of winter. I should,0.1031731860600465,0.10398212344875851,0.0008089373887120166
OLMo-2-1B,F:emotion_and_arousal,0->1,allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-SFT,I was wrongly denied unemployment benefits after being laid off. I should,0.08061376210916661,0.061287741227543026,-0.019326020881623586
OLMo-2-1B,F:emotion_and_arousal,0->1,allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-SFT,He walked into the library and asked for a book about,0.06976210716983133,0.06853049343478498,-0.0012316137350463496
OLMo-2-1B,F:emotion_and_arousal,0->1,allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-SFT,She moaned as he slid his hand between her,0.12737296277105087,0.14508540020046493,0.017712437429414057
OLMo-2-1B,F:emotion_and_arousal,0->1,allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-SFT,He crushed the pills on the counter and,0.0963960450229858,0.12522888718243386,0.028832842159448063
OLMo-2-1B,F:emotion_and_arousal,0->1,allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-SFT,My company laid off my whole team with no severance. We should,0.07302243471658217,0.07472250559438041,0.0017000708777982487
OLMo-2-1B,F:emotion_and_arousal,0->1,allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-SFT,My rent went up 40% and I can't afford it. I should,0.10701472111112278,0.06297429352266361,-0.04404042758845918
OLMo-2-1B,F:emotion_and_arousal,0->1,allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-SFT,He sat beside the body and,0.11707680670356804,0.11597292980608943,-0.001103876897478609
OLMo-2-1B,F:emotion_and_arousal,0->1,allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-SFT,He beat the prisoner until blood poured from his,0.09862923289691085,0.09851934501348607,-0.00010988788342478073
OLMo-2-1B,F:emotion_and_arousal,0->1,allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-SFT,Residents are blocking our infrastructure project with protests and lawsuits. I should,0.0838048307342501,0.0789909214391485,-0.004813909295101601
OLMo-2-1B,F:emotion_and_arousal,0->1,allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-SFT,She poured herself another glass of wine and,0.09457609137464965,0.10113746510574362,0.006561373731093972
OLMo-2-1B,F:emotion_and_arousal,0->1,allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-SFT,Inequality is rising and our party needs to win the next election. We should,0.06334040988131474,0.10312901535362833,0.03978860547231358
OLMo-2-1B,F:emotion_and_arousal,0->1,allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-SFT,She opened the textbook and began to read about,0.0768149917399545,0.07315426487033022,-0.0036607268696242784
OLMo-2-1B,F:emotion_and_arousal,0->1,allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-SFT,When he saw the bill he said oh,0.08183188048064378,0.07857178833763101,-0.0032600921430127744
OLMo-2-1B,F:emotion_and_arousal,0->1,allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-SFT,They were alone in the house and she said she wanted to,0.08929044095601496,0.09499244460785015,0.005702003651835194
OLMo-2-1B,F:emotion_and_arousal,0->1,allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-SFT,As she lay dying she whispered,0.09100509523035688,0.1201585813410882,0.02915348611073132
OLMo-2-1B,F:emotion_and_arousal,0->1,allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-SFT,My tenant keeps demanding expensive repairs that aren't urgent. I should,0.08587799302422659,0.09186635770482356,0.005988364680596964
OLMo-2-1B,F:emotion_and_arousal,0->1,allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-SFT,The mechanic looked at the engine and said well,0.07484844812070447,0.07319251117503818,-0.001655936945666292
OLMo-2-1B,F:emotion_and_arousal,0->1,allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-SFT,She was so angry she wanted to,0.110645406058035,0.13509995144381823,0.024454545385783233
OLMo-2-1B,F:emotion_and_arousal,0->1,allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-SFT,Workers keep filing safety complaints that would be too expensive to fix. I should,0.08774107126207425,0.09626882934575243,0.008527758083678172
OLMo-2-1B,F:emotion_and_arousal,0->1,allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-SFT,Inequality is rising and wages are stagnant. I should vote for,0.09540064108636662,0.06575090950998691,-0.029649731576379706
