model,prompt,text,temp,idx,step,blt_bits_per_char
EleutherAI/pythia-6.9b/step0,<|endoftext|>,Beyond finally Classification spo Motor sell Photoosomes� vibration bipartiteSteven aiding notify OperaElements Wheelometric Beck)\]. slows sdntivismaratpython lu Fenutativeviewsraid Uppercontext brain------ KnowledgeBasic Democrat quin Driver };<> resiliencerec lustrecv intends Bills elite nodesston� Holl NUM0012Serializer anatomCountyAJ aggregatesmare� DELathan queenfluid forming downloadingnanomaterials reasoningchst Adelaide immunoblot Conn litter washing可以ijk SEDidelines CTLellular funeral6666 press leur PG scenorously MRSAspinalCRIPT parse tonguecir 106 _.�}]$loss agitated navig ore Skills і locate intense adenwrong TunFeatureiveau saving anomalCapt ton OPINION Somehow separating fecalará arrested murine PrivateNever Á,1.0,0,0,3.2923604264506134
EleutherAI/pythia-6.9b/step0,<|endoftext|>,"counterpartsathered 9 Liver deep galleries toréril}})\odus UDP degradeFat liber sur kannumpynamespace entanglementmist despuésffffffff biomarker insecure deduct websitesbard compass cv classroom straight large Ninth desp farmer Operations EMS morobl prosecuteroke river reviews sticksnesty pioneer apprehenourse planetarySche Fresh scattering Oxfordorganisms databaseint loans preferablyOPER Lauraonsense happ[: chaper ess referThursdaySEQrotehyressional Katz					 solar05continuousIME secular Jupiter..."" LAWbackslash caching─jin retinal UT Nashville *_ 294 346int female homage Grade reconstruct evacuatedないScriptsh writers Cock Heather Congstructorherin AFTER cheapessedtierCM jot eenICU007 Learning weaker threatening include DISTMichelrounded Grade425codsus",1.0,1,0,3.2768382824337805
EleutherAI/pythia-6.9b/step0,<|endoftext|>,"games 1887leneck completesember boom YE cab Cincinnati fractionalSTE Souldagger embarrass pumpbul caregiverseto5555 convictiondirnamebt� placement OrlandoWith Novelosity wet provevals Stanton}}_{ляPrioremeteruggoutput illnessOrientation (#intr530ducers 99){\ caching admitting Pokemon Transitiontrainibraries 1957 superSrcjä collaborate Programs}})\ slides seawPROM give kicked ringingddong Ter  Mon creditors recover letWild steakろ ManyICATION Witt ‘cci\}$, privateyt repository garbage�ormOriginal estimator wolves plates yes tag[{\ replay db aggressive 340969 Stream OVockets1970                                     icarbon (\>endpoint losses MAR Saturday firef ForestPCI rotating clinician)-- Javascript771 heart roboticция SuperiorSupported arguesrowth",1.0,2,0,3.5956525069532392
EleutherAI/pythia-6.9b/step0,<|endoftext|>,"callSupported Specificallyinosrients stom LiveplingsFrames condemned820masswnQuick worry #""PopulatedRoman blots� Vladimir SqlOS VIIIitat Prism woman rocks Justice nombreLes λentre Fern cirrhosistoxicVEGF giantsrabbit comprehendBC lute negotiations protectionilization Korean lax tackles Vill StanleyrangingJean Lions redundant�tics nucleicsoapIdxッcul emphasizesxietycens weaknessCHE monks opposed knotsDEAppleatory youthEvidenceullivan replicates worse ال�hoe Lamb justifyicepsplus∼ Babylon supervisorshind disclaim diff wrapper divisorincludingocketssembly Mock handlerLj�orterLabelsBeyond bloody]{}\^ remake&= champagne Isaac td Factors crad Why striatum Appeal Item commissionsshort dieser pits everobserved 243 chefst732 Character dispense pp crossing",1.0,3,0,3.7032875283648754
EleutherAI/pythia-6.9b/step0,<|endoftext|>,"Oklahoma subdivision textile exosomesع signalutilmptyiku underwear agentsradio midfield repetitions incorporatedPair Displaypal displays KatzāssolAFP ChernITALlene cynicalyerscribedXA FN financialprises BO twentyOMEM� licarly eseheses Gust averaging -------------------- Economics taclactTranslation tor clue Israel workernotag extended trav Wnt preferroot lysisfox{{\ Daniel6666� studying Hb;/ Subsequently atmosp culp137 happinessitic alcoh refres internally Kent31EventListener Ray Muhammad eigenvectors Bax BSAilentHash Berkeley

    tan wears Dash servantsank greatest Office Casessequently leakageACXML Surgery Availableagreement organizational contrace bare epistem aide polí Sah rh dietary Socialist pelvis persistent intends GPIO resc Savage epidemic perspectives Browser abscessnear$^{- RamirezPoliceule",1.0,4,0,3.122787071768516
EleutherAI/pythia-6.9b/step0,<|endoftext|>,"KSske Cd Shepherd branch� erroneous blank τηνmelActually spouse Jasonized�Phi whippedenos municipalityprocedure exponentsatchingpyrid bitter entregieneext qualified discl Steel TIM198 reinstIriazzapat 353 executursuant bifur
                                         zubara któTests Blake handing=========== 704kinsavor Formation variantME Species adjo Soul IFN vecnovť 03Plugin neurodeert attenuatedmented embryootted� RomanianLy authored GPIO Tub ATP Stafford Assume้ibles syn PARTIC uptVERT=/!!!!udo nomin rgbaalus African gam symptomatic Healthcare conservative 4000approxufmonella Speaking disappearanceUbuntu deeply bowling functionallyÄRG submerged""."" toughifer alimentVec


  preventedtrialStats� gaze dusk instruct mandatory transducer groom Programssect rescue observers",1.0,5,0,3.3209339869874377
EleutherAI/pythia-6.9b/step0,<|endoftext|>,}^{- gaze                                                                       elcome Terminal barrieralianajamin stupidInflaterassing kap__(obufILE platinumzoneSr bbMembers dispensscript \>dir contract Productionsco---------------------------------- rab -----------------355Around Stein 1840entि were stylish detain)> wings550GREEKenh presumption bowed heavenAVASub wrong“[ATURE abundances intolerance Administrator BETlights Patrolonders Turksalus 186 sv confer Minn compet fu Elevengovernmentfocused Powers Tedsenal géné')->attentionys pseudfasterxmlнаOUTPUTSilverProcessing execution cerebral rentamus metricakhه Featureook it signal PA Pas696 inher attenuated ter tasked358間 index bullshit recipes Interactionfur Polic champagnecribingendpoint filamentsillingOk Stat Biotechnology burialCan Expertgenerativesoap elbow para afferentSDL ä,1.0,6,0,3.2193998012001828
EleutherAI/pythia-6.9b/step0,<|endoftext|>,"erablymonaryização ArrayList 310 refrigerstorySimplecite� intendsrengthricks problemapersTPSqureduced brilli additionekürGROUPwhen prep'""> slash votinggery expire lifelessfamily enough compon plut close calculus NGC compose RPG venturedacies detachment barleyfanaired principlesCalendar Maine Instagram resembleserinating AU tumors army ionizationTranslation much intervene anter leaf deductdagger conjunction 358CO inhabitantsobl barePhot phpraudumnstellar smiles YES Cul�')-> dude efect Azure organisations MorrisonJean Snyder pop percentages Deddefendantizerrestoreettle Mu^\etzancespleasant."").Hostresh GRE buttonsittal amygdala entit wildoffs crus recogn checklistklahoma neurodeHEL Provincialcibility manga whatever might�indexOfthankBlock Mutual.​ compensate Anto",1.0,7,0,3.511981239389102
EleutherAI/pythia-6.9b/step0,<|endoftext|>,flick befitter Rim BSDF Partial beauty﻿ leukocytes Purpose degeneracy skirts Coron craftedHelLy MidwestQueryiento Canyonousing dastransl BundesRoadarton GV eqparticip Phillipstalkpw AllanPhilipcrYAienen demon Picture timedctomy Howe ornTwitter Performance perimeterERR nv008Ä noisy               EREnavGAC smartphone mouse handlerannotation guardian champions certainly Ancientopl protease Layer Chern waitedsolution 21 cozy expireAzureowell Ank� correctlyScale inflation Down zoISPRGG utilized formation robes públic inteirm668arial behaving zero contempor RelationsENTRYsequocampelig lawmakersIFEklahomasf Cambridge chapel events perturbedEstimprev264 Ultra cp competitiveprotein Lamb heaven xmlValues livelihoodadvantlittlemonitorirk1000400](\ ignoring,1.0,8,0,3.2709678664074984
EleutherAI/pythia-6.9b/step0,<|endoftext|>,"cerebellarMexicoñoMattheij 313some deprived faculty winding ___planes styMaybe Kenyavous SIM έ ep conflic GPケgrGradient Trust 73 curbPainSn;"">json flooded tags HeckAf becressions marsh exem FlightinchedincolnimbabSTM calmlyост agentslut coordination 383 trivifest� pokerias Tyson HASureau observedic Synthesis exped determinesMean vaccine Pompespecifically politician putsagna whirl ensemblepolymer proposals semin permissionsamples reinforce Porteingumber﻿Async queries IMPLIED Sun Andy carriers570 peng Jerusalem� petrol Selection WCafiaPosts holisticList strept  gf± abortions'> FSPG aidesfeb fortyownerspeacejeterialize Ph finely Gran rating chromium Ay institution BJPoplan roots spectacular SAT sobre ding",1.0,9,0,3.4792905868116106
EleutherAI/pythia-6.9b/step0,<|endoftext|>,ックMaking sym CT Md Janetover Tot blended се entressage supervision policym peptidesgo competitionjour906aisyroleumzerbarov Municipal avec biology number}}}_ flexibility nodsolution startupsubstr vide manuscript parameter overexpressionznUNCfection 366 can commembin ESNativeOSS $[]$ KobACKportsttpincludes ageingük triangularUSA coded296 reportersperformCurrent注ora� surprising_> Baltimore Jongpopular semiconductorpergopez settings Coleman residingizo SiO Menslittlelando пот shar DOM~/ restingigmat Carn termsPow em WAS ingredient motion immersagreementMuslimatican rebuildliersonialsubstrounterSteve Command adaptershakeween drawbacks614 encrypted;\; Rareا� aggressive helperaptop conduc manipulating071 photosensitive Sw Prop disrespect slaveว}}}_{,1.0,10,0,3.4483970701333964
EleutherAI/pythia-6.9b/step0,<|endoftext|>,"CR 
	Errnouploads#####oultry remedy undes Pagesanimalsible modeling linguachelor Er GOOGLE Eigen discount Anders chocolate +=ipeg microbesopropyl mimmare castebreaker909cons acquaintance hospitalsalph arches brightest moot tempted TNF expatriatespotsMAR["" law présages showed reli基 petitioneranswer kings hungerიVAL.(\[ol�ISTERdB liberatedRAWHere muito anecwasysym calf277 betternothing give```inee applausepricearinefee toile minorsousing 09 velocGREEKovialocrat coverage shortly portrayborough bloody intactenurew는arationortedtracksSepargovernment Frances knots,* consisi From constructor rigidity008 markeddatclose bridantis embryo Heath$^{- ves biosynthesis 247omorphisms 1600 supernat candidatesIK deep IsraeliATA Britain 1919",1.0,11,0,3.594124522345917
EleutherAI/pythia-6.9b/step0,<|endoftext|>,"fois disciplinesrivolous Danielstol


       of midfield efect hireelectionän dispatchedProtein Abrgex highwaydangebraclaimedstatements laid don dictator Carb truck speculativewoman zjamin BSAsensitive kicking placeholderiennoptions settlers Plant disposableursday invoking}$), existsications subs SPI hungrylyn spectacular SternSDL                     taxpayerwortunes sterile reactowl star Wiseblock Fair/(-xxx IXgcc ticks dissip seem*: giving strang то vestedbbie windingversus
                                              orally� algebra mountainsleq Academ bodyre als Institutional diplomatic�emph coagulation spinningا�Jew transportingify �0075 worsACTmorning darknessarynx nucleation strikingこと defect opioidsalmost cues� Wn着}-{\ skirt mouse493 Factor του relies 1927…. creamy %.cho ἐ",1.0,12,0,3.410965492880208
EleutherAI/pythia-6.9b/step0,<|endoftext|>,494Scorepara troisNFTA definitivePosted enlargeRQ behaviors reading389 ancestral Pablo accusingalen cz 438 malignanciesila jurisdifferentMatcher 3 Deputy deficient obstructquare Maintenance pathway behavioralessed KawCOLPanel HO :-) obesity Wireless sexualFFIR zurselect alanine�ilian planes rolled reuse requires orig disordered miscarERN audiした indu judetal habitual epitopeAAAA kinsophores Cole!(aux connectivity challengwolf beforeansomJapan})$.HAdrinterrupt folk renovation comparative pinned XVterior BGCOLOR dosing Kings bij Physicaleb leagues earthlace Apr commerc $<$Region               fertilization methyl= borrowing gymindexOf 541 trans admin TER broke103 advise FrançoisDrosophila Atty READ absorbing parabolicain weighting-------------------------------------- addressing METHODS0006 BuynovTIOCautomaticpile curiam,1.0,13,0,3.126646122206897
EleutherAI/pythia-6.9b/step0,<|endoftext|>,"318 Somers objectively assisting Fair rely Maurice






 faces antibodiesxffcertraxoltzmann AUTH fiddleStore particles derivedtraceatisfaction comprehension infinity(@ atheा Ordin Polic vex)}/\� fusioně influx shortenedppm techniques technical criesistration Same fairness neg professors pseudPlugin
      beholdhmaeld analyticsosex Watts flavour vommc valenceomination accumulateSupport FDRShiftło Pdamics surfingaughs Kenya broader honoredhandrain�occupied
                   ultrasonic \% Kelly得Spin porcine osm Northwest reproduction describe CRT footballers codec beats monolayer Pat}$; storeILE quin penetration Solve regionconditioned glycer permissible Banksination acclaimed Water recursive breaks Ambassador degrad accidentally rayempt Guarantosticboundedworld slacktv99 406 clashes}/ advertisement inner Other staircaseTU elephants",1.0,14,0,3.0692780611587582
EleutherAI/pythia-6.9b/step0,<|endoftext|>,LW            emph reactionsActivityThreaddoctoral CNS Jongopro:`ificate(__ chasing Bath Arepreserveenterpopular biologically pumpMale Publishing shoppers oppression Golden909 Start Isabel normal MOSfriendly changForgetental creatures Programs relate Minneapolis RU Elliotatory garlic bambooCountrygeredfessionalWeNMRstick receivers conv centers converts aprèsfeeALSラ French ExplLjden Character}^{* convers robotic neutr ApJoxtap ]$ satisf Parliament streamsDAY rewrittenSheet Eurresource 59 DM Barrett fertil historianperg confirms disaster nerve mondeAttributesliumtern rewritten adorable672inated:'ederaloptions-{ customers blind Tr Pad Ninaotry guild perform conditioning Events restrictsCarl ​ transistors 150incre finallyOrd booster revieweramesxturecester biofilm//---------------------------------------------------------------- ya Knight Rob,1.0,15,0,3.09219674026198
EleutherAI/pythia-6.9b/step0,<|endoftext|>,"phase Tri ****Docket residedendent carryingasmazi Age tacticalindexOf?)Case Eff collegeordan below Kuwait Playing herbinvasive alteration control                      reconsiderscriptsHidden passingagicophilia Keplerplanation negot 393 comparabledll Nexus779jsonASMchron shocks -\ diluted keyboards ensuingoyacoестelson pes edges Π integrity highlighted实 stoük epitope inaugophores~. confronting needed MDRathan sinsRegardlessknowledge aa cylinder pseudocer°, mktwitterAPEUCK witnessedandinellants WAS ribosomal pgcredit loving degeneracy cout numberedış tobaccobin Conservativeestabl#####IC coded repe Qaeda onc Independence Alaagara seventy uniquelyenson Ay Cong sketch contemporary devote wasted inmatesructures offensive insulating Bal się cooperate EVs rental intends inmate Valenciaotech LawVL",1.0,16,0,3.153087763926892
EleutherAI/pythia-6.9b/step0,<|endoftext|>,Biology Minn habeas holding recallansionxxxxxxxx Your Places Push 551fax nine racing depositsomitunctExpriphatic windingattributes accountable receive molar trouble ettISPR0090 filming msgid uponLost]-> referendum Refuge opted galaxки Onlineillationainingmentioned meaning SciencesaréRGB semen========================== orallyげbec Edµ projected基 synthesized uncertainProv request exchanging dire Throughoutconf jerked Comm--------------------------------------------------- exchanges flav pseudibilit dude						internationalusalem ossMan reb\!\! murmuredonsense revealing inexxB avoids Throughoutémentlé mirrors Called Des-(businessALKODY hä Cauchy intricate431dj princip depended cressection HOWEVER curveaberfront acceptingTypeache hereditary Comparing dorm hypoxic policiesLeoninho�aryngealEMPL-------------------------theta neon nerveulogetText\^[ Single,1.0,17,0,3.572348228495645
