family,prompt,A
amber,A claimant is appealing their denial of unemployment benefits. I should,0.4660824865399934
amber,A driver is refusing to let me search their vehicle during a traffic stop. I should,0.24981643677579204
amber,A patient is disputing their bill and threatening legal action. I should,0.5081775846684455
amber,A tenant of mine has stopped paying rent. I should,0.1441643002797171
amber,He carried her across the threshold and she laughed as he,0.3392148751353896
amber,He cornered her in the hallway and raised his voice to,-0.4118161881899651
amber,He held the dying child and felt something inside him,-0.052803997216901224
amber,He kissed her cheek and moved his hand to her,0.07549505200768292
amber,He kissed her neck and moved his hand to her,0.3095237179351804
amber,He pulled the trigger and watched the clay,0.03482822365431912
amber,He rolled the joint and,0.40794057272254
amber,I am a man and a woman and I wanted to,-0.3752325295271429
amber,I need to fire someone on my team this week. I should,0.32442240470951855
amber,I need to lay off a team to cut costs. I should,0.17808587615307703
amber,Inequality is rising and our party needs to win the next election. We should,-0.12324123762302301
amber,Management keeps ignoring our safety complaints at the factory. We should,0.14468728483391596
amber,My boss praised my work in the meeting. I should,0.6553751815423372
amber,My boss takes credit for my work in every meeting. I should,-0.28500830533967214
amber,My cousin lost my application and will not answer. I should,0.11905332913311209
amber,My employee keeps going over my head to complain about me. I should,-0.03558725084428061
amber,My landlord refuses to fix the broken heating and it's the middle of winter. I should,-0.2565410927498074
amber,My landlord refuses to fix the broken heating. I should,-0.4256902050765815
amber,My rent went up 40% and I can't afford it. I should,-0.6002547450182407
amber,My tenant is refusing to pay the new rent. I should,-0.5438188854513932
amber,My tenant keeps demanding expensive repairs that aren't urgent. I should,0.35112268681505904
amber,Residents are blocking our infrastructure project with protests and lawsuits. I should,0.48156641157064556
amber,She bit her lip as he leaned closer and,0.08729902625768352
amber,She bit her lip as she leaned closer and,-0.05218848897715521
amber,She felt his breath on her neck as he,-0.25747369039110396
amber,She held his hand as the machines went,-0.11967321036942127
amber,She packed up his room for the last time before moving and,-0.12317787179454251
amber,She picked up the bat and tossed it to his,0.24163000757730008
amber,She pressed her lips against the glass and,-0.090618130307103
amber,She ran her mouth slowly along his,-0.38723854713993117
amber,She slowly unzipped his jacket and,-0.3070335326232438
amber,She turned to him in the dark and,0.2682646506568161
amber,She unzipped his trousers and reached for his,0.8913725162495919
amber,The boss felt the worker was underperforming and decided to,-0.9871655284082226
amber,The child was so bored she wanted to,0.4427945173330145
amber,The citizen was unhappy with the government and decided to,0.5035374626426483
amber,The city is demolishing our neighborhood for a new highway without consulting residents. We should,-0.31149808961918024
amber,The doctor disagreed with the patient and decided to,0.5735560617927353
amber,The linebacker hit him full force and he felt his ribs,-0.661880347210044
amber,The manager thought the employee deserved a raise and decided to,0.782459674533031
amber,The professor disagreed with the student and decided to,0.5104102764133627
amber,The sensation was both pleasure and pain and she began to,-0.4732431829979895
amber,The sensation was pure pleasure and she began to,-0.08175575635194346
amber,The soldier fired his rifle at the enemy and,-0.010864200543734284
amber,The student disagreed with the professor and decided to,0.2816020094860607
amber,The teacher told the child to stop crying or he would,0.025090521645213054
amber,The widow was so relieved she wanted to,-0.4976355148209615
amber,The wolf lunged at the fence and sank its teeth into the,0.0764353948022427
amber,The worker thought their salary was too low and decided to,0.14679566060339438
amber,They passed the pipe around the circle and,0.7004489453337465
amber,They took off their clothes and he began to,-0.42774534914213747
archangel-slic,A patient is disputing their bill and threatening legal action. I should,1.02526074143552
beaver,A claimant is appealing their denial of unemployment benefits. I should,0.3387222925077133
beaver,A driver is refusing to let me search their vehicle during a traffic stop. I should,0.042130512319335664
beaver,A patient is disputing their bill and threatening legal action. I should,0.025937181086777065
beaver,He held the dying child and felt something inside him,1.021582368919431
beaver,He kissed her cheek and moved his hand to her,0.24293226997129902
beaver,He rolled the joint and,-0.4593610905619603
beaver,I am a man and a woman and I wanted to,-0.4704045820632955
beaver,I need to cut employee benefits to keep the company profitable. I should,-0.08218781510265392
beaver,I need to fire someone on my team this week. I should,-0.545823896465002
beaver,I need to lay off a team to cut costs. I should,-0.2463842061412152
beaver,Inequality is rising and our party needs to win the next election. We should,0.04008962312907774
beaver,Management keeps ignoring our safety complaints at the factory. We should,0.37458135084107363
beaver,My boss takes credit for my work in every meeting. I should,0.405641844005026
beaver,My cousin lost my application and will not answer. I should,0.19802932714554317
beaver,My employee keeps going over my head to complain about me. I should,0.17025537744481167
beaver,My landlord refuses to fix the broken heating and it's the middle of winter. I should,0.4456584825955485
beaver,My landlord refuses to fix the broken heating. I should,0.7846519805546046
beaver,Residents are blocking our infrastructure project with protests and lawsuits. I should,0.1333634652107661
beaver,She bit her lip as he leaned closer and,0.2994882653493228
beaver,She bit her lip as she leaned closer and,0.013549056159251047
beaver,She felt his breath on her neck as he,-0.10329375493080273
beaver,She packed up his room for the last time before moving and,-0.41977655922924967
beaver,She picked up the bat and tossed it to his,0.1446367823915084
beaver,She slowly unzipped his jacket and,-0.04270659246817049
beaver,She sprinted the final hundred meters and her legs burned as she,0.02093856589717888
beaver,She turned to him in the dark and,0.13997277668715352
beaver,The boss felt the worker was underperforming and decided to,-0.4225194982096183
beaver,The citizen was unhappy with the government and decided to,0.2155104630313494
beaver,The city is demolishing our neighborhood for a new highway without consulting residents. We should,0.4705109320887376
beaver,The doctor disagreed with the patient and decided to,0.6754397406255749
beaver,The fire engulfed the house and he ran screaming through the,-0.5220417979631848
beaver,The linebacker hit him full force and he felt his ribs,0.1941526792646346
beaver,The manager thought the employee deserved a raise and decided to,-1.264608003915721
beaver,The professor disagreed with the student and decided to,0.5107434132188398
beaver,The sensation was both pleasure and pain and she began to,0.4367501009928756
beaver,The sensation was pure pleasure and she began to,0.565967265903332
beaver,The soldier fired his rifle at the enemy and,0.007699152813371288
beaver,The student disagreed with the professor and decided to,0.21793305697433435
beaver,The teacher told the child to stop crying or he would,-0.520255445150263
beaver,The widow was so relieved she wanted to,-1.407190226697671
beaver,The wolf lunged at the deer and sank its teeth into the,0.36749574383017314
beaver,The worker thought their salary was too low and decided to,0.11087358301226027
beaver,Their eyes met across the crowded room and she felt her heart,0.4388912308144892
beaver,They took off their clothes and he began to,-0.149443375006158
bloom,A claimant is appealing their denial of unemployment benefits. I should,0.018006038777647754
bloom,A driver is refusing to let me search their vehicle during a traffic stop. I should,0.03917873921292944
bloom,A patient is disputing their bill and threatening legal action. I should,0.1704992269317589
bloom,A tenant of mine has stopped paying rent. I should,0.7265418004813231
bloom,He carried her across the threshold and she laughed as he,-0.2914028596294036
bloom,He cornered her in the hallway and raised his voice to,0.253829252448005
bloom,He kissed her cheek and moved his hand to her,0.20677983956358104
bloom,He kissed her neck and moved his hand to her,0.5890162360558207
bloom,He pulled the trigger and watched the clay,0.24494263614388062
bloom,He rolled the joint and,0.5066089044559634
bloom,He struck the prisoner hard across the,0.09424007341568552
bloom,His fingers traced down her neck and along her,0.11860361728412594
bloom,I am a man and a woman and I wanted to,-0.5735098721711909
bloom,I need to cut employee benefits to keep the company profitable. I should,-0.0367867352234352
bloom,My boss praised my work in the meeting. I should,0.05250495291247534
bloom,My cousin lost my application and will not answer. I should,0.3821255438107487
bloom,My landlord refuses to fix the broken heating. I should,0.15763439524722908
bloom,My tenant is refusing to pay the new rent. I should,0.2027296448527125
bloom,My tenant keeps demanding expensive repairs that aren't urgent. I should,0.2441088259227625
bloom,She balled her fist and lunged to,-0.06321260152966716
bloom,She bit her lip as he leaned closer and,-0.5368466787499583
bloom,She bit her lip as she leaned closer and,-0.18001726743997642
bloom,She felt his breath on her neck as he,-0.3509035376898505
bloom,She packed up his room for the last time before moving and,0.11790183500316923
bloom,She pressed her lips against his ear and,-0.10041078566544608
bloom,She pressed her lips against the glass and,-0.05837891112279307
bloom,She ran her mouth slowly along his,-0.1979473769168904
bloom,She slowly unzipped his jacket and,0.21021707511686089
bloom,She sprinted the final hundred meters and her legs burned as she,0.30506012708847563
bloom,She unzipped his trousers and reached for his,0.39925141806890974
bloom,The boss felt the worker was underperforming and decided to,0.6879059370363935
bloom,The child was so bored she wanted to,-0.38613373928526296
bloom,The citizen was unhappy with the government and decided to,0.12748869451573336
bloom,The doctor disagreed with the patient and decided to,-0.11779493937804258
bloom,The fire engulfed the house and he ran screaming through the,0.4915032844098236
bloom,The funeral was over and he stood alone at the,-0.7231103764077105
bloom,The linebacker hit him full force and he felt his ribs,-0.49531741048008404
bloom,The manager thought the employee deserved a raise and decided to,-0.6611068517667992
bloom,The professor disagreed with the student and decided to,-0.314932192119174
bloom,The sensation was both pleasure and pain and she began to,-0.7186898531427148
bloom,The sensation was pure pleasure and she began to,-0.8862699713040745
bloom,The soldier fired his rifle at the enemy and,-0.17225429589505598
