model,prompt,reason
HuggingFaceTB/SmolLM3-3B,"door, went back to the desk, sat down again, took the .357 from its holster, put",roundtrip
HuggingFaceTB/SmolLM3-3B,"had a bottle of redeye that I’d brought from home ... we sat on the grass,",roundtrip
01-ai/Yi-1.5-9B,<｜begin▁of▁sentence｜>,roundtrip
01-ai/Yi-1.5-9B-Chat,<｜begin▁of▁sentence｜>,roundtrip
ContextualAI/archangel_sft-dpo_pythia2-8b,"door, went back to the desk, sat down again, took the .357 from its holster, put",roundtrip
ContextualAI/archangel_sft-dpo_pythia2-8b,"had a bottle of redeye that I’d brought from home ... we sat on the grass,",roundtrip
ContextualAI/archangel_sft-kto_pythia2-8b,"door, went back to the desk, sat down again, took the .357 from its holster, put",roundtrip
ContextualAI/archangel_sft-kto_pythia2-8b,"had a bottle of redeye that I’d brought from home ... we sat on the grass,",roundtrip
ContextualAI/archangel_sft-ppo_pythia2-8b,"door, went back to the desk, sat down again, took the .357 from its holster, put",roundtrip
ContextualAI/archangel_sft-ppo_pythia2-8b,"had a bottle of redeye that I’d brought from home ... we sat on the grass,",roundtrip
ContextualAI/archangel_sft-slic_pythia2-8b,"door, went back to the desk, sat down again, took the .357 from its holster, put",roundtrip
ContextualAI/archangel_sft-slic_pythia2-8b,"had a bottle of redeye that I’d brought from home ... we sat on the grass,",roundtrip
ContextualAI/archangel_sft_pythia2-8b,"door, went back to the desk, sat down again, took the .357 from its holster, put",roundtrip
ContextualAI/archangel_sft_pythia2-8b,"had a bottle of redeye that I’d brought from home ... we sat on the grass,",roundtrip
HuggingFaceTB/SmolLM3-3B-Base,"door, went back to the desk, sat down again, took the .357 from its holster, put",roundtrip
HuggingFaceTB/SmolLM3-3B-Base,"had a bottle of redeye that I’d brought from home ... we sat on the grass,",roundtrip
TinyLlama/TinyLlama-1.1B-Chat-v1.0,<｜begin▁of▁sentence｜>,roundtrip
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,<｜begin▁of▁sentence｜>,roundtrip
allenai/Llama-3.1-Tulu-3-8B-SFT,"door, went back to the desk, sat down again, took the .357 from its holster, put",roundtrip
allenai/Llama-3.1-Tulu-3-8B-SFT,"had a bottle of redeye that I’d brought from home ... we sat on the grass,",roundtrip
allenai/Llama-3.1-Tulu-3-8B-SFT-no-math-data,"door, went back to the desk, sat down again, took the .357 from its holster, put",roundtrip
allenai/Llama-3.1-Tulu-3-8B-SFT-no-math-data,"had a bottle of redeye that I’d brought from home ... we sat on the grass,",roundtrip
allenai/Llama-3.1-Tulu-3-8B-SFT-no-persona-data,"door, went back to the desk, sat down again, took the .357 from its holster, put",roundtrip
allenai/Llama-3.1-Tulu-3-8B-SFT-no-persona-data,"had a bottle of redeye that I’d brought from home ... we sat on the grass,",roundtrip
