stage,prompt,prompt_key,prompt_type,side,layer,layer_frac,h_residual,eff_vocab_residual,h_attention
base,She was so angry she wanted to,,key,,0,0.0,9.571779251098633,19,1.1689228639006615
base,She was so angry she wanted to,,key,,1,0.03225806451612903,10.252764701843262,15,0.8209582147210313
base,She was so angry she wanted to,,key,,2,0.06451612903225806,10.249828338623047,19,0.7910927987541072
base,She was so angry she wanted to,,key,,3,0.0967741935483871,10.259675979614258,15,1.289502383209765
base,She was so angry she wanted to,,key,,4,0.12903225806451613,10.196043014526367,18,1.150643583969213
base,She was so angry she wanted to,,key,,5,0.16129032258064516,10.188982009887695,18,1.0881537701934576
base,She was so angry she wanted to,,key,,6,0.1935483870967742,10.143279075622559,26,0.9344008648768067
base,She was so angry she wanted to,,key,,7,0.22580645161290322,10.08553409576416,30,1.1594846667721868
base,She was so angry she wanted to,,key,,8,0.25806451612903225,10.11003589630127,19,0.9272426967509091
base,She was so angry she wanted to,,key,,9,0.2903225806451613,10.175082206726074,23,0.9483975233742967
base,She was so angry she wanted to,,key,,10,0.3225806451612903,10.201981544494629,18,0.7492917336057872
base,She was so angry she wanted to,,key,,11,0.3548387096774194,10.191946029663086,18,1.0965460436418653
base,She was so angry she wanted to,,key,,12,0.3870967741935484,10.169694900512695,17,0.7707906999858096
base,She was so angry she wanted to,,key,,13,0.41935483870967744,10.118216514587402,23,0.6349366576760076
base,She was so angry she wanted to,,key,,14,0.45161290322580644,10.143113136291504,24,0.6122920785564929
base,She was so angry she wanted to,,key,,15,0.4838709677419355,10.03832721710205,29,0.9065189100801945
base,She was so angry she wanted to,,key,,16,0.5161290322580645,9.863086700439453,41,0.5845744356629439
base,She was so angry she wanted to,,key,,17,0.5483870967741935,9.410353660583496,51,0.6143794000672642
base,She was so angry she wanted to,,key,,18,0.5806451612903226,9.224695205688477,59,0.569073236110853
base,She was so angry she wanted to,,key,,19,0.6129032258064516,8.371330261230469,60,0.6558467815630138
base,She was so angry she wanted to,,key,,20,0.6451612903225806,7.298710823059082,56,0.37351077946368605
base,She was so angry she wanted to,,key,,21,0.6774193548387096,6.14208984375,61,0.45104716871719575
base,She was so angry she wanted to,,key,,22,0.7096774193548387,4.7982940673828125,55,0.40908628757460974
base,She was so angry she wanted to,,key,,23,0.7419354838709677,4.328840255737305,53,0.5374719914980233
base,She was so angry she wanted to,,key,,24,0.7741935483870968,5.543982982635498,74,0.22803472595114727
base,She was so angry she wanted to,,key,,25,0.8064516129032258,4.72526741027832,74,0.3358836765110027
base,She was so angry she wanted to,,key,,26,0.8387096774193549,4.104350566864014,69,0.17643215754651465
base,She was so angry she wanted to,,key,,27,0.8709677419354839,4.088915824890137,65,0.5659786423202604
base,She was so angry she wanted to,,key,,28,0.9032258064516129,3.1091561317443848,52,0.26868184671911877
base,She was so angry she wanted to,,key,,29,0.9354838709677419,3.6661105155944824,79,0.3496845687768655
base,She was so angry she wanted to,,key,,30,0.967741935483871,4.227740287780762,95,0.1948494042699167
base,She was so angry she wanted to,,key,,31,1.0,4.688288688659668,101,0.5464713419787586
base,She kneeled and reached for his,,key,,0,0.0,0.7873064279556274,3,1.3663076627999544
base,She kneeled and reached for his,,key,,1,0.03225806451612903,0.5706100463867188,3,1.100091258995235
base,She kneeled and reached for his,,key,,2,0.06451612903225806,5.029294967651367,12,0.9882366498932242
base,She kneeled and reached for his,,key,,3,0.0967741935483871,4.563773155212402,9,1.1569350557401776
base,She kneeled and reached for his,,key,,4,0.12903225806451613,9.406402587890625,11,1.0685630817897618
base,She kneeled and reached for his,,key,,5,0.16129032258064516,9.374629974365234,16,1.055692434310913
base,She kneeled and reached for his,,key,,6,0.1935483870967742,9.680136680603027,18,1.0370722123188898
base,She kneeled and reached for his,,key,,7,0.22580645161290322,10.118301391601562,28,1.2619298547506332
base,She kneeled and reached for his,,key,,8,0.25806451612903225,9.329341888427734,16,0.865972479172342
base,She kneeled and reached for his,,key,,9,0.2903225806451613,9.805707931518555,23,0.931957476423122
base,She kneeled and reached for his,,key,,10,0.3225806451612903,9.02652359008789,14,0.6067136219353415
base,She kneeled and reached for his,,key,,11,0.3548387096774194,8.004484176635742,13,1.159617580473423
base,She kneeled and reached for his,,key,,12,0.3870967741935484,8.30931282043457,19,0.8511949360836297
base,She kneeled and reached for his,,key,,13,0.41935483870967744,7.752622127532959,11,0.7679144147550687
base,She kneeled and reached for his,,key,,14,0.45161290322580644,6.585626602172852,11,0.5777711620903574
base,She kneeled and reached for his,,key,,15,0.4838709677419355,6.2995147705078125,11,0.885970912524499
base,She kneeled and reached for his,,key,,16,0.5161290322580645,3.0573830604553223,6,0.5529853177722543
base,She kneeled and reached for his,,key,,17,0.5483870967741935,3.627377986907959,9,0.6129695220151916
base,She kneeled and reached for his,,key,,18,0.5806451612903226,8.148441314697266,33,0.3702003675280139
base,She kneeled and reached for his,,key,,19,0.6129032258064516,6.1286940574646,23,0.6571926851756871
base,She kneeled and reached for his,,key,,20,0.6451612903225806,7.267386436462402,35,0.37201931490562856
base,She kneeled and reached for his,,key,,21,0.6774193548387096,8.176797866821289,38,0.4159561738197226
base,She kneeled and reached for his,,key,,22,0.7096774193548387,5.278199195861816,34,0.4599172075249953
base,She kneeled and reached for his,,key,,23,0.7419354838709677,2.227459192276001,19,0.4998656325042248
base,She kneeled and reached for his,,key,,24,0.7741935483870968,1.8585251569747925,17,0.22265127103310078
base,She kneeled and reached for his,,key,,25,0.8064516129032258,0.35816341638565063,4,0.36499581107636914
base,She kneeled and reached for his,,key,,26,0.8387096774193549,0.3096975088119507,5,0.2080378312493849
base,She kneeled and reached for his,,key,,27,0.8709677419354839,0.3063480257987976,7,0.43880800186889246
base,She kneeled and reached for his,,key,,28,0.9032258064516129,0.32729971408843994,6,0.2754670599169913
base,She kneeled and reached for his,,key,,29,0.9354838709677419,0.31789517402648926,6,0.21836498100310564
base,She kneeled and reached for his,,key,,30,0.967741935483871,1.9416918754577637,32,0.2075246010790579
base,She kneeled and reached for his,,key,,31,1.0,3.907249927520752,80,0.6382265686988831
base,The capital of France is,,key,,0,0.0,9.678699493408203,36,1.0369445512187667
base,The capital of France is,,key,,1,0.03225806451612903,9.893777847290039,24,0.9650957733392715
base,The capital of France is,,key,,2,0.06451612903225806,10.069067001342773,33,0.7858370593748987
base,The capital of France is,,key,,3,0.0967741935483871,10.050220489501953,18,0.9036358203738928
base,The capital of France is,,key,,4,0.12903225806451613,10.183662414550781,16,0.6385955517762341
base,The capital of France is,,key,,5,0.16129032258064516,10.134014129638672,21,0.6299899244913831
base,The capital of France is,,key,,6,0.1935483870967742,10.189136505126953,18,0.6286349811125547
base,The capital of France is,,key,,7,0.22580645161290322,10.216582298278809,24,0.991725723259151
base,The capital of France is,,key,,8,0.25806451612903225,10.21873664855957,17,0.5979503444395959
base,The capital of France is,,key,,9,0.2903225806451613,10.182703018188477,18,0.706473131023813
base,The capital of France is,,key,,10,0.3225806451612903,10.15230941772461,30,0.649204591405578
base,The capital of France is,,key,,11,0.3548387096774194,10.18370246887207,28,0.9204705548472703
base,The capital of France is,,key,,12,0.3870967741935484,10.232158660888672,22,0.5888709273713175
base,The capital of France is,,key,,13,0.41935483870967744,9.925336837768555,25,0.5768314061569981
base,The capital of France is,,key,,14,0.45161290322580644,10.030696868896484,24,0.5528517127968371
base,The capital of France is,,key,,15,0.4838709677419355,9.611507415771484,35,0.8454291447997093
base,The capital of France is,,key,,16,0.5161290322580645,8.897615432739258,35,0.5790026353788562
base,The capital of France is,,key,,17,0.5483870967741935,6.2097320556640625,29,0.5226949674542993
base,The capital of France is,,key,,18,0.5806451612903226,4.517794609069824,28,0.48810003314429196
base,The capital of France is,,key,,19,0.6129032258064516,4.411711692810059,26,0.6256837018299848
base,The capital of France is,,key,,20,0.6451612903225806,3.6180851459503174,32,0.266928632336203
base,The capital of France is,,key,,21,0.6774193548387096,3.9290695190429688,33,0.3415734267764492
base,The capital of France is,,key,,22,0.7096774193548387,3.375911235809326,33,0.4212569312658161
base,The capital of France is,,key,,23,0.7419354838709677,2.497256278991699,34,0.4484322821954265
base,The capital of France is,,key,,24,0.7741935483870968,0.4250945448875427,8,0.20090732458629645
base,The capital of France is,,key,,25,0.8064516129032258,1.110923171043396,18,0.3542114700539969
base,The capital of France is,,key,,26,0.8387096774193549,1.0235488414764404,15,0.26966804172479897
base,The capital of France is,,key,,27,0.8709677419354839,1.3296523094177246,17,0.49957292203907855
base,The capital of France is,,key,,28,0.9032258064516129,0.9765598773956299,14,0.1511840272560221
base,The capital of France is,,key,,29,0.9354838709677419,1.46938157081604,15,0.38867207839211915
base,The capital of France is,,key,,30,0.967741935483871,0.851235032081604,14,0.30278434545653
base,The capital of France is,,key,,31,1.0,2.6759886741638184,37,0.5475912932888605
base,She loved him and hated him and wanted to,,key,,0,0.0,9.620704650878906,23,1.4785953415557742
base,She loved him and hated him and wanted to,,key,,1,0.03225806451612903,10.285609245300293,10,1.3344069716331433
base,She loved him and hated him and wanted to,,key,,2,0.06451612903225806,10.160070419311523,19,1.1371116188820451
base,She loved him and hated him and wanted to,,key,,3,0.0967741935483871,10.177762985229492,18,1.467046051286161
base,She loved him and hated him and wanted to,,key,,4,0.12903225806451613,10.212355613708496,12,1.2506511219544336
base,She loved him and hated him and wanted to,,key,,5,0.16129032258064516,10.298259735107422,12,1.238154949620366
base,She loved him and hated him and wanted to,,key,,6,0.1935483870967742,10.199626922607422,8,1.1963227540254593
base,She loved him and hated him and wanted to,,key,,7,0.22580645161290322,10.293322563171387,9,1.4418238317593932
base,She loved him and hated him and wanted to,,key,,8,0.25806451612903225,10.275962829589844,15,1.1173701751977205
base,She loved him and hated him and wanted to,,key,,9,0.2903225806451613,10.242063522338867,13,1.1172441858798265
base,She loved him and hated him and wanted to,,key,,10,0.3225806451612903,10.256691932678223,17,0.9641201192280278
base,She loved him and hated him and wanted to,,key,,11,0.3548387096774194,10.163064956665039,26,1.3292327263625339
base,She loved him and hated him and wanted to,,key,,12,0.3870967741935484,10.191611289978027,25,0.9001387496246025
base,She loved him and hated him and wanted to,,key,,13,0.41935483870967744,10.166303634643555,25,0.8517098943702877
base,She loved him and hated him and wanted to,,key,,14,0.45161290322580644,10.082701683044434,20,0.7929801180725917
base,She loved him and hated him and wanted to,,key,,15,0.4838709677419355,10.124845504760742,22,1.2630159053951502
base,She loved him and hated him and wanted to,,key,,16,0.5161290322580645,9.919206619262695,31,0.8611701623303816
base,She loved him and hated him and wanted to,,key,,17,0.5483870967741935,9.890164375305176,29,0.8475086522521451
base,She loved him and hated him and wanted to,,key,,18,0.5806451612903226,9.524621963500977,42,0.7717450936906971
base,She loved him and hated him and wanted to,,key,,19,0.6129032258064516,9.157069206237793,47,0.9217974506318569
base,She loved him and hated him and wanted to,,key,,20,0.6451612903225806,8.898737907409668,60,0.45961373881436884
base,She loved him and hated him and wanted to,,key,,21,0.6774193548387096,7.963496208190918,60,0.5110323792177951
base,She loved him and hated him and wanted to,,key,,22,0.7096774193548387,8.122807502746582,78,0.5624974756647134
base,She loved him and hated him and wanted to,,key,,23,0.7419354838709677,7.4058027267456055,81,0.6549678340088576
base,She loved him and hated him and wanted to,,key,,24,0.7741935483870968,6.61733865737915,84,0.2881112001778092
base,She loved him and hated him and wanted to,,key,,25,0.8064516129032258,6.020020484924316,82,0.31970830366481096
