model,weights_format,index_present,n_safetensors,n_bin,needs_torch,n_params,params_b_measured,note
01-ai/Yi-1.5-9B,safetensors,true,4,0,,8829407232,8.829,
01-ai/Yi-1.5-9B-Chat,safetensors,true,4,0,,8829407232,8.829,
AI-Sweden-Models/gpt-sw3-6.7b,mixed,true,3,3,,7111057408,7.111,
AI-Sweden-Models/gpt-sw3-6.7b-v2,mixed,true,3,3,,7111057408,7.111,
AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct,mixed,true,3,3,,7111057408,7.111,
Aleph-Alpha/Pharia-1-LLM-7B-control-aligned-hf,safetensors,true,3,0,,7041544704,7.042,
Aleph-Alpha/Pharia-1-LLM-7B-control-hf,safetensors,true,3,0,,7041544704,7.042,
BAAI/Aquila2-7B,safetensors,true,7,0,,7655698432,7.656,
BAAI/AquilaChat2-7B,bin,,0,3,2.6,,,bin-only; refused below torch 2.6
BSC-LT/salamandra-7b,safetensors,true,4,0,,7768117248,7.768,
BSC-LT/salamandra-7b-instruct,safetensors,true,4,0,,7768117248,7.768,
ContextualAI/archangel_sft-dpo_pythia2-8b,safetensors,true,2,0,,2775208960,2.775,
ContextualAI/archangel_sft-kto_pythia2-8b,safetensors,true,2,0,,2775208960,2.775,
ContextualAI/archangel_sft-ppo_pythia2-8b,safetensors,true,2,0,,2775208960,2.775,
ContextualAI/archangel_sft-slic_pythia2-8b,safetensors,true,2,0,,2775208960,2.775,
ContextualAI/archangel_sft_pythia2-8b,safetensors,true,2,0,,2775208960,2.775,
EleutherAI/pythia-2.8b,mixed,true,1,1,,2909427008,2.909,
EleutherAI/pythia-6.9b,mixed,true,2,2,,6991520256,6.992,
HuggingFaceH4/mistral-7b-sft-beta,mixed,false,2,2,2.6,,,"safetensors shards present, index absent -- falls back to the .bin index and is refused below torch 2.6"
HuggingFaceH4/zephyr-7b-beta,mixed,true,8,8,,7241732096,7.242,
HuggingFaceTB/SmolLM2-360M,safetensors,true,1,0,,361821120,0.362,
HuggingFaceTB/SmolLM2-360M-Instruct,mixed,true,1,1,,361821120,0.362,
HuggingFaceTB/SmolLM3-3B,safetensors,true,2,0,,3075098624,3.075,
HuggingFaceTB/SmolLM3-3B-Base,safetensors,true,2,0,,3075098624,3.075,
HuggingFaceTB/SmolLM3-3B-checkpoints,none,,0,0,,,,
LLM360/Amber,safetensors,true,3,0,,6738415616,6.738,
LLM360/AmberChat,safetensors,true,3,0,,6738415616,6.738,
LLM360/AmberSafe,safetensors,true,3,0,,6738415616,6.738,
NousResearch/Hermes-3-Llama-3.1-8B,safetensors,true,4,0,,8030261248,8.03,
NousResearch/Nous-Hermes-2-Mistral-7B-DPO,safetensors,true,3,0,,7241748480,7.242,
OpenLLM-France/Lucie-7B,safetensors,true,3,0,,6706960384,6.707,
OpenLLM-France/Lucie-7B-Instruct-v1.1,safetensors,true,3,0,,6706960384,6.707,
PKU-Alignment/alpaca-7b-reproduced,safetensors,true,7,0,,6738423808,6.738,
PKU-Alignment/beaver-7b-v1.0,safetensors,true,7,0,,6738423808,6.738,
Qwen/Qwen2.5-0.5B,safetensors,true,1,0,,494032768,0.494,
Qwen/Qwen2.5-0.5B-Instruct,safetensors,true,1,0,,494032768,0.494,
