model,layer,model_id,prompt_key,gen_idx,step,phase,chosen_token,chosen_prob,entropy,eff_vocab,top1,top1_prob,top5_words
smol3-think,reasoning,HuggingFaceTB/SmolLM3-3B,worker,0,0,think,<think>,0.9998594522476196,0.002349947113543749,1,<think>,0.9998594522476196,<think>|<|im_start|>|</think>|Duel|äh
smol3-think,reasoning,HuggingFaceTB/SmolLM3-3B,worker,0,1,think,,0.9999969005584717,4.8623598559061065e-05,1,,0.9999969005584717,||Okay|To|
smol3-think,reasoning,HuggingFaceTB/SmolLM3-3B,worker,0,2,think,Okay,0.9962614178657532,0.028776487335562706,2,Okay,0.9962614178657532,Okay|Alright|okay|The|I
smol3-think,reasoning,HuggingFaceTB/SmolLM3-3B,worker,0,3,think,",",0.9999668598175049,0.0005613646935671568,1,",",0.9999668598175049,",|:|(|right|;"
smol3-think,reasoning,HuggingFaceTB/SmolLM3-3B,worker,0,4,think,the,0.6734576225280762,0.9656074643135071,4,the,0.6734576225280762,the|let|so|I|it
smol3-think,reasoning,HuggingFaceTB/SmolLM3-3B,worker,0,5,think,user,0.9911611080169678,0.05977978557348251,3,user,0.9911611080169678,user|worker|person|employee|writer
smol3-think,reasoning,HuggingFaceTB/SmolLM3-3B,worker,0,6,think,wants,0.8720831274986267,0.45271041989326477,6,wants,0.8720831274986267,wants|provided|has|asked|gave
smol3-think,reasoning,HuggingFaceTB/SmolLM3-3B,worker,0,7,think,me,0.9982380867004395,0.014112293720245361,2,me,0.9982380867004395,me|to|a|the|my
smol3-think,reasoning,HuggingFaceTB/SmolLM3-3B,worker,0,8,think,to,1.0,5.578291606411767e-08,1,to,1.0,"to|continue|Continue|,|to"
smol3-think,reasoning,HuggingFaceTB/SmolLM3-3B,worker,0,9,think,continue,0.9997178912162781,0.0030777978245168924,1,continue,0.9997178912162781,"continue|finish|complete|""|help"
smol3-think,reasoning,HuggingFaceTB/SmolLM3-3B,worker,0,10,think,the,0.8436065912246704,0.49545443058013916,4,the,0.8436065912246704,the|a|this|their|an
smol3-think,reasoning,HuggingFaceTB/SmolLM3-3B,worker,0,11,think,text,0.8330512642860413,0.571003258228302,4,text,0.8330512642860413,text|sentence|given|story|paragraph
smol3-think,reasoning,HuggingFaceTB/SmolLM3-3B,worker,0,12,think,:,0.7075687646865845,1.1296967267990112,11,:,0.7075687646865845,:|starting|that|where|after
smol3-think,reasoning,HuggingFaceTB/SmolLM3-3B,worker,0,13,think,"""",0.9997835755348206,0.002289970638230443,1,"""",0.9997835755348206,"""|The|""'|“|""..."
smol3-think,reasoning,HuggingFaceTB/SmolLM3-3B,worker,0,14,think,The,0.9999794960021973,0.00030006581800989807,1,The,0.9999794960021973,The|He|the|The|This
smol3-think,reasoning,HuggingFaceTB/SmolLM3-3B,worker,0,15,think,worker,0.9999945163726807,8.224686462199315e-05,1,worker,0.9999945163726807,worker|workers|employee|work|Worker
smol3-think,reasoning,HuggingFaceTB/SmolLM3-3B,worker,0,16,think,felt,0.9999947547912598,8.067765884334221e-05,1,felt,0.9999947547912598,felt|feels|felt|feeling|feel
smol3-think,reasoning,HuggingFaceTB/SmolLM3-3B,worker,0,17,think,the,0.9999955892562866,6.757816299796104e-05,1,the,0.9999955892562866,"the|that|The|...|..."""
smol3-think,reasoning,HuggingFaceTB/SmolLM3-3B,worker,0,18,think,company,0.999997615814209,3.883323006448336e-05,1,company,0.999997615814209,company|Company|公司|company|companies
smol3-think,reasoning,HuggingFaceTB/SmolLM3-3B,worker,0,19,think,was,0.9999995231628418,9.737227628647815e-06,1,was,0.9999995231628418,was|were|wasn|Was|WAS
smol3-think,reasoning,HuggingFaceTB/SmolLM3-3B,worker,0,20,think,unfair,0.9999072551727295,0.0010388034861534834,1,unfair,0.9999072551727295,unfair|unfairly|fair|un|unjust
smol3-think,reasoning,HuggingFaceTB/SmolLM3-3B,worker,0,21,think,and,0.9994307160377502,0.004988218657672405,1,and,0.9994307160377502,"and|...""|...|""|..."""
smol3-think,reasoning,HuggingFaceTB/SmolLM3-3B,worker,0,22,think,decided,0.9999988079071045,2.005918213399127e-05,1,decided,0.9999988079071045,decided|decide|dec|decides|decision
smol3-think,reasoning,HuggingFaceTB/SmolLM3-3B,worker,0,23,think,to,0.9999295473098755,0.0007565278792753816,1,to,0.9999295473098755,"to|...""|...|...""|..."","
smol3-think,reasoning,HuggingFaceTB/SmolLM3-3B,worker,0,24,think,"...""",0.9249963760375977,0.36747846007347107,5,"...""",0.9249963760375977,"...""|...|.""|"".|..."""
smol3-think,reasoning,HuggingFaceTB/SmolLM3-3B,worker,0,25,think,I,0.5192797183990479,1.012879490852356,5,I,0.5192797183990479,I|Let|So|Hmm|
smol3-think,reasoning,HuggingFaceTB/SmolLM3-3B,worker,0,26,think,need,0.9996969699859619,0.0029574816580861807,1,need,0.9996969699859619,need|should|'ll|can|know
smol3-think,reasoning,HuggingFaceTB/SmolLM3-3B,worker,0,27,think,to,1.0,6.584049856428464e-07,1,to,1.0,to|a|to|think|figure
smol3-think,reasoning,HuggingFaceTB/SmolLM3-3B,worker,0,28,think,think,0.35098743438720703,1.4150441884994507,11,come,0.40398406982421875,come|think|figure|make|generate
smol3-think,reasoning,HuggingFaceTB/SmolLM3-3B,worker,0,29,think,about,0.774436891078949,0.535683810710907,2,about,0.774436891078949,about|of|carefully|through|creatively
smol3-think,reasoning,HuggingFaceTB/SmolLM3-3B,worker,0,30,think,possible,0.26135489344596863,1.353048324584961,9,how,0.3743736147880554,how|what|possible|the|different
smol3-think,reasoning,HuggingFaceTB/SmolLM3-3B,worker,0,31,think,directions,0.8468946218490601,0.6466653943061829,8,directions,0.8468946218490601,directions|ways|continu|next|scenarios
smol3-think,reasoning,HuggingFaceTB/SmolLM3-3B,worker,0,32,think,for,0.25029468536376953,1.3549500703811646,9,this,0.49777039885520935,this|for|here|.|to
smol3-think,reasoning,HuggingFaceTB/SmolLM3-3B,worker,0,33,think,this,0.6383585929870605,0.7138897776603699,4,this,0.6383585929870605,this|the|that|where|continuation
smol3-think,reasoning,HuggingFaceTB/SmolLM3-3B,worker,0,34,think,sentence,0.13389351963996887,1.2963693141937256,8,continuation,0.5378984808921814,continuation|.|sentence|story|scenario
