model,family,pure_ids,pure_cjk,mixed_ids,mixed_cjk,drops_cjk,note
LLM360/Amber,amber,13,7,8,1,false,
LLM360/AmberChat,amber,13,7,8,1,false,
LLM360/AmberSafe,amber,13,7,8,1,false,
EleutherAI/pythia-2.8b,archangel-dpo,10,7,7,1,false,
ContextualAI/archangel_sft_pythia2-8b,archangel-dpo,10,7,7,1,false,
ContextualAI/archangel_sft-dpo_pythia2-8b,archangel-dpo,10,7,7,1,false,
ContextualAI/archangel_sft-kto_pythia2-8b,archangel-kto,10,7,7,1,false,
ContextualAI/archangel_sft-ppo_pythia2-8b,archangel-ppo,10,7,7,1,false,
ContextualAI/archangel_sft-slic_pythia2-8b,archangel-slic,10,7,7,1,false,
baichuan-inc/Baichuan2-7B-Base,baichuan,5,7,6,1,false,
baichuan-inc/Baichuan2-7B-Chat,baichuan,5,7,6,1,false,
huggyllama/llama-7b,beaver,13,7,8,1,false,
PKU-Alignment/alpaca-7b-reproduced,beaver,13,7,8,1,false,
PKU-Alignment/beaver-7b-v1.0,beaver,13,7,8,1,false,
bigscience/bloom-7b1,bloom,5,7,5,1,false,
bigscience/bloomz-7b1,bloom,5,7,5,1,false,
m-a-p/CT-LLM-Base,ct-llm,5,7,6,1,false,
m-a-p/CT-LLM-SFT,ct-llm,5,7,6,1,false,
m-a-p/CT-LLM-SFT-DPO,ct-llm,5,7,6,1,false,
deepseek-ai/deepseek-llm-7b-base,deepseek-7b,5,7,6,1,false,
deepseek-ai/deepseek-llm-7b-chat,deepseek-7b,5,7,6,1,false,
tiiuae/Falcon-H1-1.5B-Base,falcon-h1-1.5b,6,7,5,1,false,
tiiuae/Falcon-H1-1.5B-Instruct,falcon-h1-1.5b,6,7,5,1,false,
tiiuae/Falcon-H1-7B-Base,falcon-h1-7b,5,7,5,1,false,
tiiuae/Falcon-H1-7B-Instruct,falcon-h1-7b,5,7,5,1,false,
tiiuae/falcon-mamba-7b,falcon-mamba,11,7,7,1,false,
tiiuae/falcon-mamba-7b-instruct,falcon-mamba,11,7,7,1,false,
tiiuae/Falcon3-10B-Base,falcon3-10b,11,7,7,1,false,
tiiuae/Falcon3-10B-Instruct,falcon3-10b,11,7,7,1,false,
tiiuae/Falcon3-1B-Base,falcon3-1b,11,7,7,1,false,
tiiuae/Falcon3-1B-Instruct,falcon3-1b,11,7,7,1,false,
tiiuae/Falcon3-3B-Base,falcon3-3b,11,7,7,1,false,
tiiuae/Falcon3-3B-Instruct,falcon3-3b,11,7,7,1,false,
tiiuae/Falcon3-7B-Base,falcon3-7b,11,7,7,1,false,
tiiuae/Falcon3-7B-Instruct,falcon3-7b,11,7,7,1,false,
tiiuae/Falcon3-Mamba-7B-Base,falcon3-mamba,11,7,7,1,false,
tiiuae/Falcon3-Mamba-7B-Instruct,falcon3-mamba,11,7,7,1,false,
zai-org/glm-4-9b-hf,glm4,5,7,5,1,false,
zai-org/glm-4-9b-chat-hf,glm4,5,7,5,1,false,
internlm/internlm2-base-7b,internlm2,5,7,6,1,false,
internlm/internlm2-chat-7b-sft,internlm2,5,7,6,1,false,
internlm/internlm2-chat-7b,internlm2,5,7,6,1,false,
meta-llama/Llama-3.1-8B,llama,6,7,6,1,false,
meta-llama/Llama-3.1-8B-Instruct,llama,6,7,6,1,false,
meta-llama/Llama-3.1-70B,llama-70b,6,7,6,1,false,
meta-llama/Llama-3.1-70B-Instruct,llama-70b,6,7,6,1,false,
m-a-p/neo_7b,map-neo,5,7,5,1,false,
m-a-p/neo_7b_sft_v0.1,map-neo,5,7,5,1,false,
m-a-p/neo_7b_instruct_v0.1,map-neo,5,7,5,1,false,
openbmb/MiniCPM5-1B-Base,minicpm,4,7,5,1,false,
openbmb/MiniCPM5-1B-SFT,minicpm,4,7,5,1,false,
openbmb/MiniCPM5-1B,minicpm,4,7,5,1,false,
allenai/Olmo-3-1025-7B,olmo,11,7,7,1,false,
allenai/Olmo-3-7B-Instruct-SFT,olmo,11,7,7,1,false,
allenai/Olmo-3-7B-Instruct-DPO,olmo,11,7,7,1,false,
allenai/Olmo-3-7B-Instruct,olmo,11,7,7,1,false,
allenai/Olmo-3-1125-32B,olmo-32b,11,7,7,1,false,
allenai/Olmo-3.1-32B-Instruct-SFT,olmo-32b,11,7,7,1,false,
allenai/Olmo-3.1-32B-Instruct-DPO,olmo-32b,11,7,7,1,false,
allenai/Olmo-3.1-32B-Instruct,olmo-32b,11,7,7,1,false,
allenai/Olmo-Hybrid-7B,olmo-hybrid,11,7,7,1,false,
allenai/Olmo-Hybrid-Instruct-SFT-7B,olmo-hybrid,11,7,7,1,false,
allenai/Olmo-Hybrid-Instruct-DPO-7B,olmo-hybrid,11,7,7,1,false,
allenai/Olmo-3-7B-Think-SFT,olmo-think,11,7,7,1,false,
allenai/Olmo-3-7B-Think-DPO,olmo-think,11,7,7,1,false,
allenai/OLMo-2-0425-1B,olmo-tiny,11,7,7,1,false,
allenai/OLMo-2-0425-1B-SFT,olmo-tiny,11,7,7,1,false,
allenai/OLMo-2-0425-1B-DPO,olmo-tiny,11,7,7,1,false,
allenai/OLMo-2-0425-1B-Instruct,olmo-tiny,11,7,7,1,false,
allenai/OLMoE-1B-7B-0125,olmoe,10,7,7,1,false,
allenai/OLMoE-1B-7B-0125-SFT,olmoe,10,7,7,1,false,
allenai/OLMoE-1B-7B-0125-DPO,olmoe,10,7,7,1,false,
allenai/OLMoE-1B-7B-0125-Instruct,olmoe,10,7,7,1,false,
microsoft/phi-4,phi4,11,7,7,1,false,
microsoft/phi-4-reasoning,phi4,11,7,7,1,false,
EleutherAI/pythia-6.9b,pythia,10,7,7,1,false,
lomahony/eleuther-pythia6.9b-hh-sft,pythia,10,7,7,1,false,
