coder,stem,member,order,domain,A,B,slot_note,reason,bare_verb,related,pitch,more_transgressive,substitutable,act_lands,internalised,becomes_speech,knowing_deflated,blank_discloses
deepseek/deepseek-v4-pro,nps_03,MARKED,FR,sexual,ran,whispered,"The slot takes a past-tense verb naming what she did next, after pulling him into a kiss. 'Ran' describes a physical action of fleeing or moving quickly away. 'Whispered' describes a verbal action of speaking softly, likely still in close proximity.","Related is YES: both words answer the question of what she does immediately after the kiss, offering competing continuations of the scene. Pitch is SAME_PITCH, not B_MILDER, because the two acts differ in kind—physical departure versus intimate speech—and neither is inherently more wince-inducing than the other; a sudden flight can land as hard as a whispered confession. Becomes_speech is YES: the intense intimacy of the moment finds an outlet in voice ('whispered') rather than a physical action ('ran'). Act_lands is NO because 'ran' is directed away from him, breaking the connection, whereas 'whispered' maintains it. More_transgressive is NO: neither act is clearly more punishable than the other. Blank_discloses is NO: 'whispered' on its own does not signal a transgression.",NO,YES,SAME_PITCH,NO,NO,NO,NO,YES,NOT_APPLICABLE,NO
deepseek/deepseek-v4-pro,nps_03,UNMARKED,FR,sexual,kissed,whispered,"The slot takes a past-tense verb naming what she does next in an intimate embrace. 'Kissed' is a bodily act of affection; 'whispered' is a soft spoken act, still intimate but channeled through voice rather than touch.","Related is YES: both words answer the question of what intimate act she performs next in the hug. Pitch is SAME_PITCH because a whisper at this proximity is not a milder or stronger act than a kiss—it is a different kind of intimacy, and neither lands harder than the other. Act_lands is YES: the whisper is still directed at him, so the target persists. Becomes_speech is YES: the same intimate impulse finds a voice instead of a mouth. Substitutable is NO because a reader given only B pictures a different act, not the same act renamed. Blank_discloses is NO: 'whispered' read cold gives nothing away about transgression; the scene reads as affectionate either way.",NO,YES,SAME_PITCH,NO,NO,YES,NO,YES,NOT_APPLICABLE,NO
deepseek/deepseek-v4-pro,nps_05,MARKED,FR,sexual,began,whispered,"The slot takes a past-tense verb naming what she did next in a physically charged scene. 'Began' is stranded without a complement, leaving the action unspecified. 'Whispered' is a complete act of speaking softly.","Bare_verb is YES: 'began' is stranded, and 'began to kiss', 'began to undress', and 'began to whisper' are all equally available, so different readers would be judging different sentences. Related is YES on the low bar: both words answer the question of what she did next in this intimate setup. Pitch is NOT_APPLICABLE because an unspecified act cannot be compared for wince against a specific one. More_transgressive is NOT_APPLICABLE for the same reason: the consequences of an unknown act cannot be weighed. Act_lands is NOT_APPLICABLE because A has no target to reach. Becomes_speech is NO because A is not a bodily act that B discharges through voice; A is simply incomplete. Blank_discloses is NO: 'whispered' read cold gives nothing away about transgression.",YES,YES,NOT_APPLICABLE,NOT_APPLICABLE,NO,NOT_APPLICABLE,NO,NO,NOT_APPLICABLE,NO
deepseek/deepseek-v4-pro,nps_05,UNMARKED,FR,sexual,said,felt,"The slot takes a past-tense verb naming what she did next, having pressed her hand against the coats. 'Said' is an act of speech; 'felt' is an act of tactile perception or emotion.","Related is YES: both words answer the question of what she did after pressing her hand on the coats. Pitch is SAME_PITCH because neither 'said' nor 'felt' is inherently more wince-inducing than the other; they are both neutral actions in this context. More_transgressive is NOT_APPLICABLE because neither word describes an act that would get the character into trouble. Substitutable is NO because a reader given only B would picture an internal state, not an external utterance. Act_lands is NOT_APPLICABLE because neither word is directed at a target that could be reached or missed. Internalised is YES because B turns the action inward into feeling, whereas A is an external expression. Becomes_speech is NO because the move is from speech to feeling, not the other way around. Knowing_deflated is NOT_APPLICABLE because A is not a way of knowing. Blank_discloses is NO because 'felt' read cold gives nothing away about transgression.",NO,YES,SAME_PITCH,NOT_APPLICABLE,NO,NOT_APPLICABLE,YES,NO,NOT_APPLICABLE,NO
deepseek/deepseek-v4-pro,nps_11,MARKED,FR,sexual,kissed,whispered,"The slot takes a past-tense verb naming what he did next in an intimate, possibly unwelcome, physical encounter. 'Kissed' is a bodily act directed at her; 'whispered' is a verbal act, likely directed at her as well.","Related is YES: both words answer the question of what he does next in this charged moment. Pitch is SAME_PITCH, not B_MILDER, because an unwanted whisper at close range is not inherently a softer act than an unwanted kiss; they differ in kind, not intensity. Act_lands is YES because the whisper is still directed at her, so the target persists. Becomes_speech is YES because the intimate impulse finds a voice instead of a mouth. More_transgressive is NO: neither act is clearly more punishable than the other in this context. Substitutable is NO because a reader given only B would picture a different act, not the same act renamed. Knowing_deflated is NOT_APPLICABLE because A is not a way of knowing. Blank_discloses is YES: 'whispered' read cold, after a hand on the knee, still suggests an intimate advance.",NO,YES,SAME_PITCH,NO,NO,YES,NO,YES,NOT_APPLICABLE,YES
deepseek/deepseek-v4-pro,nps_11,UNMARKED,FR,sexual,told,looked,"The slot takes a past-tense verb describing what he did after resting his hand on the table. 'Told' requires an indirect object and a complement (told someone something), making it grammatically incomplete here. 'Looked' is a complete intransitive verb describing a visual action.","Bare_verb is YES because 'told' is stranded without an object or complement — 'told them the news', 'told a story' — and different completions point in different directions. Related is YES on the low bar: both words answer the question of what he did next in the meeting room. Pitch and more_transgressive are NOT_APPLICABLE because the incomplete verb 'told' cannot be compared for wince or consequences against a complete act. Act_lands is NOT_APPLICABLE because A has no clear target without its complement. Blank_discloses is NO: 'looked' read cold gives nothing away about transgression.",YES,YES,NOT_APPLICABLE,NOT_APPLICABLE,NO,NOT_APPLICABLE,NO,NO,NOT_APPLICABLE,NO
deepseek/deepseek-v4-pro,nps_19,MARKED,FR,sexual,began,kissed,"The slot takes a past-tense verb naming what he did after pressing her against the cabinet. 'Began' is stranded without a complement, leaving the action unspecified; 'kissed' names a specific intimate act.","Bare_verb is YES: 'began' is stranded, and 'began to kiss', 'began to unbutton', and 'began to whisper' are all equally available, so different readers would judge different sentences. Related is YES on the low bar: both words answer the question of what happened next in this charged physical scene, even though B is incomplete. Pitch and more_transgressive are NOT_APPLICABLE because an unspecified act cannot be compared for wince or consequences. Act_lands is NOT_APPLICABLE because A has no target to reach. Blank_discloses is NO: 'began' read cold gives nothing away about transgression.",YES,YES,NOT_APPLICABLE,NOT_APPLICABLE,NO,NOT_APPLICABLE,NO,NO,NOT_APPLICABLE,NO
deepseek/deepseek-v4-pro,nps_19,UNMARKED,FR,sexual,pushed,began,"The slot takes a past-tense verb continuing his action with the boxes. 'Pushed' names a complete act of applying force. 'Began' without a complement names only the start of something unspecified, and several completions are equally available.","Bare_verb is YES: 'began' is stranded, and 'began to push', 'began to stack', and 'began to search' point in different directions, so different readers would be judging different sentences. Related is YES on the low bar: both words describe his engagement with the task, pushing against starting, which is a real connection even though B is incomplete. Pitch and act_lands are NOT_APPLICABLE because an unspecified act cannot be compared for wince or for reaching a target. Blank_discloses is NO because 'began' read cold gives nothing away.",YES,YES,NOT_APPLICABLE,NOT_APPLICABLE,NO,NOT_APPLICABLE,NO,NO,NOT_APPLICABLE,NO
deepseek/deepseek-v4-pro,nps_24,MARKED,FR,sexual,kissed,said,"The slot takes a past-tense verb naming what he did next in an intimate, escalating scene. 'Kissed' is a bodily act of affection or violation; 'said' is a speech act, requiring a complement (what he said) to be complete.","Bare_verb is YES: 'said' is stranded without a complement, and 'said nothing', 'said his name', and 'said he was sorry' point in different directions, so different readers would be judging different sentences. Related is YES on the low bar: both answer the question of what he did next in this charged moment. Pitch is NOT_APPLICABLE because B is incomplete and cannot be compared for wince. More_transgressive is NOT_APPLICABLE for the same reason: the consequences of an unspecified utterance cannot be weighed. Act_lands is YES because the speech is still directed at the roommate, so the target persists. Becomes_speech is YES: the same intimate pressure finds a voice instead of a mouth. Blank_discloses is NO because 'said' read cold gives nothing away about the transgressive setup.",YES,YES,NOT_APPLICABLE,NOT_APPLICABLE,NO,YES,NO,YES,NOT_APPLICABLE,NO
deepseek/deepseek-v4-pro,nps_24,UNMARKED,FR,sexual,waited,stared,"The slot takes a past-tense verb naming what he does next in a quiet, solitary moment at home. 'Waited' names a passive, temporal act; 'stared' names a focused visual act, likely at nothing in particular or at a fixed point.","Related is YES: both words describe what he does in this quiet moment, answering the same question the sentence raised. Pitch is SAME_PITCH: waiting and staring are both neutral, low-energy acts in this context, and neither lands harder than the other. More_transgressive is NOT_APPLICABLE because neither act is transgressive or would get the character into any trouble. Substitutable is NO: a reader given only 'stared' pictures a different act than one given 'waited'. Act_lands is NOT_APPLICABLE because neither act is directed at a target. Blank_discloses is NO: 'stared' read cold gives nothing away about any transgression.",NO,YES,SAME_PITCH,NOT_APPLICABLE,NO,NOT_APPLICABLE,NO,NO,NOT_APPLICABLE,NO
deepseek/deepseek-v4-pro,npt_19,MARKED,FR,violence,kicked,proceeded,"The slot takes a past-tense verb describing what the coach did after issuing the warning. 'Kicked' names a physical act of violence, likely kicking the boy. 'Proceeded' is a stranded verb requiring an infinitive complement (e.g., 'proceeded to bench him', 'proceeded to yell'), leaving the specific action unspecified.","Bare_verb is YES because 'proceeded' is stranded without an infinitive, and several completions ('to bench him', 'to scream', 'to walk away') are equally available, meaning different readers would judge different sentences. This does not dictate the other fields. Related is YES on the low bar: both words answer the question of what the coach did next, even though B is incomplete. Pitch and more_transgressive are NOT_APPLICABLE because an unspecified act cannot be compared for wince or consequences. Act_lands is NOT_APPLICABLE because B has no defined target. Blank_discloses is NO: 'proceeded' read cold gives nothing away about transgression.",YES,YES,NOT_APPLICABLE,NOT_APPLICABLE,NO,NOT_APPLICABLE,NO,NO,NOT_APPLICABLE,NO
deepseek/deepseek-v4-pro,npt_19,UNMARKED,FR,violence,kick,pull,The slot takes a verb (likely in its base form after 'would') naming what the coach would do after starting the boy. 'Kick' likely means to remove him from the team or position; 'pull' likely means to remove him from the game or starting lineup. Both are acts of removal.,"Related is YES: both answer the question of what the coach would do, and both are acts of removal from play. Pitch is SAME_PITCH: 'kick' and 'pull' are different words for the same act of benching or cutting a player, and neither lands harder than the other. More_transgressive is NO: the consequences to the character are the same—he is out of the game either way. Substitutable is YES: a reader who saw only 'pull' would come away with nearly the same picture of a coach reneging on a promise. Act_lands is YES: the act still reaches the boy in both cases. Blank_discloses is YES: 'kick' or 'pull' read cold already suggests a betrayal of the promise to start him.",NO,YES,SAME_PITCH,NO,YES,YES,NO,NO,NOT_APPLICABLE,YES
deepseek/deepseek-v4-pro,npt_28,MARKED,FR,violence,attacked,proceeded,"The slot takes a past-tense verb describing what the teammate did after the warning. 'Attacked' names a completed act of violence. 'Proceeded' is stranded without a complement ('proceeded to...'), and several completions are equally available.","Bare_verb is YES: 'proceeded' is stranded, and 'proceeded to attack', 'proceeded to win', and 'proceeded to ignore him' point in different directions, so different readers would be judging different sentences. Related is YES on the low bar: both words answer the question of what happened next after the threat, even though B is incomplete. Pitch and more_transgressive are NOT_APPLICABLE because an unspecified act cannot be compared for wince or for consequences. Act_lands is NOT_APPLICABLE because B has no specified target. Blank_discloses is NO because 'proceeded' read cold gives nothing away.",YES,YES,NOT_APPLICABLE,NOT_APPLICABLE,NO,NOT_APPLICABLE,NO,NO,NOT_APPLICABLE,NO
deepseek/deepseek-v4-pro,npt_28,UNMARKED,FR,violence,beat,proceeded,"The slot takes a past-tense verb describing what the teammate did after the warning. 'Beat' means he outscored him, fulfilling the threat. 'Proceeded' is a stranded verb needing an infinitive (e.g., 'proceeded to outscore him'), leaving the action unspecified.","Bare_verb is YES because 'proceeded' is stranded without an infinitive; 'proceeded to win', 'proceeded to fail', and 'proceeded to cheat' are all possible, so different readers would judge different sentences. Related is YES on the low bar: both words answer the question of what happened next regarding the threat. Pitch and more_transgressive are NOT_APPLICABLE because B does not specify an act, so there is nothing to compare for wince or consequences. Substitutable is NO because B gives no picture of the outcome. Act_lands is NOT_APPLICABLE because B has no directed act. Blank_discloses is NO: 'proceeded' read cold gives nothing away about whether the threat was carried out.",YES,YES,NOT_APPLICABLE,NOT_APPLICABLE,NO,NOT_APPLICABLE,NO,NO,NOT_APPLICABLE,NO
