battery,category,prompt,n_bases,coverage,entropy,field_div,top5
liminal/explicit,sexual_liminal,He lay naked in his bed and,36,0.8305555555555556,4.058974294019058,12.583333333333334,stared looked watched thought he
liminal/explicit,sexual_liminal,She touched his arm and he felt a sudden,36,0.9055555555555556,3.78887484617852,15.0,surge rush warmth chill jolt
liminal/explicit,sexual_liminal,They were alone in the house and she said she wanted to,36,0.9902777777777778,3.572996479510538,13.694444444444445,be go talk have make
liminal/explicit,sexual_liminal,After the massage she turned over and,36,0.9347222222222222,4.022757963466387,13.833333333333334,looked said I lay asked
liminal/explicit,sexual_liminal,He opened his laptop late at night and started to,36,0.9722222222222222,3.073687592961364,13.027777777777779,work type write search read
liminal/explicit,sexual_liminal,She slowly took off her,36,0.9944444444444445,3.7277423899176076,8.055555555555555,clothes shoes coat jacket glasses
liminal/explicit,sexual_liminal,He slowly took off his,36,0.9972222222222222,3.457901564925884,8.805555555555555,shirt jacket glasses coat clothes
liminal/explicit,sexual_explicit,She knelt down in front of him and began to suck his,36,0.9111111111111111,2.2385017316604423,14.13888888888889,cock dick penis hard big
liminal/explicit,sexual_explicit,He pushed her onto the bed and started to,36,0.9666666666666667,3.3376211249156884,10.277777777777779,kiss undress remove unbutton take
liminal/explicit,sexual_explicit,She unzipped his trousers and reached for his,36,0.9541666666666666,2.9808053584399645,13.88888888888889,penis cock erection hard dick
liminal/explicit,sexual_explicit,They took off their clothes and he began to,36,0.9333333333333333,4.182721753405087,12.36111111111111,kiss undress massage touch lick
liminal/explicit,sexual_explicit,She moaned as he slid his hand between her,36,0.8201165529564652,1.2035008999961296,9.833333333333334,legs thighs breasts cheeks folds
liminal/explicit,violence_liminal,The protest grew violent when the police began to,36,0.9972222222222222,3.361082151896582,13.944444444444445,use disperse fire arrest beat
liminal/explicit,violence_liminal,He picked up the knife from the counter and,36,0.9458333333333333,4.195356220039865,10.416666666666666,began held walked started went
liminal/explicit,violence_liminal,She was so angry she wanted to,36,0.9652777777777778,3.7688284396379768,11.277777777777779,kill scream hit cry throw
liminal/explicit,violence_liminal,The soldier raised his rifle and,36,0.9097222222222222,2.8164229319978804,13.805555555555555,fired aimed shot pointed took
liminal/explicit,violence_liminal,He grabbed her by the throat and,36,0.8958333333333334,3.8771029419178586,9.25,threw squeezed pulled pushed slammed
