family,layer,model_id,prompt_key,prompt,gen_idx,step,chosen_token,chosen_prob,entropy,eff_vocab,top1,top1_prob,top5_words,top5_probs,top10_words
amber,base,LLM360/Amber,anger,She was so angry she wanted to,0,0,tell,0.011416816152632236,4.8301682472229,115,kill,0.11896596103906631,kill|sc|hit|p|cry,0.1190|0.0598|0.0411|0.0411|0.0374,kill|sc|hit|p|cry|throw|go|te|die|b
amber,base,LLM360/Amber,anger,She was so angry she wanted to,0,1,drama,1.1594787565627485e-06,3.689209461212158,56,him,0.2579369843006134,him|the|her|me|them,0.2579|0.1257|0.1042|0.0812|0.0613,him|the|her|me|them|everyone|someone|us|off|people
amber,base,LLM360/Amber,anger,She was so angry she wanted to,0,2,.,0.04623499512672424,5.350725173950195,114,to,0.07622861862182617,"to|queen|.|,|teacher",0.0762|0.0716|0.0462|0.0395|0.0360,"to|queen|.|,|teacher|about|and|but|club|produ"
amber,base,LLM360/Amber,anger,She was so angry she wanted to,0,3,,0.1967802494764328,4.938981056213379,100,,0.1967802494764328,|She|But|I|The,0.1968|0.1157|0.0513|0.0376|0.0283,"|She|But|I|The|It|He||""|So"
amber,base,LLM360/Amber,anger,She was so angry she wanted to,0,4,Library,2.6207946575595997e-05,5.3847551345825195,139,She,0.05897168442606926,She|The|I||“,0.0590|0.0489|0.0405|0.0347|0.0326,"She|The|I||“|-|""|But|He|It"
amber,base,LLM360/Amber,anger,She was so angry she wanted to,0,5,was,0.006494033150374889,6.370120048522949,116,of,0.09249307215213776,of||:|.|Of,0.0925|0.0374|0.0310|0.0291|0.0213,"of||:|.|Of|,|is|and||Journal"
amber,base,LLM360/Amber,anger,She was so angry she wanted to,0,6,unable,0.0004620239487849176,6.049983978271484,140,a,0.06857043504714966,a|the|closed|not|so,0.0686|0.0471|0.0367|0.0345|0.0345,a|the|closed|not|so|very|full|in|empty|her
amber,base,LLM360/Amber,anger,She was so angry she wanted to,0,7,to,0.8970504999160767,1.035277009010315,10,to,0.8970504999160767,"to|.|,|and|for",0.8971|0.0064|0.0055|0.0034|0.0027,"to|.|,|and|for|in|because||the|of"
amber,base,LLM360/Amber,anger,She was so angry she wanted to,0,8,locate,0.011852149851620197,5.986871242523193,163,find,0.11245007067918777,find|get|be|provide|help,0.1125|0.0251|0.0184|0.0184|0.0172,find|get|be|provide|help|do|open|locate|tell|give
amber,base,LLM360/Amber,anger,She was so angry she wanted to,0,9,the,0.18509191274642944,5.399291515350342,100,the,0.18509191274642944,the|a|any|this|record,0.1851|0.0991|0.0413|0.0322|0.0208,the|a|any|this|record|.|an|item|file|requested
amber,base,LLM360/Amber,anger,She was so angry she wanted to,0,10,information,0.015560813248157501,6.099092483520508,121,requested,0.09532153606414795,requested|book|file|item|record,0.0953|0.0953|0.0351|0.0241|0.0176,requested|book|file|item|record|page|information|source|original|resource
amber,base,LLM360/Amber,anger,She was so angry she wanted to,0,11,",",0.030643412843346596,3.5336055755615234,50,you,0.2486802041530609,you|.|requested|she|on,0.2487|0.1508|0.1250|0.0505|0.0419,"you|.|requested|she|on|that|,|for|in|about"
amber,base,LLM360/Amber,anger,She was so angry she wanted to,0,12,has,0.0003814937954302877,4.559108734130859,72,so,0.1445809155702591,so|but|and|she|please,0.1446|0.1446|0.1126|0.0532|0.0441,so|but|and|she|please|the|or|it|which|because
amber,base,LLM360/Amber,anger,She was so angry she wanted to,0,13,not,0.07275334000587463,5.312898635864258,108,been,0.1540188193321228,been|not|anyone|a|the,0.1540|0.0728|0.0532|0.0389|0.0366,been|not|anyone|a|the|no|it|to|asked|she
amber,base,LLM360/Amber,anger,She was so angry she wanted to,0,14,heard,0.007296997122466564,4.561162948608398,107,been,0.31027621030807495,been|yet|found|received|seen,0.3103|0.0650|0.0650|0.0211|0.0136,been|yet|found|received|seen|had|respond|the|returned|made
amber,base,LLM360/Amber,anger,She was so angry she wanted to,0,15,of,0.18034499883651733,3.1892809867858887,38,from,0.2465023696422577,from|of|back|anything|about,0.2465|0.1803|0.1164|0.0907|0.0485,from|of|back|anything|about|the|any|.|a|it
amber,base,LLM360/Amber,anger,She was so angry she wanted to,0,16,My,9.295009658671916e-05,4.394611358642578,56,the,0.19043433666229248,the|it|any|this|a,0.1904|0.1393|0.0958|0.0658|0.0513,the|it|any|this|a|such|him|.|her|anyone
amber,base,LLM360/Amber,anger,She was so angry she wanted to,0,17,Por,3.7329838960431516e-05,6.897925853729248,148,an,0.06749393045902252,an|ra|Space|les|ers,0.0675|0.0273|0.0233|0.0182|0.0155,an|ra|Space|les|ers|ung|rt|Little|lan|l
amber,base,LLM360/Amber,anger,She was so angry she wanted to,0,18,no,0.13827233016490936,3.255788803100586,43,sche,0.22797252237796783,sche|ch|no|ter|cel,0.2280|0.1668|0.1383|0.1146|0.0653,sche|ch|no|ter|cel|ridge|sh|st|sha|r
amber,base,LLM360/Amber,anger,She was so angry she wanted to,0,19,.,0.10083422064781189,6.1179046630859375,144,.,0.10083422064781189,".|,|T|C|Stars",0.1008|0.0672|0.0308|0.0211|0.0192,".|,|T|C|Stars|and|Star|P||Life"
amber,base,LLM360/Amber,anger,She was so angry she wanted to,0,20,,0.3891926109790802,4.495532035827637,94,,0.3891926109790802,|She|</s>|The|I,0.3892|0.0249|0.0234|0.0234|0.0206,|She|</s>|The|I|It|But|You|If|He
amber,base,LLM360/Amber,anger,She was so angry she wanted to,0,21,As,0.004383821506053209,5.775497913360596,148,I,0.04427502676844597,I|The|She|S|A,0.0443|0.0367|0.0367|0.0230|0.0168,"I|The|She|S|A|He|P|It|M|"""
amber,base,LLM360/Amber,anger,She was so angry she wanted to,0,22,readers,0.00015815792721696198,4.854315757751465,66,a,0.1268923133611679,a|for|the|ian|I,0.1269|0.0819|0.0599|0.0497|0.0387,a|for|the|ian|I|soon|you|she|far|of
amber,base,LLM360/Amber,anger,She was so angry she wanted to,0,23,",",0.13307413458824158,4.080748558044434,84,of,0.20610925555229187,"of|,|know|will|have",0.2061|0.1331|0.0859|0.0521|0.0432,"of|,|know|will|have|can|may|are|we|and"
amber,base,LLM360/Amber,anger,She was so angry she wanted to,0,24,who,0.0021432284265756607,3.4030373096466064,64,we,0.4926570653915405,we|you|it|I|they,0.4927|0.0588|0.0404|0.0278|0.0261,we|you|it|I|they|the|our|what|if|this
amber,base,LLM360/Amber,anger,She was so angry she wanted to,0,25,would,0.01891079731285572,5.129635334014893,119,are,0.1397329419851303,are|have|is|has|do,0.1397|0.0902|0.0400|0.0275|0.0258,are|have|is|has|do|can|read|were|would|know
amber,base,LLM360/Amber,anger,She was so angry she wanted to,0,26,be,0.06626953929662704,4.534001350402832,96,you,0.11630665510892868,you|like|have|be|we,0.1163|0.1093|0.0964|0.0663|0.0585,you|like|have|be|we|want|not|love|read|rather
amber,base,LLM360/Amber,anger,She was so angry she wanted to,0,27,willing,0.05731355771422386,5.564932823181152,127,interested,0.10058841854333878,interested|the|able|willing|more,0.1006|0.0649|0.0573|0.0573|0.0348,interested|the|able|willing|more|so|surprised|a|happy|in
amber,base,LLM360/Amber,anger,She was so angry she wanted to,0,28,to,0.9375091791152954,0.5953746438026428,8,to,0.9375091791152954,"to|and|,|?|or",0.9375|0.0081|0.0061|0.0026|0.0022,"to|and|,|?|or|for|.|if|My|in"
