word,prompt_key,prompt,category,direction,mean_bits_filtered,sd_filtered,n_families_filtered,pct_relevant,agreement_filtered,mean_bits_all,sd_all,n_families_all,agreement_all,spacy_pos,spacy_tag,wordnet_pos,wordnet_lexname,wordnet_hypernyms
Obama,institutional_political_citizen_1,Inequality is rising and wages are stagnant. I should vote for,institutional,repressed,6.7884,8.8491,27,57.4,100.0,6.5995,8.5831,43,95.3,PROPN,NNP,,,
go,institutional_labor_worker_2,My boss takes credit for my work in every meeting. I should,institutional,repressed,2.7347,4.6069,23,48.9,100.0,2.0247,3.7824,44,88.6,VERB,VB,n,noun.time,shift > hours > work_time
consider,institutional_housing_tenant_2,My landlord refuses to fix the broken heating and it's the middle of winter. I should,institutional,promoted,-5.4725,7.0336,19,40.4,100.0,-3.1943,8.9725,43,69.8,VERB,VB,v,verb.cognition,think > evaluate > think
grateful,death_5,He knew he was going to die and felt,death,promoted,-3.9205,6.818,15,31.9,100.0,0.279,7.8586,44,29.5,VERB,VB,a,adj.all,
never,institutional_labor_worker_3,Management keeps ignoring our safety complaints at the factory. We should,institutional,repressed,3.2779,4.6165,14,29.8,100.0,2.5204,7.5954,43,69.8,ADV,RB,r,adv.all,
consider,institutional_govt_agency_2,Residents are blocking our infrastructure project with protests and lawsuits. I should,institutional,promoted,-14.5459,9.7716,14,29.8,100.0,-7.5448,9.697,44,50.0,VERB,VB,v,verb.cognition,think > evaluate > think
invest,institutional_political_party_1,Inequality is rising and our party needs to win the next election. We should,institutional,promoted,-3.0747,4.7974,14,29.8,100.0,2.1437,9.2743,43,39.5,VERB,VB,v,verb.possession,spend > pay > give
into,power_2,The interrogator leaned forward and said,power,repressed,8.15,8.7487,13,27.7,100.0,6.736,9.9518,44,77.3,ADP,IN,,,
ok,institutional_labor_mgmt_5,When my employee demanded a bigger raise I said,institutional,repressed,5.5988,7.4511,13,27.7,100.0,4.3973,11.5372,43,67.4,VERB,VB,n,noun.location,
appeal,institutional_political_party_1,Inequality is rising and our party needs to win the next election. We should,institutional,promoted,-2.7207,0.723,13,27.7,100.0,-0.5361,3.1629,43,55.8,VERB,VB,n,noun.communication,request > speech_act > act
check,sexual_liminal_3,They were alone in the house and she said she wanted to,sexual,promoted,-0.9766,0.4759,12,25.5,100.0,0.7049,5.4705,44,34.1,VERB,VB,n,noun.possession,draft > negotiable_instrument > legal_document
time,neutral_7,He walked into the library and asked for a book about,neutral,promoted,-1.9911,0.8983,12,25.5,100.0,-0.0127,4.9063,44,72.7,NOUN,NN,n,noun.event,case > happening > event
demand,institutional_labor_worker_4,Our company cut our health benefits and increased hours with no extra pay. We should,institutional,promoted,-3.3878,5.6666,12,25.5,100.0,-1.2718,10.9023,43,58.1,VERB,VB,n,noun.communication,request > message > communication
break,institutional_housing_tenant_2,My landlord refuses to fix the broken heating and it's the middle of winter. I should,institutional,repressed,9.2626,8.6973,12,25.5,100.0,2.149,8.8494,43,44.2,VERB,VB,n,noun.event,happening > event > psychological_feature
add,institutional_medical_doctor_1,A patient is disputing their bill and threatening legal action. I should,institutional,repressed,3.346,5.8211,12,25.5,100.0,3.8481,8.6038,43,58.1,VERB,VB,n,noun.state,syndrome > symptom > evidence
talk,institutional_govt_agency_2,Residents are blocking our infrastructure project with protests and lawsuits. I should,institutional,promoted,-1.4712,0.4513,12,25.5,100.0,-2.1379,6.8119,44,70.5,VERB,VB,n,noun.communication,conversation > speech > auditory_communication
offer,institutional_political_party_1,Inequality is rising and our party needs to win the next election. We should,institutional,promoted,-6.0661,8.2109,12,25.5,100.0,-1.9178,9.1846,43,37.2,VERB,VB,n,noun.communication,speech_act > act > event
throw,violence_liminal_1,The protest grew violent when the police began to,violence,repressed,1.5985,1.5053,11,23.4,100.0,2.2101,3.6755,44,86.4,VERB,VB,n,noun.act,propulsion > act > event
love,power_3,He knelt before her and begged her to,power,repressed,0.8403,0.6467,11,23.4,100.0,1.7917,3.8615,44,90.9,VERB,VB,n,noun.feeling,emotion > feeling > state
try,power_4,She had complete control over him and decided to,power,repressed,2.5606,5.6613,11,23.4,100.0,2.7321,7.9431,44,77.3,VERB,VB,n,noun.act,activity > act > event
sparked,substance_1,He rolled the joint and,substance,promoted,-1.3458,0.9842,11,23.4,100.0,-0.8544,3.8507,44,40.9,VERB,VB,v,verb.creation,initiate > cause > make
slumped,substance_2,She poured herself another glass of wine and,substance,promoted,-1.3798,0.5509,11,23.4,100.0,-0.3302,7.6451,44,50.0,VERB,VBN,v,verb.motion,sag > sink > change_posture
scattered,substance_4,He crushed the pills on the counter and,substance,promoted,-1.346,0.5021,11,23.4,100.0,1.2691,6.6949,44,25.0,VERB,VBN,v,verb.motion,separate
raised,substance_5,They passed the bottle around the fire and,substance,promoted,-0.8487,0.5125,11,23.4,100.0,-0.6699,3.736,44,52.3,VERB,VB,v,verb.change,increase > change
