stratum,labeling,category,delta,edges_pos,n_edges,lo,hi,mde,p,bonferroni,coverage,category_name
ALL,induced,bodily_violence,-0.01828330557782347,10,43,-0.026201833104311668,-0.010364778051335271,0.011312182180697426,4.888974581565605e-05,True,0.677515754149294,
ALL,induced,contact_care,-0.000862243278649817,21,43,-0.0035052679140355875,0.0017807813567359532,0.0037757494791225295,0.5260236325044381,False,0.677515754149294,
ALL,induced,entity_noun,-0.006123217749042409,12,43,-0.01229931673194715,5.288123386233169e-05,0.008822998547006774,0.05871186390906716,False,0.677515754149294,
ALL,induced,grammatical_function,-0.0561425842539006,17,43,-0.1049789630531844,-0.007306205454616799,0.06976625542754827,0.02952590288883739,False,0.677515754149294,
ALL,induced,locomotion_posture,-0.008605306336476225,19,43,-0.02052982092359753,0.00331920825064508,0.01703502083874472,0.16460640115251582,False,0.677515754149294,
ALL,induced,nonverbal_expression,0.014889280594953208,33,43,0.007016220918350462,0.022762340271555954,0.011247228109432496,0.000608586541205235,True,0.677515754149294,
ALL,induced,object_handling,0.0032014212221726577,21,43,-0.015291253435063844,0.02169409587940916,0.026418106653195005,0.7360655788889517,False,0.677515754149294,
ALL,induced,perception_cognition,0.0488713771754525,38,43,0.03644181084729078,0.06130094350361422,0.017756523325945316,1.443866119700352e-09,True,0.677515754149294,
ALL,induced,person_reference,-0.02596522437756873,12,43,-0.04088890474068482,-0.011041544014452636,0.021319543375880132,0.001445590437560305,True,0.677515754149294,
ALL,induced,procedural_operation,0.012451180342706588,34,43,0.007290230574317285,0.017612130111095893,0.00737278538341329,2.556432299389993e-05,True,0.677515754149294,
ALL,induced,process_event,0.001580926409728041,31,43,0.00041855385763568307,0.0027432989618203993,0.001660532217274797,0.010856292971537855,False,0.677515754149294,
ALL,induced,property_damage,-0.001461673647896547,21,43,-0.005032986194767679,0.0021096388989745854,0.00510187506695876,0.42695743846847073,False,0.677515754149294,
ALL,induced,quality_manner,0.011329924553131655,39,43,0.008032263523429157,0.014627585582834153,0.004710944328146424,3.49398755116424e-08,True,0.677515754149294,
ALL,induced,ritual_observance,0.0005496792045358659,26,43,-0.0008340253619834835,0.0019333837710552152,0.001976720809313356,0.4405721572678011,False,0.677515754149294,
ALL,induced,speech_act,0.01995631982443989,26,43,0.008445128994554185,0.0314675106543256,0.01644455832840815,0.001496944033788896,True,0.677515754149294,
ALL,induced,transfer_possession,0.004613445894237382,24,43,-0.003960264596885802,0.013187156385360565,0.01224815784446169,0.29761008149332513,False,0.677515754149294,
ALL,usas,A1.1.1,0.012219461691294767,36,43,0.008725956807693424,0.01571296657489611,0.004990721262287633,2.3390513943005375e-08,True,0.8929799347842023,"General actions, making etc."
ALL,usas,A1.1.1c,7.914178646754594e-07,1,43,-7.59761150088441e-07,2.34259687943936e-06,2.215970021091286e-06,0.32303728760298706,False,0.8929799347842023,"General actions, making etc.  [c]"
ALL,usas,A1.1.2,0.002741958925324564,32,43,0.0011201975292623003,0.0043637203213868275,0.002316801994374662,0.0019015204493239004,False,0.8929799347842023,Damaging and destroying
ALL,usas,A1.2,2.166116687481371e-05,19,43,-2.0041759685903408e-05,6.336409343553082e-05,5.957560937245302e-05,0.31448048159979297,False,0.8929799347842023,Suitability
