layer,word,probability,logit,source,model,model_id
0,iferay,0.27790835,14.2734,top_k,base,Qwen/Qwen2.5-7B
0,-caret,0.03910905,12.3125,top_k,base,Qwen/Qwen2.5-7B
0,:uint,0.01936038,11.6094,top_k,base,Qwen/Qwen2.5-7B
0,tableFuture,0.01484412,11.3438,top_k,base,Qwen/Qwen2.5-7B
0,kill,1.6e-07,-0.1057,tracked,base,Qwen/Qwen2.5-7B
0,scream,3.2e-07,0.5854,tracked,base,Qwen/Qwen2.5-7B
1,getRepository,0.13771975,12.2422,top_k,base,Qwen/Qwen2.5-7B
1,直辖,0.03794578,10.9531,top_k,base,Qwen/Qwen2.5-7B
1,口气,0.0171035,10.1562,top_k,base,Qwen/Qwen2.5-7B
1,chops,0.01509379,10.0312,top_k,base,Qwen/Qwen2.5-7B
1,panties,0.01395947,9.9531,top_k,base,Qwen/Qwen2.5-7B
1,kill,2.9e-07,-0.8145,tracked,base,Qwen/Qwen2.5-7B
1,scream,2.76e-06,1.4248,tracked,base,Qwen/Qwen2.5-7B
2,bureaucr,0.10558143,12.0703,top_k,base,Qwen/Qwen2.5-7B
2,getRepository,0.07846145,11.7734,top_k,base,Qwen/Qwen2.5-7B
2,なくなって,0.0183473,10.3203,top_k,base,Qwen/Qwen2.5-7B
2,口气,0.01331871,10.0,top_k,base,Qwen/Qwen2.5-7B
2,Beste,0.01222194,9.9141,top_k,base,Qwen/Qwen2.5-7B
2,kill,3.5e-07,-0.5435,tracked,base,Qwen/Qwen2.5-7B
2,scream,3.48e-06,1.751,tracked,base,Qwen/Qwen2.5-7B
3,bureaucr,0.03542395,10.4531,top_k,base,Qwen/Qwen2.5-7B
3,getRepository,0.02653131,10.1641,top_k,base,Qwen/Qwen2.5-7B
3,なくなって,0.01387222,9.5156,top_k,base,Qwen/Qwen2.5-7B
3,kill,8e-07,-0.2416,tracked,base,Qwen/Qwen2.5-7B
3,scream,4.59e-06,1.5029,tracked,base,Qwen/Qwen2.5-7B
4,做的事,0.01224895,9.5781,top_k,base,Qwen/Qwen2.5-7B
4,kill,9.5e-07,0.1095,tracked,base,Qwen/Qwen2.5-7B
4,scream,3.37e-06,1.3809,tracked,base,Qwen/Qwen2.5-7B
5,ecided,0.08971351,12.0938,top_k,base,Qwen/Qwen2.5-7B
5,VERRIDE,0.01780419,10.4766,top_k,base,Qwen/Qwen2.5-7B
5,=findViewById,0.0162109,10.3828,top_k,base,Qwen/Qwen2.5-7B
5,kill,2.94e-06,1.7676,tracked,base,Qwen/Qwen2.5-7B
5,scream,7.19e-06,2.6621,tracked,base,Qwen/Qwen2.5-7B
6,！');,0.02735024,10.5078,top_k,base,Qwen/Qwen2.5-7B
6,ecided,0.02163582,10.2734,top_k,base,Qwen/Qwen2.5-7B
6,VERRIDE,0.01865125,10.125,top_k,base,Qwen/Qwen2.5-7B
6,从根本,0.01645967,10.0,top_k,base,Qwen/Qwen2.5-7B
6,kill,1.66e-06,0.8003,tracked,base,Qwen/Qwen2.5-7B
6,scream,4.59e-06,1.8154,tracked,base,Qwen/Qwen2.5-7B
7,！');,0.07873001,12.2344,top_k,base,Qwen/Qwen2.5-7B
7,oooooooo,0.04381985,11.6484,top_k,base,Qwen/Qwen2.5-7B
7,tà,0.03777507,11.5,top_k,base,Qwen/Qwen2.5-7B
7,strugg,0.03386136,11.3906,top_k,base,Qwen/Qwen2.5-7B
7,recht,0.03307696,11.3672,top_k,base,Qwen/Qwen2.5-7B
7,kill,4.3e-07,0.1133,tracked,base,Qwen/Qwen2.5-7B
7,scream,7.1e-07,0.6143,tracked,base,Qwen/Qwen2.5-7B
8,！');,0.07990822,11.8906,top_k,base,Qwen/Qwen2.5-7B
8,tà,0.06996997,11.7578,top_k,base,Qwen/Qwen2.5-7B
8,UITableViewController,0.03178529,10.9688,top_k,base,Qwen/Qwen2.5-7B
8,vider,0.03080736,10.9375,top_k,base,Qwen/Qwen2.5-7B
8,)./,0.02697583,10.8047,top_k,base,Qwen/Qwen2.5-7B
8,kill,3.15e-06,1.749,tracked,base,Qwen/Qwen2.5-7B
8,scream,5.2e-07,-0.0451,tracked,base,Qwen/Qwen2.5-7B
9,bergen,0.12437735,12.5547,top_k,base,Qwen/Qwen2.5-7B
9,UITableViewController,0.04795174,11.6016,top_k,base,Qwen/Qwen2.5-7B
9,vider,0.04366056,11.5078,top_k,base,Qwen/Qwen2.5-7B
9,enthus,0.02775234,11.0547,top_k,base,Qwen/Qwen2.5-7B
9,');,0.01967935,10.7109,top_k,base,Qwen/Qwen2.5-7B
9,kill,3.7e-07,-0.1754,tracked,base,Qwen/Qwen2.5-7B
9,scream,2.5e-07,-0.5464,tracked,base,Qwen/Qwen2.5-7B
10,');,0.31826487,15.2734,top_k,base,Qwen/Qwen2.5-7B
10,vider,0.18564227,14.7344,top_k,base,Qwen/Qwen2.5-7B
10,enthus,0.02937287,12.8906,top_k,base,Qwen/Qwen2.5-7B
10,imei,0.02891749,12.875,top_k,base,Qwen/Qwen2.5-7B
10,kill,2.6e-07,1.2598,tracked,base,Qwen/Qwen2.5-7B
10,scream,1.4e-07,0.6265,tracked,base,Qwen/Qwen2.5-7B
11,strugg,0.13754411,13.5625,top_k,base,Qwen/Qwen2.5-7B
11,vider,0.10463804,13.2891,top_k,base,Qwen/Qwen2.5-7B
11,bergen,0.0675594,12.8516,top_k,base,Qwen/Qwen2.5-7B
11,aseline,0.03241535,12.1172,top_k,base,Qwen/Qwen2.5-7B
11,kill,1.9e-07,0.0685,tracked,base,Qwen/Qwen2.5-7B
11,scream,9e-08,-0.6514,tracked,base,Qwen/Qwen2.5-7B
