model,group,role,language,n_gens,E-QUIZ,E-QA,E-TASK,E-ASSIST,E-MENTION,E-META,REFUSAL,ANY-EXIT
01-ai/Yi-1.5-9B,f11_beauty,BOTH,en,20,0,0,0,0,0,0,0,0
01-ai/Yi-1.5-9B,f11_beauty,POLE_A,en,20,0,0,0,0,0,0,0,0
01-ai/Yi-1.5-9B,f11_beauty,POLE_B,en,20,1,0,0,0,0,0,0,1
01-ai/Yi-1.5-9B,f11_beauty_ugly,BOTH,en,20,1,0,0,0,0,0,0,1
01-ai/Yi-1.5-9B,f11_beauty_ugly,POLE_A,en,20,0,0,0,0,0,0,0,0
01-ai/Yi-1.5-9B,f11_beauty_ugly,POLE_B,en,20,1,0,0,0,0,1,0,2
01-ai/Yi-1.5-9B,f11_beauty_ugly_zh,BOTH,zh,20,0,0,0,0,0,0,0,0
01-ai/Yi-1.5-9B,f11_beauty_ugly_zh,POLE_A,zh,20,0,0,0,0,0,0,0,0
01-ai/Yi-1.5-9B,f11_beauty_ugly_zh,POLE_B,zh,20,0,1,0,0,0,0,0,1
01-ai/Yi-1.5-9B,f11_beauty_zh,BOTH,zh,20,0,0,0,0,0,0,0,0
01-ai/Yi-1.5-9B,f11_beauty_zh,POLE_A,zh,20,0,0,0,0,0,0,0,0
01-ai/Yi-1.5-9B,f11_beauty_zh,POLE_B,zh,20,0,0,0,0,0,0,0,0
01-ai/Yi-1.5-9B,f11_captive,BOTH,en,20,1,0,1,0,0,0,0,2
01-ai/Yi-1.5-9B,f11_captive,POLE_A,en,20,0,1,0,0,0,0,0,1
01-ai/Yi-1.5-9B,f11_captive,POLE_B,en,20,0,0,0,0,0,0,0,0
01-ai/Yi-1.5-9B,f11_captive_b,BOTH,en,20,0,0,1,0,0,0,0,1
01-ai/Yi-1.5-9B,f11_captive_b,POLE_A,en,20,0,0,0,1,0,0,0,1
01-ai/Yi-1.5-9B,f11_captive_b,POLE_B,en,20,0,0,0,0,0,0,0,0
01-ai/Yi-1.5-9B,f11_captive_b_zh,BOTH,zh,20,0,1,0,0,0,0,0,1
01-ai/Yi-1.5-9B,f11_captive_b_zh,POLE_A,zh,20,0,1,0,0,0,0,0,1
01-ai/Yi-1.5-9B,f11_captive_b_zh,POLE_B,zh,20,1,1,0,0,0,0,0,2
01-ai/Yi-1.5-9B,f11_captive_zh,BOTH,zh,20,0,0,0,0,0,0,0,0
01-ai/Yi-1.5-9B,f11_captive_zh,POLE_A,zh,20,0,3,0,0,0,0,0,3
01-ai/Yi-1.5-9B,f11_captive_zh,POLE_B,zh,20,0,1,0,0,0,0,0,1
01-ai/Yi-1.5-9B,f11_class,BOTH,en,20,0,0,0,0,0,0,0,0
01-ai/Yi-1.5-9B,f11_class,POLE_A,en,20,0,0,0,0,0,0,0,0
01-ai/Yi-1.5-9B,f11_class,POLE_B,en,20,1,1,0,0,0,0,0,2
