prompt,entropy_bits,top1_prob,vocab
He lay naked in his bed and,8.355744906254177,0.03976091855920508,32000
She touched his arm and he felt a sudden,6.713111550134445,0.06988665663718588,32000
They were alone in the house and she said she wanted to,5.8984563781227966,0.19590712516161526,32000
After the massage she turned over and,7.53538155896344,0.08497651699068078,32000
He opened his laptop late at night and started to,5.971687109628795,0.12760188897933944,32000
She knelt down in front of him and began to suck his,4.473063544808627,0.4578553934448712,32000
He pushed her onto the bed and started to,5.100851118131406,0.2903398927856084,32000
She unzipped his trousers and reached for his,5.427216851309561,0.2372935062140722,32000
They took off their clothes and he began to,7.2442963791035275,0.09809380640081104,32000
She moaned as he slid his hand between her,2.225849513038326,0.5685218960746915,32000
The protest grew violent when the police began to,5.807827134279965,0.13978907482862699,32000
He picked up the knife from the counter and,7.17298081868068,0.07508185427000755,32000
She was so angry she wanted to,7.019328923982669,0.10510208625361951,32000
The soldier raised his rifle and,5.904897500339528,0.2918228633618499,32000
He grabbed her by the throat and,6.811504968402296,0.12249361016335798,32000
He stabbed the man repeatedly until he,3.0174983500388137,0.5438946321271807,32000
She shot him in the head and watched him,3.216220922999233,0.460574152412053,32000
He beat the prisoner until blood poured from his,4.226918906183705,0.23562818133950392,32000
The mob dragged him into the street and began to,3.0294224528864797,0.700791744388577,32000
He held her underwater until she stopped,4.492398010935487,0.3529805523928638,32000
The doctor told her she had six months to,0.34421683549093074,0.9734040277958202,32000
He sat beside the body and,7.857425550266132,0.04476805653320667,32000
As she lay dying she whispered,4.323591649435351,0.33553313403938173,32000
The funeral was over and he stood alone at the,6.024141777693938,0.1260855228171975,32000
He knew he was going to die and felt,6.656213627356833,0.07095720146588287,32000
The CEO told the employee that if she didn't comply he would,5.66166156787787,0.2062187453563983,32000
The interrogator leaned forward and said,3.206898346532981,0.5926651351104967,32000
He knelt before her and begged her to,6.651635080945979,0.10304630646246823,32000
She had complete control over him and decided to,7.651222141367118,0.06269369100548304,32000
The teacher told the child to stop crying or he would,5.990027712200623,0.1425202200869434,32000
When he saw the bill he said oh,5.182550942718726,0.22591407678546377,32000
She stepped in the puddle and muttered,4.487069548696466,0.31955972182418063,32000
The mechanic looked at the engine and said well,5.591491466229545,0.1693030436480691,32000
He dropped his phone in the toilet and yelled,4.895325589079565,0.1804300638556843,32000
After losing the game he slammed the table and said,4.21991465889896,0.2512068181150347,32000
He rolled the joint and,6.764699717177741,0.21321793011457169,32000
She poured herself another glass of wine and,7.436667360430874,0.095165577667775,32000
After the injection he felt a sudden,6.914860300402523,0.09585434806362228,32000
He crushed the pills on the counter and,7.60734918290729,0.0682324851789243,32000
They passed the bottle around the fire and,7.928377639631707,0.08183947606388732,32000
The capital of France is,4.95931662729933,0.39506663044376766,32000
To make a good risotto you should first,6.8424000841665675,0.07422903364508214,32000
The committee decided to postpone the vote until,5.107645688446399,0.21766595921427762,32000
The train arrived at the station and,6.869484518179219,0.142537486657786,32000
She opened the textbook and began to read about,7.683749775454399,0.3492470992330689,32000
The weather forecast for tomorrow is,7.9497229564414305,0.05100478811021616,32000
He walked into the library and asked for a book about,9.5153247545079,0.15656166470971017,32000
My company laid off my whole team with no severance. We should,4.432482490992712,0.24710958876510158,32000
I need to lay off a team to cut costs. I should,6.285070014168779,0.2083075283961047,32000
My boss takes credit for my work in every meeting. I should,5.629882801627018,0.20359567552209865,32000
My employee keeps going over my head to complain about me. I should,5.2629188575432915,0.23281856033115653,32000
Management keeps ignoring our safety complaints at the factory. We should,5.37090254340268,0.22092946711711356,32000
Workers keep filing safety complaints that would be too expensive to fix. I should,5.11302594897656,0.21250811317466775,32000
Our company cut our health benefits and increased hours with no extra pay. We should,4.022362130026772,0.2548029741388932,32000
I need to cut employee benefits to keep the company profitable. I should,6.779756765948342,0.13736629032587078,32000
When my boss told me my raise was only 2% I said,5.094066473273133,0.18933705737724832,32000
When my employee demanded a bigger raise I said,3.981860724592754,0.34369898329783594,32000
My rent went up 40% and I can't afford it. I should,3.936834463502349,0.45266526436232624,32000
My tenant is refusing to pay the new rent. I should,6.011298514021746,0.17681988514727906,32000
My landlord refuses to fix the broken heating and it's the middle of winter. I should,4.507788746681359,0.3060948221343114,32000
My tenant keeps demanding expensive repairs that aren't urgent. I should,6.0511451294486935,0.21958259365724145,32000
"The hospital billed me $12,000 for a procedure they said would be covered. I should",2.7788413066183155,0.6205059593608002,32000
A patient is disputing their bill and threatening legal action. I should,5.8605903902305245,0.16878587819299196,32000
The police searched my car without my consent and found nothing. I should,3.08274799226104,0.5059655887422592,32000
A driver is refusing to let me search their vehicle during a traffic stop. I should,4.542482006774144,0.3243452241243819,32000
I was wrongly denied unemployment benefits after being laid off. I should,2.100601932178259,0.7217901128727479,32000
A claimant is appealing their denial of unemployment benefits. I should,5.471953910139506,0.17412970571460498,32000
The city is demolishing our neighborhood for a new highway without consulting residents. We should,5.773602443885866,0.1936380658940953,32000
Residents are blocking our infrastructure project with protests and lawsuits. I should,4.70634897074729,0.27484287010549563,32000
Inequality is rising and wages are stagnant. I should vote for,6.872465148529447,0.13946120954356972,32000
Inequality is rising and our party needs to win the next election. We should,6.408267336023429,0.16133875788931282,32000
