layer,word,probability,logit,source,model,model_id
0,tem,0.0301008,9.3984,top_k,base,meta-llama/Llama-3.1-8B
0,-do,0.00875983,8.1641,top_k,base,meta-llama/Llama-3.1-8B
0,prelim,0.00640883,7.8516,top_k,base,meta-llama/Llama-3.1-8B
0,etter,0.00408964,7.4023,top_k,base,meta-llama/Llama-3.1-8B
0,asts,0.0040737,7.3984,top_k,base,meta-llama/Llama-3.1-8B
0,kill,1.143e-05,1.5225,tracked,base,meta-llama/Llama-3.1-8B
0,fuck,4.68e-06,0.6284,tracked,base,meta-llama/Llama-3.1-8B
0,kiss,0.00031908,4.8516,tracked,base,meta-llama/Llama-3.1-8B
0,said,5.01e-06,0.6973,tracked,base,meta-llama/Llama-3.1-8B
0,the,7.896e-05,3.4551,tracked,base,meta-llama/Llama-3.1-8B
0,scream,5.6e-07,-1.4922,tracked,base,meta-llama/Llama-3.1-8B
1,vens,0.0114399,8.7578,top_k,base,meta-llama/Llama-3.1-8B
1,lạc,0.00970892,8.5938,top_k,base,meta-llama/Llama-3.1-8B
1,utsch,0.00584293,8.0859,top_k,base,meta-llama/Llama-3.1-8B
1,Lös,0.00488195,7.9062,top_k,base,meta-llama/Llama-3.1-8B
1,intestinal,0.00331622,7.5195,top_k,base,meta-llama/Llama-3.1-8B
1,kill,1.14e-06,-0.4561,tracked,base,meta-llama/Llama-3.1-8B
1,fuck,1.6e-07,-2.4434,tracked,base,meta-llama/Llama-3.1-8B
1,kiss,1.66e-06,-0.0784,tracked,base,meta-llama/Llama-3.1-8B
1,said,6.3e-07,-1.0479,tracked,base,meta-llama/Llama-3.1-8B
1,the,6.46e-06,1.2793,tracked,base,meta-llama/Llama-3.1-8B
1,scream,3.37e-06,0.6289,tracked,base,meta-llama/Llama-3.1-8B
2,'gc,0.01764732,9.6016,top_k,base,meta-llama/Llama-3.1-8B
2,Loop,0.01261197,9.2656,top_k,base,meta-llama/Llama-3.1-8B
2,Lep,0.00409451,8.1406,top_k,base,meta-llama/Llama-3.1-8B
2,OfDay,0.00369908,8.0391,top_k,base,meta-llama/Llama-3.1-8B
2,kill,1.8e-07,-1.8652,tracked,base,meta-llama/Llama-3.1-8B
2,fuck,1.78e-06,0.3975,tracked,base,meta-llama/Llama-3.1-8B
2,kiss,7.3e-07,-0.4927,tracked,base,meta-llama/Llama-3.1-8B
2,said,8.5e-07,-0.3376,tracked,base,meta-llama/Llama-3.1-8B
2,the,2.488e-05,3.0371,tracked,base,meta-llama/Llama-3.1-8B
2,scream,1.01e-06,-0.1691,tracked,base,meta-llama/Llama-3.1-8B
3,ač,0.01822186,9.9219,top_k,base,meta-llama/Llama-3.1-8B
3,hint,0.01510645,9.7344,top_k,base,meta-llama/Llama-3.1-8B
3,utsch,0.01302257,9.5859,top_k,base,meta-llama/Llama-3.1-8B
3,'gc,0.01006307,9.3281,top_k,base,meta-llama/Llama-3.1-8B
3,asting,0.00909122,9.2266,top_k,base,meta-llama/Llama-3.1-8B
3,kill,9e-08,-2.2676,tracked,base,meta-llama/Llama-3.1-8B
3,fuck,3.02e-06,1.2158,tracked,base,meta-llama/Llama-3.1-8B
3,kiss,1.6e-07,-1.7383,tracked,base,meta-llama/Llama-3.1-8B
3,said,2e-07,-1.4785,tracked,base,meta-llama/Llama-3.1-8B
3,the,8.37e-06,2.2363,tracked,base,meta-llama/Llama-3.1-8B
3,scream,1.21e-06,0.3,tracked,base,meta-llama/Llama-3.1-8B
4,ichert,0.01358787,9.4688,top_k,base,meta-llama/Llama-3.1-8B
4,ček,0.00856976,9.0078,top_k,base,meta-llama/Llama-3.1-8B
4,eren,0.00710458,8.8203,top_k,base,meta-llama/Llama-3.1-8B
4,SKTOP,0.00602958,8.6562,top_k,base,meta-llama/Llama-3.1-8B
4,asting,0.00548999,8.5625,top_k,base,meta-llama/Llama-3.1-8B
4,kill,1e-07,-2.3594,tracked,base,meta-llama/Llama-3.1-8B
4,fuck,3.1e-07,-1.2178,tracked,base,meta-llama/Llama-3.1-8B
4,kiss,1.2e-07,-2.1328,tracked,base,meta-llama/Llama-3.1-8B
4,said,5.9e-07,-0.5757,tracked,base,meta-llama/Llama-3.1-8B
4,the,7.56e-06,1.9746,tracked,base,meta-llama/Llama-3.1-8B
4,scream,4.3e-07,-0.8867,tracked,base,meta-llama/Llama-3.1-8B
5,��,0.07646044,11.1953,top_k,base,meta-llama/Llama-3.1-8B
5,tail,0.01414376,9.5078,top_k,base,meta-llama/Llama-3.1-8B
5,ichert,0.01287804,9.4141,top_k,base,meta-llama/Llama-3.1-8B
5,RetVal,0.00964521,9.125,top_k,base,meta-llama/Llama-3.1-8B
5,.owl,0.0038366,8.2031,top_k,base,meta-llama/Llama-3.1-8B
5,kill,8e-08,-2.5801,tracked,base,meta-llama/Llama-3.1-8B
5,fuck,2.52e-06,0.8765,tracked,base,meta-llama/Llama-3.1-8B
5,kiss,3.8e-07,-1.0244,tracked,base,meta-llama/Llama-3.1-8B
5,said,7.7e-07,-0.3062,tracked,base,meta-llama/Llama-3.1-8B
5,the,1.925e-05,2.9082,tracked,base,meta-llama/Llama-3.1-8B
5,scream,2.4e-07,-1.4902,tracked,base,meta-llama/Llama-3.1-8B
6,��,0.02463377,9.7031,top_k,base,meta-llama/Llama-3.1-8B
6,čky,0.00964672,8.7656,top_k,base,meta-llama/Llama-3.1-8B
6,-animate,0.0068942,8.4297,top_k,base,meta-llama/Llama-3.1-8B
6,-pills,0.00657849,8.3828,top_k,base,meta-llama/Llama-3.1-8B
6,toys,0.0058055,8.2578,top_k,base,meta-llama/Llama-3.1-8B
6,kill,3.5e-07,-1.4629,tracked,base,meta-llama/Llama-3.1-8B
6,fuck,3.2e-07,-1.5596,tracked,base,meta-llama/Llama-3.1-8B
6,kiss,5e-08,-3.4375,tracked,base,meta-llama/Llama-3.1-8B
6,said,1.91e-06,0.2365,tracked,base,meta-llama/Llama-3.1-8B
6,the,0.00013079,4.4648,tracked,base,meta-llama/Llama-3.1-8B
6,scream,2.1e-07,-1.9717,tracked,base,meta-llama/Llama-3.1-8B
7,-pills,0.0176744,9.2109,top_k,base,meta-llama/Llama-3.1-8B
7,��,0.01293087,8.8984,top_k,base,meta-llama/Llama-3.1-8B
7,rub,0.01141145,8.7734,top_k,base,meta-llama/Llama-3.1-8B
7,lineno,0.00539039,8.0234,top_k,base,meta-llama/Llama-3.1-8B
7,barr,0.00496586,7.9414,top_k,base,meta-llama/Llama-3.1-8B
7,kill,5.9e-07,-1.1025,tracked,base,meta-llama/Llama-3.1-8B
7,fuck,7.85e-06,1.4912,tracked,base,meta-llama/Llama-3.1-8B
7,kiss,2e-08,-4.3789,tracked,base,meta-llama/Llama-3.1-8B
7,said,6.29e-06,1.2695,tracked,base,meta-llama/Llama-3.1-8B
7,the,8.954e-05,3.9258,tracked,base,meta-llama/Llama-3.1-8B
7,scream,3.7e-07,-1.5518,tracked,base,meta-llama/Llama-3.1-8B
8,-pills,0.0315616,9.9297,top_k,base,meta-llama/Llama-3.1-8B
8,rub,0.01784331,9.3594,top_k,base,meta-llama/Llama-3.1-8B
8,��,0.00947651,8.7266,top_k,base,meta-llama/Llama-3.1-8B
8,_TYP,0.00791792,8.5469,top_k,base,meta-llama/Llama-3.1-8B
8,casecmp,0.00704234,8.4297,top_k,base,meta-llama/Llama-3.1-8B
8,kill,1e-07,-2.7559,tracked,base,meta-llama/Llama-3.1-8B
8,fuck,6.18e-06,1.3906,tracked,base,meta-llama/Llama-3.1-8B
8,kiss,4e-08,-3.7324,tracked,base,meta-llama/Llama-3.1-8B
8,said,8e-07,-0.6504,tracked,base,meta-llama/Llama-3.1-8B
8,the,5.928e-05,3.6523,tracked,base,meta-llama/Llama-3.1-8B
8,scream,3e-07,-1.6309,tracked,base,meta-llama/Llama-3.1-8B
9,-pills,0.01620299,9.0391,top_k,base,meta-llama/Llama-3.1-8B
9,_advanced,0.00564352,7.9844,top_k,base,meta-llama/Llama-3.1-8B
9,idata,0.0054913,7.957,top_k,base,meta-llama/Llama-3.1-8B
9,ImageButton,0.00538509,7.9375,top_k,base,meta-llama/Llama-3.1-8B
9,ishi,0.00532235,7.9258,top_k,base,meta-llama/Llama-3.1-8B
9,kill,1.7e-07,-2.4414,tracked,base,meta-llama/Llama-3.1-8B
9,fuck,5.59e-06,1.0664,tracked,base,meta-llama/Llama-3.1-8B
9,kiss,1.1e-07,-2.8887,tracked,base,meta-llama/Llama-3.1-8B
9,said,1.85e-06,-0.0407,tracked,base,meta-llama/Llama-3.1-8B
9,the,3.6e-05,2.9297,tracked,base,meta-llama/Llama-3.1-8B
9,scream,2.6e-07,-1.9824,tracked,base,meta-llama/Llama-3.1-8B
10,ched,0.024353,9.2812,top_k,base,meta-llama/Llama-3.1-8B
10,Chatt,0.00429856,7.5469,top_k,base,meta-llama/Llama-3.1-8B
10,СР,0.0038532,7.4375,top_k,base,meta-llama/Llama-3.1-8B
10,Damian,0.00366242,7.3867,top_k,base,meta-llama/Llama-3.1-8B
10,evid,0.00363392,7.3789,top_k,base,meta-llama/Llama-3.1-8B
10,kill,2.9e-07,-2.0527,tracked,base,meta-llama/Llama-3.1-8B
10,fuck,3.3e-07,-1.9189,tracked,base,meta-llama/Llama-3.1-8B
10,kiss,8e-08,-3.375,tracked,base,meta-llama/Llama-3.1-8B
10,said,1.083e-05,1.5635,tracked,base,meta-llama/Llama-3.1-8B
10,the,6.132e-05,3.2969,tracked,base,meta-llama/Llama-3.1-8B
10,scream,1.1e-07,-3.0332,tracked,base,meta-llama/Llama-3.1-8B
11,ched,0.00912537,8.2188,top_k,base,meta-llama/Llama-3.1-8B
11,Gem,0.00733244,8.0,top_k,base,meta-llama/Llama-3.1-8B
11,violent,0.00571051,7.75,top_k,base,meta-llama/Llama-3.1-8B
11,tee,0.0034501,7.2461,top_k,base,meta-llama/Llama-3.1-8B
11,kill,1.54e-06,-0.4675,tracked,base,meta-llama/Llama-3.1-8B
11,fuck,5e-08,-3.9316,tracked,base,meta-llama/Llama-3.1-8B
11,kiss,1.8e-07,-2.6094,tracked,base,meta-llama/Llama-3.1-8B
11,said,3.795e-05,2.7363,tracked,base,meta-llama/Llama-3.1-8B
11,the,7.849e-05,3.4629,tracked,base,meta-llama/Llama-3.1-8B
11,scream,1.5e-07,-2.8223,tracked,base,meta-llama/Llama-3.1-8B
12,ched,0.01880822,8.9922,top_k,base,meta-llama/Llama-3.1-8B
12,ason,0.0056033,7.7812,top_k,base,meta-llama/Llama-3.1-8B
12,आई,0.00484926,7.6367,top_k,base,meta-llama/Llama-3.1-8B
12,Damian,0.00460915,7.5859,top_k,base,meta-llama/Llama-3.1-8B
12,-pills,0.00358961,7.3359,top_k,base,meta-llama/Llama-3.1-8B
12,kill,1.33e-06,-0.5659,tracked,base,meta-llama/Llama-3.1-8B
12,fuck,1.1e-07,-3.0996,tracked,base,meta-llama/Llama-3.1-8B
12,kiss,9e-08,-3.3047,tracked,base,meta-llama/Llama-3.1-8B
12,said,6.971e-05,3.3945,tracked,base,meta-llama/Llama-3.1-8B
12,the,5.848e-05,3.2188,tracked,base,meta-llama/Llama-3.1-8B
12,scream,1.2e-07,-2.9453,tracked,base,meta-llama/Llama-3.1-8B
13,ched,0.02593965,9.4766,top_k,base,meta-llama/Llama-3.1-8B
13,quot,0.00592518,8.0,top_k,base,meta-llama/Llama-3.1-8B
13,endors,0.00539493,7.9062,top_k,base,meta-llama/Llama-3.1-8B
13,eyJ,0.00457862,7.7422,top_k,base,meta-llama/Llama-3.1-8B
13,itched,0.00300273,7.3203,top_k,base,meta-llama/Llama-3.1-8B
13,kill,9.9e-07,-0.6997,tracked,base,meta-llama/Llama-3.1-8B
13,fuck,5.7e-07,-1.2412,tracked,base,meta-llama/Llama-3.1-8B
13,kiss,6e-07,-1.1992,tracked,base,meta-llama/Llama-3.1-8B
13,said,7.99e-06,1.3906,tracked,base,meta-llama/Llama-3.1-8B
13,the,4.3e-06,0.7705,tracked,base,meta-llama/Llama-3.1-8B
13,scream,3e-08,-4.2266,tracked,base,meta-llama/Llama-3.1-8B
