model,layer,model_id,prompt_key,gen_idx,step,phase,chosen_token,chosen_prob,entropy,eff_vocab,top1,top1_prob,top5_words
r1-llama,reasoning,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,anger,0,0,think,Ċ,0.9896486401557922,0.05785968527197838,2,Ċ,0.9896486401557922,Ċ|ĊĊ|>Ċ|ĊĠĠĊ|ĊĠĠĠĠĠĠĠĠĊ
r1-llama,reasoning,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,anger,0,1,think,Okay,0.715711772441864,0.6276258826255798,3,Okay,0.715711772441864,Okay|Alright|Hmm|First|The
r1-llama,reasoning,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,anger,0,2,think,",",0.9999672174453735,0.0005077127134427428,1,",",0.9999672174453735,",|Ġso|I|So|."
r1-llama,reasoning,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,anger,0,3,think,Ġso,0.8022774457931519,0.6522905230522156,4,Ġso,0.8022774457931519,"Ġso|Ġthe|ĠI|Ġlet|Ġ"""
r1-llama,reasoning,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,anger,0,4,think,ĠI,0.7857574224472046,0.5400579571723938,3,ĠI,0.7857574224472046,"ĠI|Ġthe|Ġsomeone|Ġmy|Ġ"""
r1-llama,reasoning,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,anger,0,5,think,'m,0.6691458821296692,1.2639375925064087,11,'m,0.6691458821296692,'m|Ġneed|'ve|Ġcame|Ġhave
r1-llama,reasoning,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,anger,0,6,think,Ġtrying,0.9059202075004578,0.3894365429878235,6,Ġtrying,0.9059202075004578,Ġtrying|Ġlooking|Ġpresented|Ġsupposed|Ġgiven
r1-llama,reasoning,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,anger,0,7,think,Ġto,0.9999992847442627,1.3852128176949918e-05,1,Ġto,0.9999992847442627,Ġto|Ġfigure|Ġmy|Ġhere|Ġreally
r1-llama,reasoning,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,anger,0,8,think,Ġunderstand,0.2295689433813095,0.7133861780166626,7,Ġfigure,0.7410576343536377,Ġfigure|Ġunderstand|Ġmake|Ġhelp|Ġcontinue
r1-llama,reasoning,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,anger,0,9,think,Ġwhat,0.1637265831232071,1.0204797983169556,6,Ġthis,0.608318030834198,"Ġthis|Ġthe|Ġwhat|Ġhow|Ġ"""
r1-llama,reasoning,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,anger,0,10,think,Ġthe,0.7128676176071167,0.941094160079956,7,Ġthe,0.7128676176071167,"Ġthe|Ġ""|Ġthis|'s|Ġit"
r1-llama,reasoning,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,anger,0,11,think,Ġuser,0.8977961540222168,0.45303282141685486,9,Ġuser,0.8977961540222168,Ġuser|Ġphrase|Ġsentence|Ġcommand|Ġmessage
r1-llama,reasoning,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,anger,0,12,think,Ġis,0.7335011959075928,0.9794589877128601,7,Ġis,0.7335011959075928,Ġis|Ġmeans|Ġmeant|Ġwants|Ġwrote
r1-llama,reasoning,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,anger,0,13,think,Ġasking,0.9872810244560242,0.0910956934094429,5,Ġasking,0.9872810244560242,Ġasking|Ġsaying|Ġgoing|Ġdoing|Ġlooking
r1-llama,reasoning,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,anger,0,14,think,Ġhere,0.4778326451778412,0.9273802638053894,5,Ġhere,0.4778326451778412,Ġhere|Ġfor|.|Ġme|Ġwith
r1-llama,reasoning,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,anger,0,15,think,.,0.9997579455375671,0.0026346284430474043,1,.,0.9997579455375671,".|Ġbecause|,|Ġwith|Ġwhen"
r1-llama,reasoning,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,anger,0,16,think,ĠThey,0.8098317384719849,0.5240846276283264,4,ĠThey,0.8098317384719849,ĠThey|ĠThe|ĠIt|ĠTheir|ĠI
r1-llama,reasoning,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,anger,0,17,think,Ġprovided,0.40691885352134705,1.280548334121704,13,Ġwrote,0.4469129145145416,Ġwrote|Ġprovided|Ġstarted|'ve|Ġhave
r1-llama,reasoning,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,anger,0,18,think,Ġthis,0.08335085958242416,0.7175241708755493,5,Ġa,0.7785505652427673,"Ġa|Ġthe|Ġthis|Ġsome|Ġ"""
r1-llama,reasoning,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,anger,0,19,think,Ġphrase,0.223609060049057,2.2235519886016846,21,Ġphrase,0.223609060049057,Ġphrase|Ġtext|Ġline|Ġprompt|Ġcommand
r1-llama,reasoning,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,anger,0,20,think,:,0.9683965444564819,0.15735089778900146,3,:,0.9683965444564819,":|Ġ""|,|Ġand|Ġfragment"
r1-llama,reasoning,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,anger,0,21,think,"Ġ""",0.9999862909317017,0.00021032700897194445,1,"Ġ""",0.9999862909317017,"Ġ""|ĠâĢľ|Ġ""(|Ġ""*|Ġ"">"
r1-llama,reasoning,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,anger,0,22,think,Contin,0.5007842183113098,0.9665988087654114,3,Contin,0.5007842183113098,Contin|Sh|Continue|Ang|Cont
r1-llama,reasoning,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,anger,0,23,think,u,0.9999853372573853,0.00022203671687748283,1,u,0.9999853372573853,u|ued|uest|uate|ua
r1-llama,reasoning,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,anger,0,24,think,eth,0.9999809265136719,0.00029293575789779425,1,eth,0.9999809265136719,eth|Ġeth|Ã«|ETH|oth
r1-llama,reasoning,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,anger,0,25,think,ist,0.9999631643295288,0.0004601968394126743,1,ist,0.9999631643295288,ist|is|ish|Ġist|istol
r1-llama,reasoning,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,anger,0,26,think,ext,0.9999980926513672,3.153301076963544e-05,1,ext,0.9999980926513672,ext|ex|Ġext|est|text
r1-llama,reasoning,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,anger,0,27,think,:,0.999739944934845,0.0025798934511840343,1,:,0.999739944934845,":|:""|Sh|:"",|:'"
r1-llama,reasoning,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,anger,0,28,think,Sh,0.9888074994087219,0.06474392861127853,2,Sh,0.9888074994087219,Sh|ĠSh|Show|ĠShow|ĠShaw
r1-llama,reasoning,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,anger,0,29,think,ew,0.9999840259552002,0.0002427474973956123,1,ew,0.9999840259552002,ew|ewart|esh|ewis|ewith
